Class	Enzyme_type	Phylogeny_id	Domain
Acetylation	Acetylase	MYST	MOZ_SAS
Acetylation	Deacetylase	HOS1-2	Hist_deactyl
Acetylation	Deacetylase	HOS3	Hist_deactyl
Acetylation	Deacetylase	Sirtuin	SIR2
Methylation	Methylase	SET1	SET
Methylation	Methylase	SET2	SET
Methylation	Methylase	SET3	SET
Methylation	Methylase	SET4	SET
Methylation	Methylase	SET5	SET
Methylation	Methylase	SET6	SET
Methylation	Methylase	SET7	SET
Methylation	Methylase	SET8	SET
Methylation	Methylase	SET9	SET
Methylation	Methylase	SET10	SET
Methylation	Demethylase	Cupin4	Cupin_4
Methylation	Demethylase	JMJ1_KDM3	JmjC
Methylation	Demethylase	JMJC	JmjC
Methylation	Demethylase	UTX_JARID	JmjC
Remodeller	Remodeller	SNF	SNF2_N
