Dmel_FBpp0091127	His2B:CG33882
Dmel_FBpp0112061	CG13288
Dmel_FBpp0303953	CG13288
Dmel_FBpp0309710	CG10621
Dmel_FBpp0309709	CG10621
Dmel_FBpp0080732	CG10621
Dmel_FBpp0072113	PPP1R15
Dmel_FBpp0074804	Ugt316A1
Dmel_FBpp0304894	Ugt316A1
Dmel_FBpp0070511	CG10793
Dmel_FBpp0084638	BCAS2
Dmel_FBpp0076936	Mgstl
Dmel_FBpp0076935	Mgstl
Dmel_FBpp0311834	Mgstl
Dmel_FBpp0072706	CG7879
Dmel_FBpp0072707	CG7879
Dmel_FBpp0073642	CG11162
Dmel_FBpp0077934	CG11396
Dmel_FBpp0083729	Gclm
Dmel_FBpp0306672	Gclm
Dmel_FBpp0077939	Gr77a
Dmel_FBpp0086085	CG30103
Dmel_FBpp0312235	Ptth
Dmel_FBpp0312335	Ptth
Dmel_FBpp0305888	Ptth
Dmel_FBpp0084484	CG5909
Dmel_FBpp0088303	eIF4G1
Dmel_FBpp0288389	eIF4G1
Dmel_FBpp0111817	eIF4G1
Dmel_FBpp0308620	qkr58E-1
Dmel_FBpp0071754	qkr58E-1
Dmel_FBpp0312217	qkr58E-1
Dmel_FBpp0305103	CG13933
Dmel_FBpp0072675	CG13933
Dmel_FBpp0301280	kirre
Dmel_FBpp0301281	kirre
Dmel_FBpp0070534	kirre
Dmel_FBpp0301279	kirre
Dmel_FBpp0070535	kirre
Dmel_FBpp0301278	kirre
Dmel_FBpp0304768	kirre
Dmel_FBpp0076111	LanB2
Dmel_FBpp0311281	LanB2
Dmel_FBpp0079568	Ror
Dmel_FBpp0082132	CG14391
Dmel_FBpp0289506	CG7091
Dmel_FBpp0291628	CG33260
Dmel_FBpp0078337	Snm1
Dmel_FBpp0293539	Vps37B
Dmel_FBpp0293538	Vps37B
Dmel_FBpp0078424	Vps37B
Dmel_FBpp0078589	CG9853
Dmel_FBpp0310621	CG9853
Dmel_FBpp0112104	CG9853
Dmel_FBpp0111292	CG34184
Dmel_FBpp0111355	Hsc20
Dmel_FBpp0289851	CG42498
Dmel_FBpp0080210	ppk
Dmel_FBpp0086586	Cyp6a21
Dmel_FBpp0308383	Adar
Dmel_FBpp0070287	Adar
Dmel_FBpp0301692	Adar
Dmel_FBpp0308381	Adar
Dmel_FBpp0308382	Adar
Dmel_FBpp0293951	Adar
Dmel_FBpp0301690	Adar
Dmel_FBpp0300329	Adar
Dmel_FBpp0070286	Adar
Dmel_FBpp0301688	Adar
Dmel_FBpp0100009	Adar
Dmel_FBpp0293950	Adar
Dmel_FBpp0293949	Adar
Dmel_FBpp0301689	Adar
Dmel_FBpp0308867	CG2157
Dmel_FBpp0073238	CG2157
Dmel_FBpp0099868	CG12877
Dmel_FBpp0070952	CG3224
Dmel_FBpp0088796	rho-5
Dmel_FBpp0309205	LManIII
Dmel_FBpp0079346	LManIII
Dmel_FBpp0075749	Adk1
Dmel_FBpp0075750	Adk1
Dmel_FBpp0290428	CG8861
Dmel_FBpp0289564	CG8861
Dmel_FBpp0071478	CG30291
Dmel_FBpp0306898	CG14506
Dmel_FBpp0306897	CG14506
Dmel_FBpp0087606	CG1814
Dmel_FBpp0087605	CG1814
Dmel_FBpp0087604	CG1814
Dmel_FBpp0306270	GC1
Dmel_FBpp0081958	GC1
Dmel_FBpp0305444	CG43922
Dmel_FBpp0079692	CG17098
Dmel_FBpp0099492	Ac13E
Dmel_FBpp0304773	Ac13E
Dmel_FBpp0073889	Ac13E
Dmel_FBpp0309081	su(sable)
Dmel_FBpp0309080	su(sable)
Dmel_FBpp0070115	su(sable)
Dmel_FBpp0075475	nuf
Dmel_FBpp0297577	nuf
Dmel_FBpp0297574	nuf
Dmel_FBpp0297579	nuf
Dmel_FBpp0100130	nuf
Dmel_FBpp0298020	nuf
Dmel_FBpp0297578	nuf
Dmel_FBpp0075474	nuf
Dmel_FBpp0075476	nuf
Dmel_FBpp0089174	nuf
Dmel_FBpp0100129	nuf
Dmel_FBpp0297575	nuf
Dmel_FBpp0293181	Sfp24F
Dmel_FBpp0289532	Sfp24F
Dmel_FBpp0072182	CG30419
Dmel_FBpp0070401	CG3191
Dmel_FBpp0309620	CG3191
Dmel_FBpp0077654	mtRNApol
Dmel_FBpp0304562	mtRNApol
Dmel_FBpp0112097	CG11247
Dmel_FBpp0305006	CG11247
Dmel_FBpp0078113	CG11247
Dmel_FBpp0078112	CG11247
Dmel_FBpp0301841	CG7320
Dmel_FBpp0304877	CG17493
Dmel_FBpp0304878	CG17493
Dmel_FBpp0304876	CG17493
Dmel_FBpp0304803	CG14605
Dmel_FBpp0081119	CG14605
Dmel_FBpp0304804	CG14605
Dmel_FBpp0071680	gom
Dmel_FBpp0084895	Atg16
Dmel_FBpp0084896	Atg16
Dmel_FBpp0308289	Atg16
Dmel_FBpp0084894	Atg16
Dmel_FBpp0099895	primo-1
Dmel_FBpp0099893	primo-1
Dmel_FBpp0072924	Drsl3
Dmel_FBpp0083187	CG31245
Dmel_FBpp0307390	CG11882
Dmel_FBpp0084780	CG11882
Dmel_FBpp0085489	SdhB
Dmel_FBpp0071854	nahoda
Dmel_FBpp0071853	nahoda
Dmel_FBpp0293335	nahoda
Dmel_FBpp0083584	CG6028
Dmel_FBpp0082411	CG14840
Dmel_FBpp0078983	snRNP-U1-70K
Dmel_FBpp0303793	snRNP-U1-70K
Dmel_FBpp0305356	CG34312
Dmel_FBpp0111422	CG34312
Dmel_FBpp0312131	CG34312
Dmel_FBpp0083069	CG10864
Dmel_FBpp0071140	Smox
Dmel_FBpp0309145	Smox
Dmel_FBpp0078483	CG12007
Dmel_FBpp0077688	ninaA
Dmel_FBpp0086725	CG18371
Dmel_FBpp0304514	cmet
Dmel_FBpp0304513	cmet
Dmel_FBpp0304511	cmet
Dmel_FBpp0304512	cmet
Dmel_FBpp0300322	CG32106
Dmel_FBpp0300321	CG32106
Dmel_FBpp0310618	CG2528
Dmel_FBpp0312578	CG2528
Dmel_FBpp0083449	CG17278
Dmel_FBpp0088880	scf
Dmel_FBpp0088881	scf
Dmel_FBpp0288793	CG34453
Dmel_FBpp0080066	CG16972
Dmel_FBpp0308257	PIG-S
Dmel_FBpp0289233	CG42357
Dmel_FBpp0083946	Acp95EF
Dmel_FBpp0076746	yip7
Dmel_FBpp0072209	Brca2
Dmel_FBpp0307922	CG15905
Dmel_FBpp0292142	CG15905
Dmel_FBpp0070327	moody
Dmel_FBpp0292162	moody
Dmel_FBpp0301971	moody
Dmel_FBpp0292163	moody
Dmel_FBpp0292164	moody
Dmel_FBpp0301972	moody
Dmel_FBpp0071888	RpL37b
Dmel_FBpp0075465	Lk
Dmel_FBpp0290429	CG7956
Dmel_FBpp0290430	CG7956
Dmel_FBpp0306726	CG7956
Dmel_FBpp0083511	CG7956
Dmel_FBpp0306725	CG7956
Dmel_FBpp0085108	5-HT7
Dmel_FBpp0306575	5-HT7
Dmel_FBpp0084827	Naa40
Dmel_FBpp0071741	ppk12
Dmel_FBpp0073061	dib
Dmel_FBpp0271776	CG5180
Dmel_FBpp0309446	CG5180
Dmel_FBpp0088545	CG7730
Dmel_FBpp0091053	His3:CG33806
Dmel_FBpp0111815	Pka-R2
Dmel_FBpp0111814	Pka-R2
Dmel_FBpp0087524	Pka-R2
Dmel_FBpp0087523	Pka-R2
Dmel_FBpp0073753	CG5347
Dmel_FBpp0293251	CG17721
Dmel_FBpp0293250	CG17721
Dmel_FBpp0081830	CG17721
Dmel_FBpp0290793	Dif
Dmel_FBpp0290792	Dif
Dmel_FBpp0080561	Dif
Dmel_FBpp0080562	Dif
Dmel_FBpp0080482	Nepl9
Dmel_FBpp0075796	prc
Dmel_FBpp0111963	CG12824
Dmel_FBpp0087906	CG12824
Dmel_FBpp0085908	IM23
Dmel_FBpp0081070	alpha-Est4
Dmel_FBpp0301577	MFS12
Dmel_FBpp0087925	MFS12
Dmel_FBpp0293293	MFS12
Dmel_FBpp0070695	CG15468
Dmel_FBpp0112292	Pgant9
Dmel_FBpp0112291	Pgant9
Dmel_FBpp0112293	Pgant9
Dmel_FBpp0086258	Pgant9
Dmel_FBpp0086259	Pgant9
Dmel_FBpp0074898	CG5103
Dmel_FBpp0087647	Vang
Dmel_FBpp0303474	Vang
Dmel_FBpp0078462	Tim17a2
Dmel_FBpp0302560	ImpE3
Dmel_FBpp0311975	CG15543
Dmel_FBpp0085062	CG15543
Dmel_FBpp0086387	CG8435
Dmel_FBpp0085665	CG18367
Dmel_FBpp0079335	SoxN
Dmel_FBpp0303243	SoxN
Dmel_FBpp0089220	AkhR
Dmel_FBpp0078938	AkhR
Dmel_FBpp0078939	AkhR
Dmel_FBpp0304609	AkhR
Dmel_FBpp0290701	Pfdn5
Dmel_FBpp0083650	Pfdn5
Dmel_FBpp0073438	Nrd1
Dmel_FBpp0083097	CG7718
Dmel_FBpp0078473	Prosbeta2R2
Dmel_FBpp0271877	Npc2e
Dmel_FBpp0075123	tra
Dmel_FBpp0099630	tra
Dmel_FBpp0307791	CG2617
Dmel_FBpp0080921	CG2617
Dmel_FBpp0070165	mus81
Dmel_FBpp0073730	dpr8
Dmel_FBpp0310122	dpr8
Dmel_FBpp0307666	l(2)efl
Dmel_FBpp0072009	l(2)efl
Dmel_FBpp0290455	CG8646
Dmel_FBpp0401488	spas
Dmel_FBpp0083918	spas
Dmel_FBpp0401487	spas
Dmel_FBpp0083919	spas
Dmel_FBpp0311932	spas
Dmel_FBpp0302812	spas
Dmel_FBpp0079648	RnrL
Dmel_FBpp0077208	Sec5
Dmel_FBpp0077786	CG3345
Dmel_FBpp0297766	CG43327
Dmel_FBpp0074813	CG11619
Dmel_FBpp0289999	Fdx2
Dmel_FBpp0071552	CG4286
Dmel_FBpp0085745	CG10474
Dmel_FBpp0083680	CG33093
Dmel_FBpp0310327	ppk17
Dmel_FBpp0080487	ppk17
Dmel_FBpp0309797	CG3726
Dmel_FBpp0070823	CG3726
Dmel_FBpp0077160	CG15425
Dmel_FBpp0072258	Ssl
Dmel_FBpp0081342	CG9684
Dmel_FBpp0077567	CG17650
Dmel_FBpp0310457	CG2053
Dmel_FBpp0085232	CG2053
Dmel_FBpp0312321	emb
Dmel_FBpp0079278	emb
Dmel_FBpp0310126	east
Dmel_FBpp0292166	east
Dmel_FBpp0070312	east
Dmel_FBpp0298291	east
Dmel_FBpp0292165	east
Dmel_FBpp0298290	east
Dmel_FBpp0083705	CG7029
Dmel_FBpp0112183	CG7029
Dmel_FBpp0301741	CG7029
Dmel_FBpp0301740	CG7029
Dmel_FBpp0310701	CG7029
Dmel_FBpp0112182	CG7029
Dmel_FBpp0083825	beat-IV
Dmel_FBpp0304700	beat-IV
Dmel_FBpp0074576	zld
Dmel_FBpp0300192	zld
Dmel_FBpp0074577	zld
Dmel_FBpp0311265	zld
Dmel_FBpp0311065	zld
Dmel_FBpp0288666	GCS1
Dmel_FBpp0298826	GCS1
Dmel_FBpp0084849	CG7789
Dmel_FBpp0081743	pug
Dmel_FBpp0296942	pug
Dmel_FBpp0081742	pug
Dmel_FBpp0081741	pug
Dmel_FBpp0099494	pug
Dmel_FBpp0304543	CG33012
Dmel_FBpp0312389	PGRP-LC
Dmel_FBpp0088491	PGRP-LC
Dmel_FBpp0289519	PGRP-LC
Dmel_FBpp0422538	PGRP-LC
Dmel_FBpp0300668	PGRP-LC
Dmel_FBpp0088998	PGRP-LC
Dmel_FBpp0422539	PGRP-LC
Dmel_FBpp0088492	PGRP-LC
Dmel_FBpp0289518	PGRP-LC
Dmel_FBpp0290987	PGRP-LC
Dmel_FBpp0085029	PH4alphaNE3
Dmel_FBpp0087228	Gr47b
Dmel_FBpp0078759	Coq6
Dmel_FBpp0082856	TwdlW
Dmel_FBpp0307272	CAH14
Dmel_FBpp0071116	Trxr-1
Dmel_FBpp0071115	Trxr-1
Dmel_FBpp0071117	Trxr-1
Dmel_FBpp0307589	CG14906
Dmel_FBpp0081539	CG8149
Dmel_FBpp0112330	Rbfox1
Dmel_FBpp0293631	Rbfox1
Dmel_FBpp0293632	Rbfox1
Dmel_FBpp0293634	Rbfox1
Dmel_FBpp0293633	Rbfox1
Dmel_FBpp0305201	Rbfox1
Dmel_FBpp0422975	Rbfox1
Dmel_FBpp0112331	Rbfox1
Dmel_FBpp0293630	Rbfox1
Dmel_FBpp0085252	Ac3
Dmel_FBpp0099729	Ac3
Dmel_FBpp0083549	dnd
Dmel_FBpp0291024	Alg-2
Dmel_FBpp0110259	nolo
Dmel_FBpp0085257	nolo
Dmel_FBpp0085256	nolo
Dmel_FBpp0308277	nolo
Dmel_FBpp0308276	nolo
Dmel_FBpp0298832	nolo
Dmel_FBpp0290222	nolo
Dmel_FBpp0311922	NetA
Dmel_FBpp0073759	NetA
Dmel_FBpp0300656	NetA
Dmel_FBpp0085114	CG15549
Dmel_FBpp0070627	CG15578
Dmel_FBpp0288684	CG31869
Dmel_FBpp0079778	CG31869
Dmel_FBpp0288685	CG31869
Dmel_FBpp0079430	CG13113
Dmel_FBpp0080814	CG10337
Dmel_FBpp0308736	CG15365
Dmel_FBpp0071292	CG15365
Dmel_FBpp0308737	CG15365
Dmel_FBpp0308523	meso18E
Dmel_FBpp0308522	meso18E
Dmel_FBpp0290917	meso18E
Dmel_FBpp0074581	meso18E
Dmel_FBpp0084632	CG31253
Dmel_FBpp0078944	CG11327
Dmel_FBpp0079606	RpS27A
Dmel_FBpp0071490	insc
Dmel_FBpp0289485	CG5359
Dmel_FBpp0081693	CG5359
Dmel_FBpp0297566	CG5359
Dmel_FBpp0304545	CG33792
Dmel_FBpp0303521	CG4238
Dmel_FBpp0290288	CG4238
Dmel_FBpp0306830	CG4238
Dmel_FBpp0306829	CG4238
Dmel_FBpp0290289	CG4238
Dmel_FBpp0303522	CG4238
Dmel_FBpp0290290	CG4238
Dmel_FBpp0079207	CG8460
Dmel_FBpp0084629	CG4815
Dmel_FBpp0080627	Cyp310a1
Dmel_FBpp0088917	E23
Dmel_FBpp0308631	E23
Dmel_FBpp0308632	E23
Dmel_FBpp0079461	zf30C
Dmel_FBpp0111556	CG34396
Dmel_FBpp0111557	CG34396
Dmel_FBpp0390654	pre-mod(mdg4)-P
Dmel_FBpp0310316	pre-mod(mdg4)-P
Dmel_FBpp0300404	CG43390
Dmel_FBpp0111380	Cpr65Ay
Dmel_FBpp0293210	CG31161
Dmel_FBpp0084293	CG4960
Dmel_FBpp0311937	CG4960
Dmel_FBpp0072899	Girdin
Dmel_FBpp0304409	Girdin
Dmel_FBpp0304407	Girdin
Dmel_FBpp0304408	Girdin
Dmel_FBpp0072900	Girdin
Dmel_FBpp0079769	aurB
Dmel_FBpp0291019	HP1b
Dmel_FBpp0301605	HP1b
Dmel_FBpp0071221	HP1b
Dmel_FBpp0079912	Ced-12
Dmel_FBpp0352247	CG34148
Dmel_FBpp0290229	CG34148
Dmel_FBpp0070831	CG5966
Dmel_FBpp0309959	CG5966
Dmel_FBpp0071010	CG18155
Dmel_FBpp0297443	Mvl
Dmel_FBpp0303079	Mvl
Dmel_FBpp0290693	Mvl
Dmel_FBpp0297444	Mvl
Dmel_FBpp0088507	Mvl
Dmel_FBpp0290692	Mvl
Dmel_FBpp0077665	Hsp60B
Dmel_FBpp0075644	mirr
Dmel_FBpp0075643	mirr
Dmel_FBpp0303110	mirr
Dmel_FBpp0302733	CG14395
Dmel_FBpp0307037	CG14395
Dmel_FBpp0307038	CG14395
Dmel_FBpp0307036	CG14395
Dmel_FBpp0307039	CG14395
Dmel_FBpp0307034	CG14395
Dmel_FBpp0307035	CG14395
Dmel_FBpp0289993	CG14395
Dmel_FBpp0081794	CG31373
Dmel_FBpp0080128	CG7968
Dmel_FBpp0074758	Bet1
Dmel_FBpp0074757	Bet1
Dmel_FBpp0072497	hng3
Dmel_FBpp0304156	hng3
Dmel_FBpp0081882	mgr
Dmel_FBpp0075430	CG9628
Dmel_FBpp0290457	CG9628
Dmel_FBpp0075429	CG9628
Dmel_FBpp0311719	CG18870
Dmel_FBpp0071605	CG18870
Dmel_FBpp0307825	smp-30
Dmel_FBpp0082475	smp-30
Dmel_FBpp0307826	smp-30
