Histone	LinkerHistone	Acetyltransf_1	GNAT_acetyltr_2	Hat1_N	KAT11	MOZ_SAS	Hist_deacetyl	SIR2	DOT1	SET	SWIRM	CupinJmjC	ADD_ATRX	ADD_DNMT3	BAH	BIR	Bromodomain	Chromo	ING	MBT	MRG	PHD	PWWP	SAWADEE	TTD	TUDOR	zf-CW	YEATS	SNF2_N	ASF1_hist_chap	CAF1A	CHZ	Daxx	Hira	HJURP_mid	NAP	Rtt106	SPT16	SSrecog	zf-CCHH	UBN_AB	Nucleoplasmin	ATF7IP	PA1	Dpy-30	Menin	NCOA6	PTIP	TRRAP	AF9	PCRing	YAF2_RYBP	SAM	SLED	Suz12	CAF1C	Kelch	zf-C2H2	zf-CXXC	WD40
Bilateria	1085	259	619	26	24	56	134	220	200	42	815	103	695	31	33	214	266	704	482	86	130	54	1138	297	0	24	453	82	81	638	36	29	3	15	23	1	117	51	24	28	77	31	54	3	24	121	32	25	371	116	29	163	24	1338	50	30	62	1511	7295	125	4772
Cnidaria	365	74	185	11	10	10	37	70	58	20	286	33	283	8	7	50	27	165	146	26	54	16	352	79	0	9	154	35	19	236	9	7	2	1	10	0	16	17	9	9	30	8	16	0	7	31	7	5	128	51	7	53	7	479	31	10	13	434	1133	36	1709
Placozoa	16	1	29	1	1	1	5	7	8	1	16	3	37	0	0	4	1	15	7	3	6	2	27	5	0	0	6	0	3	18	1	1	0	0	0	0	2	2	1	1	3	1	1	0	1	5	0	0	15	5	1	4	1	26	0	1	2	22	35	2	190
Ctenophora	12	3	15	1	1	1	4	5	9	5	25	3	12	1	1	5	1	19	9	3	1	3	37	6	0	1	21	4	3	17	1	1	0	0	0	0	2	2	1	1	1	1	1	0	0	4	0	0	11	3	1	2	0	19	0	1	2	37	122	2	142
Porifera	284	38	147	6	5	17	29	53	65	11	148	30	238	2	5	39	26	171	166	17	37	16	296	78	0	8	154	22	17	186	6	6	0	0	10	0	38	14	9	7	28	8	22	0	2	27	0	1	106	48	4	16	6	431	10	10	13	726	357	64	1452
Choanoflagellata	36	2	34	2	2	3	7	7	12	5	38	2	95	0	0	10	2	38	25	5	4	6	25	8	0	0	2	1	2	51	1	2	0	0	1	0	2	3	3	2	3	1	3	0	0	10	0	0	16	7	0	5	0	60	0	3	4	43	48	0	292
Filasterea	31	2	20	1	2	3	4	15	10	4	28	5	33	0	0	4	1	23	14	2	2	1	32	5	0	0	3	0	3	44	1	1	0	0	3	0	4	2	3	2	4	0	1	0	0	1	0	0	16	7	0	2	0	31	0	0	3	31	14	0	226
Ichthyosporea	57	4	67	4	4	9	11	27	26	8	95	10	62	0	0	7	3	65	55	9	0	7	79	14	0	0	7	1	10	92	5	4	3	0	4	0	7	11	4	4	1	0	6	0	0	8	0	0	40	21	0	1	0	32	0	0	13	36	102	0	501
Corallochytrea	13	1	22	1	1	1	3	10	6	1	13	3	12	0	0	2	1	10	2	3	0	1	20	3	0	0	1	0	2	21	1	1	0	0	1	0	2	3	1	1	0	0	1	0	0	2	0	0	8	3	1	0	0	7	0	0	2	8	10	0	105
Fungi	388	31	516	22	22	22	73	129	116	25	386	126	192	0	0	53	22	315	470	64	2	32	291	41	0	0	26	0	57	505	23	21	16	0	20	0	54	62	23	23	4	11	28	0	0	29	0	0	157	90	0	3	0	153	0	6	57	189	914	0	2889
