i	j	weight
AAA	AAA_lid_10	45
AAA	AT_hook	1
AAA	BAH	42
AAA	Cdc6_C	17
AAA	PHD	21
AAA	Ribosomal_L7Ae	1
AAA	SANTA	1
AAA	UQ_con	1
AAA_lid_10	AT_hook	1
AAA_lid_10	BAH	38
AAA_lid_10	Cdc6_C	17
AAA_lid_10	PHD	21
AAA_lid_10	Ribosomal_L7Ae	1
AAA_lid_10	SANTA	1
AAA_lid_10	UQ_con	1
AT_hook	BAH	1
AT_hook	Cdc6_C	1
AWS	BAH	24
AWS	Bromodomain	20
AWS	PHD	3
AWS	SET	24
Agenet	Agenet	3
Agenet	BAH	12
Atrophin-1	BAH	10
Atrophin-1	ELM2	10
Atrophin-1	GATA	9
BAH	BAH	172
BAH	BRCT_2	1
BAH	BRCT_3	1
BAH	Bromodomain	96
BAH	Cdc6_C	14
BAH	Chromo	32
BAH	DAN	1
BAH	DMAP_binding	9
BAH	DNA_methylase	102
BAH	DNA_pol_B	2
BAH	DNA_pol_B_exo1	3
BAH	DNMT1-RFD	60
BAH	DUF3527	1
BAH	DUF3652	1
BAH	ELM2	75
BAH	GATA	39
BAH	HARE-HTH	1
BAH	HMG_box	45
BAH	HMG_box_2	2
BAH	JAB	1
BAH	MBD	2
BAH	MTA_R1	40
BAH	Med26	16
BAH	Myb_DNA-binding	28
BAH	ORC2	2
BAH	PHD	116
BAH	PHD_2	10
BAH	PWWP	1
BAH	Pkinase_Tyr	1
BAH	RRM_1	3
BAH	Ribosom_S12_S23	1
BAH	Ribosomal_L7Ae	1
BAH	SANTA	1
BAH	SET	28
BAH	TFIIS_M	21
BAH	VEFS-Box	3
BAH	zf-C2H2	11
BAH	zf-C4pol	1
BAH	zf-CCCH	1
BAH	zf-CXXC	32
BAH	zf-HC5HC2H_2	20
BRCT_2	BRCT_3	1
Bromodomain	Bromodomain	1
Bromodomain	CLTH	1
Bromodomain	HMG_box	42
Bromodomain	HMG_box_2	1
Bromodomain	PHD	2
Bromodomain	SET	21
Cdc6_C	PHD	2
Cdc6_C	UQ_con	1
Chromo	DNA_methylase	36
Chromo	Pkinase_Tyr	1
DAN	DNA_methylase	1
DAN	DNMT1-RFD	1
DAN	zf-CXXC	1
DMAP_binding	DNA_methylase	9
DMAP_binding	DNMT1-RFD	9
DMAP_binding	zf-CXXC	9
DNA_methylase	DNMT1-RFD	59
DNA_methylase	Pkinase_Tyr	1
DNA_methylase	zf-CXXC	28
DNA_pol_B	DNA_pol_B_exo1	1
DNA_pol_B	zf-C4pol	1
DNA_pol_B_exo1	zf-C4pol	1
DNMT1-RFD	zf-CXXC	29
DUF3527	TFIIS_M	1
ELM2	GATA	37
ELM2	MTA_R1	40
ELM2	Myb_DNA-binding	25
ELM2	PHD	2
ELM2	PHD_2	2
ELM2	zf-C2H2	11
ELM2	zf-HC5HC2H_2	2
GATA	MTA_R1	19
GATA	Myb_DNA-binding	16
GATA	zf-C2H2	1
HMG_box	HMG_box	1
MTA_R1	Myb_DNA-binding	23
MTA_R1	zf-C2H2	10
Myb_DNA-binding	PHD	1
Myb_DNA-binding	PHD_2	1
Myb_DNA-binding	zf-C2H2	2
Myb_DNA-binding	zf-HC5HC2H_2	2
PHD	PHD	4
PHD	PHD_2	4
PHD	Ribosomal_L7Ae	1
PHD	SANTA	1
PHD	SET	3
PHD	zf-HC5HC2H_2	10
PHD_2	zf-HC5HC2H_2	10
RRM_1	RRM_1	2
Ribosomal_L7Ae	SANTA	1
SET	zf-CCCH	1
VEFS-Box	VEFS-Box	2
