i	j	weight
Acetyltransf_1	Helicase_RecD	1
Acetyltransf_1	Methyltr_RsmB-F	1
Aldo_ket_red	DUF1726	1
Aldo_ket_red	GNAT_acetyltr_2	1
Aldo_ket_red	Helicase_RecD	1
Aldo_ket_red	tRNA_bind_2	1
Biotin_carb_C	Biotin_carb_N	1
Biotin_carb_C	Biotin_lipoyl	1
Biotin_carb_C	CPSase_L_D2	1
Biotin_carb_C	Carboxyl_trans	1
Biotin_carb_C	DUF1726	1
Biotin_carb_C	GNAT_acetyltr_2	1
Biotin_carb_C	Helicase_RecD	1
Biotin_carb_C	VIT1	1
Biotin_carb_C	tRNA_bind_2	1
Biotin_carb_N	Biotin_lipoyl	1
Biotin_carb_N	CPSase_L_D2	1
Biotin_carb_N	Carboxyl_trans	1
Biotin_carb_N	DUF1726	1
Biotin_carb_N	GNAT_acetyltr_2	1
Biotin_carb_N	Helicase_RecD	1
Biotin_carb_N	VIT1	1
Biotin_carb_N	tRNA_bind_2	1
Biotin_lipoyl	CPSase_L_D2	1
Biotin_lipoyl	Carboxyl_trans	1
Biotin_lipoyl	DUF1726	1
Biotin_lipoyl	GNAT_acetyltr_2	1
Biotin_lipoyl	Helicase_RecD	1
Biotin_lipoyl	VIT1	1
Biotin_lipoyl	tRNA_bind_2	1
CPSase_L_D2	Carboxyl_trans	1
CPSase_L_D2	DUF1726	1
CPSase_L_D2	GNAT_acetyltr_2	1
CPSase_L_D2	Helicase_RecD	1
CPSase_L_D2	VIT1	1
CPSase_L_D2	tRNA_bind_2	1
Carboxyl_trans	DUF1726	1
Carboxyl_trans	GNAT_acetyltr_2	1
Carboxyl_trans	Helicase_RecD	1
Carboxyl_trans	VIT1	1
Carboxyl_trans	tRNA_bind_2	1
DUF1726	DUF2237	1
DUF1726	GNAT_acetyltr_2	168
DUF1726	Helicase_RecD	168
DUF1726	RRM_1	1
DUF1726	VIT1	1
DUF1726	tRNA_bind_2	156
DUF1726	zf-RING_2	1
DUF2237	GNAT_acetyltr_2	1
DUF2237	Helicase_RecD	1
GNAT_acetyltr_2	GNAT_acetyltr_2	7
GNAT_acetyltr_2	Helicase_RecD	184
GNAT_acetyltr_2	RRM_1	1
GNAT_acetyltr_2	VIT1	1
GNAT_acetyltr_2	tRNA_bind_2	169
GNAT_acetyltr_2	tRNA_bind_3	1
GNAT_acetyltr_2	zf-RING_2	1
Helicase_RecD	Helicase_RecD	2
Helicase_RecD	Methyltr_RsmB-F	1
Helicase_RecD	RRM_1	1
Helicase_RecD	VIT1	1
Helicase_RecD	tRNA_bind_2	164
Helicase_RecD	zf-RING_2	1
RRM_1	tRNA_bind_2	1
VIT1	tRNA_bind_2	1
tRNA_bind_2	zf-RING_2	1
