i	j	weight
ANAPC4_WD40	HIRA_B	1
ANAPC4_WD40	Hira	5
ANAPC4_WD40	WD40	3
BPL_LplA_LipB	Hira	1
BPL_LplA_LipB	WD40	1
BTK	HIRA_B	2
BTK	Hira	2
BTK	PH	2
BTK	Pkinase_Tyr	2
BTK	SH2	1
BTK	WD40	2
HIRA_B	Hira	46
HIRA_B	Integrase_H2C2	1
HIRA_B	PD40	1
HIRA_B	PH	2
HIRA_B	Peptidase_A17	1
HIRA_B	Pkinase_Tyr	2
HIRA_B	SH2	1
HIRA_B	WD40	44
Hira	Hira	23
Hira	Integrase_H2C2	1
Hira	PD40	1
Hira	PH	2
Hira	Peptidase_A17	1
Hira	Pkinase_Tyr	2
Hira	SH2	1
Hira	UQ_con	1
Hira	WD40	124
Integrase_H2C2	Peptidase_A17	1
Integrase_H2C2	WD40	1
PD40	WD40	1
PH	Pkinase_Tyr	2
PH	SH2	1
PH	WD40	2
Peptidase_A17	WD40	1
Pkinase_Tyr	SH2	1
Pkinase_Tyr	WD40	2
SH2	WD40	1
Utp13	WD40	1
