i	j	weight
7tm_2	GAIN	1
7tm_2	GPS	1
7tm_2	HYR	1
7tm_2	Hist_deacetyl	1
ADK	DUF305	1
ADK	Hist_deacetyl	1
ADK	NMO	1
ADK	RNA_pol_A_CTD	1
ADK	RNA_pol_A_bac	1
ADK	RNA_pol_L	1
ADK	Ribosomal_L17	1
ADK	Ribosomal_L18p	1
ADK	Ribosomal_L27A	1
ADK	Ribosomal_L5	1
ADK	Ribosomal_L5_C	1
ADK	Ribosomal_L6	1
ADK	Ribosomal_S5	1
ADK	Ribosomal_S5_C	1
ADK	SecY	1
ADK	adh_short	1
ARID	Hist_deacetyl	1
ATP-cone	Bac_globin	1
ATP-cone	DNA_methylase	1
ATP-cone	DUF808	1
ATP-cone	Hist_deacetyl	1
ATP-cone	RE_Eco29kI	1
ATP-cone	Ribonuc_red_lgC	1
ATP-cone	Ribonuc_red_lgN	1
ATP-cone	Ribonuc_red_sm	1
Adenine_glyco	CoA_transf_3	1
Adenine_glyco	Hist_deacetyl	1
Adenine_glyco	Plug	1
Adenine_glyco	TonB_dep_Rec	1
Aldo_ket_red	Aldo_ket_red	1
Aldose_epim	DUF1688	1
Aldose_epim	Hist_deacetyl	1
Aldose_epim	PGM_PMM_I	1
Aldose_epim	PGM_PMM_II	1
Aldose_epim	PGM_PMM_III	1
Aldose_epim	PGM_PMM_IV	1
Aldose_epim	PfkB	1
Aldose_epim	Phosphonate-bd	1
Aldose_epim	UPRTase	1
Aldose_epim	gag-asp_proteas	1
Amidohydro_1	Hist_deacetyl	1
Amidohydro_1	RNase_T	1
Ank	Ank_2	7
Ank	Ank_4	1
Ank	Ank_5	1
Ank	Hist_deacetyl	9
Ank_2	Ank_4	2
Ank_2	Ank_5	2
Ank_2	Hist_deacetyl	34
Ank_2	Myb_DNA-binding	5
Ank_2	PAH	1
Ank_3	Hist_deacetyl	2
Ank_4	Hist_deacetyl	3
Ank_5	Hist_deacetyl	6
Arb2	Hist_deacetyl	10
BRCT	Beta_helix	1
BRCT	Hist_deacetyl	1
BRCT	PTCB-BRCT	1
BRCT_2	Hist_deacetyl	1
BRCT_2	PTCB-BRCT	1
Bac_globin	DNA_methylase	1
