i	j	weight
2OG-FeII_Oxy_3	Histone	1
7tm_1	Histone	1
7tm_1	LRR_8	1
7tm_2	GPS	1
7tm_2	Histone	1
AAA	Histone	1
AAA	Lon_C	1
AAA_12	Ank_2	1
AAA_12	Histone	1
AAA_5	AAA_6	1
AAA_5	AAA_7	1
AAA_5	DHC_N2	1
AAA_5	Histone	1
AAA_5	Histone_H2A_C	1
AAA_6	AAA_7	1
AAA_6	DHC_N2	1
AAA_6	Histone	1
AAA_6	Histone_H2A_C	1
AAA_7	DHC_N2	1
AAA_7	Histone	1
AAA_7	Histone_H2A_C	1
ARS2	Histone	1
ARS2	SERRATE_Ars2_N	1
AWS	Histone	1
AWS	SET	1
Abhydrolase_3	Histone	1
Ank_2	CBFD_NFYB_HMF	1
Ank_2	Histone	1
BTB	Histone	1
BTB	Histone_H2A_C	1
CBFD_NFYB_HMF	CBFD_NFYB_HMF	1087
CBFD_NFYB_HMF	CRAL_TRIO	1
CBFD_NFYB_HMF	F-box-like	1
CBFD_NFYB_HMF	HMG_box	21
CBFD_NFYB_HMF	HMG_box_2	9
CBFD_NFYB_HMF	Iso_dh	1
CBFD_NFYB_HMF	MRP-S33	1
CBFD_NFYB_HMF	MULE	1
CBFD_NFYB_HMF	PDCD2_C	1
CBFD_NFYB_HMF	Pkinase	1
CBFD_NFYB_HMF	Pkinase_Tyr	1
CBFD_NFYB_HMF	RIBIOP_C	1
CBFD_NFYB_HMF	SRF-TF	1
CBFD_NFYB_HMF	Sulfate_transp	1
CBFD_NFYB_HMF	Tmemb_cc2	1
CBFD_NFYB_HMF	UCH	1
CBFD_NFYB_HMF	cNMP_binding	1
CBFD_NFYB_HMF	zf-CXXC	1
CDC37_C	CDC37_M	1
CDC37_C	CDC37_N	1
CDC37_C	Histone	1
CDC37_M	CDC37_N	1
CDC37_M	Histone	1
CDC37_N	Histone	1
CENP-S	CENP-S	80
CENP-S	Somatostatin	1
CENP-T_C	CENP-T_C	409
CENP-T_C	CENP-T_N	1
CENP-T_C	DSPc	1
CENP-T_C	Histone	25
CENP-T_C	Histone_H2A_C	3
CENP-T_C	LSM	1
CENP-T_C	PITH	1
CENP-W	CENP-W	12
CENP-X	CENP-X	15
DCX	Histone	1
DCX	Histone_H2A_C	1
DDE_1	Histone	1
DDE_1	Histone_H2A_C	1
DHC_N2	Histone	1
DHC_N2	Histone_H2A_C	1
DSL	Histone	1
E1_dh	Histone	1
E1_dh	Histone_H2A_C	1
E1_dh	PK	1
E1_dh	PK_C	1
E1_dh	Transket_pyr	1
E1_dh	Transketolase_C	1
EF-hand_5	Histone	1
EF-hand_5	RVT_1	1
Exo_endo_phos	Histone	1
Exo_endo_phos	RVT_1	1
Exo_endo_phos_2	Histone	3
Exo_endo_phos_2	RVT_1	2
FNIP	Histone	1
F_actin_cap_B	Histone	1
GPS	Histone	1
Glyco_tran_10_N	Glyco_transf_10	1
Glyco_tran_10_N	Histone	1
Glyco_transf_10	Histone	1
HAD_SAK_2	Histone	1
Helicase_C	Histone	1
Helicase_C	SNF2_N	1
Histone	Histone	1842
Histone	Histone_H2A_C	953
Histone	Ig_3	1
Histone	Integrase_H2C2	1
Histone	Ion_trans	1
Histone	Kelch_1	1
Histone	LMF1	1
Histone	LRR_8	1
Histone	LRR_9	1
Histone	Laminin_G_1	1
Histone	Linker_histone	3
Histone	Lon_C	1
Histone	MOZ_SAS	1
Histone	Macro	42
Histone	NAP	1
Histone	OPA3	1
Histone	PAXX	1
Histone	PH	25
Histone	PK	1
Histone	PK_C	1
Histone	Peptidase_C48	3
Histone	Plavaka	11
Histone	RRM_1	2
Histone	RVT_1	6
Histone	Ras	1
Histone	RasGEF	23
Histone	RasGEF_N	22
Histone	RhoGEF	26
Histone	SAP	1
Histone	SERRATE_Ars2_N	1
Histone	SET	1
Histone	SH3_2	1
Histone	SNF2_N	1
Histone	TAF	1
Histone	TAFII28	1
Histone	TANGO2	1
Histone	TIC20	1
Histone	Transket_pyr	1
Histone	Transketolase_C	1
Histone	UQ_con	1
Histone	XRN_M	1
Histone	XRN_N	1
Histone	p450	1
Histone	zf-C3HC4_4	1
Histone	zf-CCHH	1
Histone	zf-MYST	1
Histone	zf-RING_9	1
Histone	zf-TRAF	2
Histone_H2A_C	Ig_3	1
Histone_H2A_C	Laminin_G_1	1
Histone_H2A_C	Linker_histone	1
Histone_H2A_C	MOZ_SAS	1
Histone_H2A_C	Macro	38
Histone_H2A_C	NAP	1
Histone_H2A_C	PK	1
Histone_H2A_C	PK_C	1
Histone_H2A_C	RRM_1	1
Histone_H2A_C	Ras	1
Histone_H2A_C	Transket_pyr	1
Histone_H2A_C	Transketolase_C	1
Histone_H2A_C	zf-CCHH	1
Histone_H2A_C	zf-MYST	1
Ig_3	MOZ_SAS	1
Ig_3	Macro	1
Ig_3	NAP	1
Ig_3	zf-MYST	1
Integrase_H2C2	Peptidase_C48	1
MOZ_SAS	Macro	1
MOZ_SAS	NAP	1
MOZ_SAS	zf-MYST	1
Macro	NAP	1
Macro	RRM_1	1
Macro	zf-MYST	1
NAP	zf-MYST	1
PH	RasGEF	21
PH	RasGEF_N	22
PH	RhoGEF	24
PH	SH3_2	1
PK	PK_C	1
PK	Transket_pyr	1
PK	Transketolase_C	1
PK_C	Transket_pyr	1
PK_C	Transketolase_C	1
RasGEF	RasGEF_N	20
RasGEF	RhoGEF	21
RasGEF_N	RhoGEF	21
RhoGEF	SH3_2	1
Sulfate_transp	cNMP_binding	1
TAFII28	TAFII28	32
TFIID_20kDa	TFIID_20kDa	48
Transket_pyr	Transketolase_C	1
XRN_M	XRN_N	1
zf-C3HC4_4	zf-TRAF	1
