i	j	weight
AAA_5	AAA_6	2
AAA_5	AAA_7	2
AAA_5	AAA_8	2
AAA_5	AAA_9	2
AAA_5	AAA_lid_1	2
AAA_5	AAA_lid_11	2
AAA_5	DHC_N2	2
AAA_5	Dynein_AAA_lid	2
AAA_5	Dynein_C	2
AAA_5	Dynein_heavy	2
AAA_5	Filamin	2
AAA_5	Kelch_3	1
AAA_5	Kelch_4	2
AAA_5	Kelch_6	1
AAA_5	MT	2
AAA_5	TIG	2
AAA_6	AAA_7	17
AAA_6	AAA_8	17
AAA_6	AAA_9	15
AAA_6	AAA_lid_1	17
AAA_6	AAA_lid_11	14
AAA_6	DHC_N2	19
AAA_6	Dynein_AAA_lid	17
AAA_6	Dynein_C	14
AAA_6	Dynein_heavy	15
AAA_6	Filamin	18
AAA_6	Kelch_1	5
AAA_6	Kelch_2	2
AAA_6	Kelch_3	7
AAA_6	Kelch_4	13
AAA_6	Kelch_5	3
AAA_6	Kelch_6	7
AAA_6	MT	15
AAA_6	NuA4	1
AAA_6	TIG	13
AAA_7	AAA_8	17
AAA_7	AAA_9	15
AAA_7	AAA_lid_1	17
AAA_7	AAA_lid_11	14
AAA_7	DHC_N2	17
AAA_7	Dynein_AAA_lid	17
AAA_7	Dynein_C	14
AAA_7	Dynein_heavy	15
AAA_7	Filamin	16
AAA_7	Kelch_1	4
AAA_7	Kelch_2	2
AAA_7	Kelch_3	6
AAA_7	Kelch_4	12
AAA_7	Kelch_5	3
AAA_7	Kelch_6	7
AAA_7	MT	15
AAA_7	TIG	12
AAA_8	AAA_9	15
AAA_8	AAA_lid_1	17
AAA_8	AAA_lid_11	14
AAA_8	DHC_N2	17
AAA_8	Dynein_AAA_lid	17
AAA_8	Dynein_C	14
AAA_8	Dynein_heavy	15
AAA_8	Filamin	16
AAA_8	Kelch_1	4
AAA_8	Kelch_2	2
AAA_8	Kelch_3	6
AAA_8	Kelch_4	12
AAA_8	Kelch_5	3
AAA_8	Kelch_6	7
AAA_8	MT	15
AAA_8	TIG	12
AAA_9	AAA_lid_1	15
AAA_9	AAA_lid_11	14
AAA_9	DHC_N2	15
AAA_9	Dynein_AAA_lid	15
AAA_9	Dynein_C	14
AAA_9	Dynein_heavy	15
AAA_9	Filamin	15
AAA_9	Kelch_1	2
AAA_9	Kelch_2	1
AAA_9	Kelch_3	6
AAA_9	Kelch_4	12
AAA_9	Kelch_5	3
AAA_9	Kelch_6	6
AAA_9	MT	15
AAA_9	TIG	10
AAA_lid_1	AAA_lid_11	14
AAA_lid_1	DHC_N2	17
AAA_lid_1	Dynein_AAA_lid	17
AAA_lid_1	Dynein_C	14
AAA_lid_1	Dynein_heavy	15
AAA_lid_1	Filamin	16
AAA_lid_1	Kelch_1	4
AAA_lid_1	Kelch_2	2
AAA_lid_1	Kelch_3	6
AAA_lid_1	Kelch_4	12
AAA_lid_1	Kelch_5	3
AAA_lid_1	Kelch_6	7
AAA_lid_1	MT	15
AAA_lid_1	TIG	12
AAA_lid_11	DHC_N2	14
AAA_lid_11	Dynein_AAA_lid	14
AAA_lid_11	Dynein_C	14
AAA_lid_11	Dynein_heavy	14
AAA_lid_11	Filamin	14
AAA_lid_11	Kelch_1	1
AAA_lid_11	Kelch_3	6
AAA_lid_11	Kelch_4	12
AAA_lid_11	Kelch_5	3
AAA_lid_11	Kelch_6	5
AAA_lid_11	MT	14
AAA_lid_11	TIG	9
ACBP	CRS1_YhbY	1
ACBP	Kelch_1	26
ACBP	Kelch_2	5
ACBP	Kelch_3	28
ACBP	Kelch_4	20
ACBP	Kelch_5	3
ACBP	Kelch_6	1
AMP-binding	Kelch_1	1
AMP-binding	Kelch_2	1
AMP-binding	Kelch_4	1
AMP-binding	Kelch_5	1
AMP-binding	NAD_binding_4	1
AMP-binding	PARG_cat	1
AMP-binding	PP-binding	1
AMPK1_CBM	Kelch_1	2
AMPK1_CBM	Kelch_4	2
AMPK1_CBM	Kelch_5	2
ATP_bind_3	Kelch_1	1
ATP_bind_3	Kelch_3	1
ATP_bind_3	Kelch_5	1
Aminotran_5	Kelch_4	1
Aminotran_5	Kelch_5	1
Ank_2	Fic	1
Ank_2	Kelch_1	1
Ank_2	Kelch_4	1
Ank_2	Kelch_5	1
Ank_2	Kelch_6	1
Ank_2	SOCS_box	1
Arm	Kelch_4	1
Arm	Kelch_5	1
BACK	BTB	4
BACK	Kelch_1	2
BACK	Kelch_3	4
BACK	Kelch_4	1
BACK	Kelch_6	3
BTB	Integrase_H2C2	1
BTB	Kelch_1	22
BTB	Kelch_2	3
BTB	Kelch_3	17
BTB	Kelch_4	24
BTB	Kelch_5	19
BTB	Kelch_6	18
BTB	NPR3	1
BTB	PCMT	1
BTB	RT_RNaseH	1
BTB	RVT_1	1
BTB	SPRY	1
BTB_2	Kelch_2	1
BTB_2	Kelch_5	1
C2	Kelch_1	2
C2	Kelch_2	1
C2	Kelch_3	2
C2	Kelch_4	1
C2	Kelch_5	1
CRS1_YhbY	Kelch_1	1
CRS1_YhbY	Kelch_2	1
CRS1_YhbY	Kelch_3	1
CUB	EGF_3	1
CUB	Kelch_1	1
CUB	Kelch_4	2
CUB	Kelch_5	2
CUB	Laminin_EGF	2
CUB	PSI	2
Cupin_8	Kelch_4	1
Cupin_8	Kelch_5	1
Cupin_8	Met_10	1
Cupin_8	TYW3	1
DHC_N2	Dynein_AAA_lid	17
DHC_N2	Dynein_C	14
DHC_N2	Dynein_heavy	15
DHC_N2	Filamin	18
DHC_N2	Kelch_1	5
DHC_N2	Kelch_2	2
DHC_N2	Kelch_3	7
DHC_N2	Kelch_4	13
DHC_N2	Kelch_5	3
DHC_N2	Kelch_6	7
DHC_N2	MT	15
DHC_N2	NuA4	1
DHC_N2	TIG	13
DUF4110	Kelch_1	1
DUF4110	Kelch_3	4
DUF4110	Kelch_4	7
DUF4110	Kelch_5	2
DUF4110	Kelch_6	3
DUF659	Kelch_3	1
DUF659	Kelch_4	1
DUF89	Kelch_1	1
DUF89	Kelch_4	1
Dynein_AAA_lid	Dynein_C	14
Dynein_AAA_lid	Dynein_heavy	15
Dynein_AAA_lid	Filamin	16
Dynein_AAA_lid	Kelch_1	4
Dynein_AAA_lid	Kelch_2	2
Dynein_AAA_lid	Kelch_3	6
Dynein_AAA_lid	Kelch_4	12
Dynein_AAA_lid	Kelch_5	3
Dynein_AAA_lid	Kelch_6	7
Dynein_AAA_lid	MT	15
Dynein_AAA_lid	TIG	12
Dynein_C	Dynein_heavy	14
Dynein_C	Filamin	14
Dynein_C	Kelch_1	1
Dynein_C	Kelch_3	6
Dynein_C	Kelch_4	12
Dynein_C	Kelch_5	3
Dynein_C	Kelch_6	5
Dynein_C	MT	14
Dynein_C	TIG	9
Dynein_heavy	Filamin	15
Dynein_heavy	Kelch_1	2
Dynein_heavy	Kelch_2	1
Dynein_heavy	Kelch_3	6
Dynein_heavy	Kelch_4	12
Dynein_heavy	Kelch_5	3
Dynein_heavy	Kelch_6	6
Dynein_heavy	MT	15
Dynein_heavy	TIG	10
EGF_2	EGF_Tenascin	3
EGF_2	Guanylate_cyc	1
EGF_2	Kelch_1	1
EGF_2	Kelch_3	1
EGF_2	Kelch_4	3
EGF_3	Kelch_1	1
EGF_3	Kelch_4	1
EGF_3	Kelch_5	1
EGF_3	Laminin_EGF	1
EGF_3	PSI	1
EGF_Tenascin	Kelch_1	2
EGF_Tenascin	Kelch_3	1
EGF_Tenascin	Kelch_4	4
Ephrin_rec_like	Kelch_1	1
Ephrin_rec_like	Kelch_3	1
F-box	Kelch_1	2
F-box	Kelch_3	2
F-box	Kelch_4	1
F-box-like	Kelch_1	7
F-box-like	Kelch_2	5
F-box-like	Kelch_3	5
F-box-like	Kelch_4	8
F-box-like	Kelch_5	3
F-box-like	Kelch_6	5
F-box-like	PS_Dcarbxylase	1
Fic	Kelch_4	1
Fic	Kelch_5	1
Filamin	HSP70	1
Filamin	Kelch_1	5
Filamin	Kelch_2	1
Filamin	Kelch_3	11
Filamin	Kelch_4	14
Filamin	Kelch_5	3
Filamin	Kelch_6	7
Filamin	Laminin_G_3	1
Filamin	MT	15
Filamin	NuA4	1
Filamin	TIG	12
Fis1_TPR_C	Kelch_3	1
Guanylate_cyc	Kelch_3	1
HSP70	Kelch_3	1
HSP70	Kelch_4	1
HSP70	Kelch_6	1
Integrase_H2C2	Kelch_1	1
Integrase_H2C2	Kelch_4	1
Integrase_H2C2	Kelch_6	1
Integrase_H2C2	RT_RNaseH	1
Integrase_H2C2	RVT_1	1
Kelch_1	Kelch_1	14
Kelch_1	Kelch_2	42
Kelch_1	Kelch_3	139
Kelch_1	Kelch_4	183
Kelch_1	Kelch_5	89
Kelch_1	Kelch_6	60
Kelch_1	Laminin_EGF	2
Kelch_1	MORN	3
Kelch_1	MT	2
Kelch_1	Metallophos	2
Kelch_1	NAD_binding_4	1
Kelch_1	NuA4	1
Kelch_1	PARG_cat	1
Kelch_1	PCMT	1
Kelch_1	PP-binding	1
Kelch_1	PSI	3
Kelch_1	PS_Dcarbxylase	1
Kelch_1	Pkinase	1
Kelch_1	Pkinase_Tyr	3
Kelch_1	RPEL	1
Kelch_1	RT_RNaseH	1
Kelch_1	RVT_1	1
Kelch_1	RhoGEF	6
Kelch_1	SAM_1	3
Kelch_1	SOCS_box	1
Kelch_1	TIG	5
Kelch_1	ubiquitin	2
Kelch_1	zf-C3HC4_3	3
Kelch_2	Kelch_3	31
Kelch_2	Kelch_4	48
Kelch_2	Kelch_5	29
Kelch_2	Kelch_6	24
Kelch_2	MORN	1
Kelch_2	MT	1
Kelch_2	Metallophos	5
Kelch_2	NAD_binding_4	1
Kelch_2	NPR3	1
Kelch_2	PARG_cat	1
Kelch_2	PP-binding	1
Kelch_2	Pkinase	1
Kelch_2	RhoGEF	1
Kelch_2	SAM_1	1
Kelch_2	SPRY	1
Kelch_2	TIG	2
Kelch_2	TPR_12	1
Kelch_2	U-box	1
Kelch_2	ubiquitin	2
Kelch_2	zf-C3HC4_3	1
Kelch_3	Kelch_3	16
Kelch_3	Kelch_4	189
Kelch_3	Kelch_5	67
Kelch_3	Kelch_6	44
Kelch_3	LRR_8	1
Kelch_3	Laminin_G_3	1
Kelch_3	MORN	1
Kelch_3	MT	6
Kelch_3	Metallophos	3
Kelch_3	PCMT	1
Kelch_3	Pkinase	2
Kelch_3	Pkinase_Tyr	8
Kelch_3	RCC1	1
Kelch_3	RCC1_2	1
Kelch_3	RPEL	1
Kelch_3	RhoGAP	2
Kelch_3	RhoGEF	1
Kelch_3	SAM_1	4
Kelch_3	SAM_2	1
Kelch_3	TIG	3
Kelch_3	TPR_12	1
Kelch_3	TPR_2	3
Kelch_3	U-box	3
Kelch_3	WD40	1
Kelch_3	WH2	1
Kelch_3	cNMP_binding	2
Kelch_3	zf-C3HC4_3	4
Kelch_4	Kelch_4	11
Kelch_4	Kelch_5	111
Kelch_4	Kelch_6	69
Kelch_4	Laminin_EGF	2
Kelch_4	MORN	2
Kelch_4	MT	12
Kelch_4	Met_10	1
Kelch_4	Metallophos	7
Kelch_4	NAD_binding_4	1
Kelch_4	NPR3	1
Kelch_4	PARG_cat	1
Kelch_4	PP-binding	1
Kelch_4	PSI	2
Kelch_4	Pkinase	3
Kelch_4	Pkinase_Tyr	6
Kelch_4	RPEL	1
Kelch_4	RT_RNaseH	1
Kelch_4	RVT_1	1
Kelch_4	RhoGAP	2
Kelch_4	RhoGEF	4
Kelch_4	SAM_1	4
Kelch_4	SAM_2	1
Kelch_4	SPRY	1
Kelch_4	TIG	9
Kelch_4	TPR_12	1
Kelch_4	TPR_2	1
Kelch_4	TYW3	1
Kelch_4	U-box	1
Kelch_4	WH2	2
Kelch_4	cNMP_binding	2
Kelch_4	fn3	1
Kelch_4	zf-C3HC4_3	3
Kelch_5	Kelch_5	1
Kelch_5	Kelch_6	37
Kelch_5	Laminin_EGF	3
Kelch_5	MORN	2
Kelch_5	MT	3
Kelch_5	Met_10	1
Kelch_5	Metallophos	2
Kelch_5	NAD_binding_4	1
Kelch_5	NPR3	1
Kelch_5	PARG_cat	1
Kelch_5	PP-binding	1
Kelch_5	PSI	4
Kelch_5	Pkinase	1
Kelch_5	Pkinase_Tyr	2
Kelch_5	RPEL	1
Kelch_5	RhoGAP	1
Kelch_5	RhoGEF	3
Kelch_5	SAM_1	1
Kelch_5	SPRY	1
Kelch_5	TIG	3
Kelch_5	TPR_12	1
Kelch_5	TYW3	1
Kelch_5	U-box	2
Kelch_5	WH2	1
Kelch_5	ubiquitin	1
Kelch_5	zf-C3HC4_3	1
Kelch_6	Laminin_EGF	1
Kelch_6	MORN	1
Kelch_6	MT	6
Kelch_6	PSI	1
Kelch_6	PS_Dcarbxylase	1
Kelch_6	Pkinase_Tyr	1
Kelch_6	RT_RNaseH	1
Kelch_6	RVT_1	1
Kelch_6	RhoGEF	1
Kelch_6	SAM_1	1
Kelch_6	SOCS_box	1
Kelch_6	TIG	5
Kelch_6	U-box	1
Kelch_6	ubiquitin	1
Kelch_6	zf-C3HC4_3	3
LRR_8	WD40	1
Laminin_EGF	PSI	3
MORN	RhoGEF	3
MT	TIG	10
Met_10	TYW3	1
NAD_binding_4	PARG_cat	1
NAD_binding_4	PP-binding	1
NuA4	TIG	1
PARG_cat	PP-binding	1
Pkinase	SAM_1	2
Pkinase_Tyr	TPR_2	3
RCC1	RCC1_2	1
RT_RNaseH	RVT_1	1
