i	j	weight
AT_hook	Linker_histone	9
Alpha-mann_mid	Glyco_hydro_38C	1
Alpha-mann_mid	Glyco_hydro_38N	1
Alpha-mann_mid	Linker_histone	1
BTB	Linker_histone	1
DDT	Linker_histone	3
DDT	PWWP	2
DDT	WHIM1	3
DDT	WSD	2
FHA	Linker_histone	2
FHA	Pkinase	2
FKBP_C	Linker_histone	5
GATase_6	Linker_histone	1
GATase_6	SIS	1
GATase_6	WWE	1
Glyco_hydro_38C	Glyco_hydro_38N	1
Glyco_hydro_38C	Linker_histone	1
Glyco_hydro_38N	Linker_histone	1
Helicase_C	Linker_histone	6
Helicase_C	SNF2_N	6
Helicase_C	zf-C3HC4	2
Histone	Histone_H2A_C	1
Histone	Linker_histone	3
Histone_H2A_C	Linker_histone	1
Hus1	Linker_histone	1
Linker_histone	Linker_histone	582
Linker_histone	MOZ_SAS	13
Linker_histone	Myb_DNA-binding	40
Linker_histone	NUDIX	2
Linker_histone	PHD	16
Linker_histone	PLATZ	1
Linker_histone	PWWP	2
Linker_histone	Pkinase	3
Linker_histone	Plant_NMP1	1
Linker_histone	RFX_DNA_binding	2
Linker_histone	SAM_1	1
Linker_histone	SIS	1
Linker_histone	SNF2_N	6
Linker_histone	SWIB	1
Linker_histone	Tetraspanin	1
Linker_histone	WHIM1	3
Linker_histone	WSD	3
Linker_histone	WWE	6
Linker_histone	adh_short	1
Linker_histone	zf-C2HC	6
Linker_histone	zf-C3HC4	2
Linker_histone	zf-MYST	13
MOZ_SAS	PHD	10
MOZ_SAS	zf-C2HC	6
MOZ_SAS	zf-MYST	13
PHD	SAM_1	1
PHD	zf-C2HC	7
PHD	zf-MYST	11
PWWP	WHIM1	2
PWWP	WSD	2
SIS	WWE	1
SNF2_N	zf-C3HC4	2
WD40	WD40	1
WHIM1	WSD	2
WWE	adh_short	1
zf-C2HC	zf-MYST	6
