i	j	weight
53-BP1_Tudor	Tudor-knot	1
ADAM_spacer1	MBT	1
ADAM_spacer1	NTR	1
ADAM_spacer1	SLED	1
ANAPC10	Filamin	1
ANAPC10	MBT	2
ANAPC10	PHR	2
ANAPC10	RCC1	1
ANAPC10	RCC1_2	1
ANAPC10	zf-RING_2	2
Ank_2	HECT	1
Ank_2	MIB_HERC2	1
Ank_2	Sad1_UNC	1
COR	LRR_8	2
COR	MBT	2
COR	Roc	2
COR	TIR_2	1
Cyt-b5	FA_desaturase	1
Cyt-b5	MBT	1
Cyt-b5	SAM_1	1
Cyt-b5	SLED	1
DUF3776	MBT	1
DUF3776	PHD20L1_u1	1
DUF3776	Tudor_2	1
FA_desaturase	MBT	1
FA_desaturase	SAM_1	1
FA_desaturase	SLED	1
Filamin	MBT	1
Filamin	PHR	1
Filamin	RCC1_2	1
Filamin	zf-RING_2	1
HECT	MBT	1
HECT	MIB_HERC2	2
HECT	Sad1_UNC	2
HMG_box	MBT	3
HMG_box	SAM_1	3
HMG_box	SLED	3
LRR_8	MBT	2
LRR_8	Roc	2
LRR_8	TIR_2	1
MBD	MBT	3
MBD	PHD	1
MBD	THAP	2
MBT	MBT	66
MBT	MIB_HERC2	1
MBT	MRP-L46	1
MBT	NTR	1
MBT	OTU	1
MBT	PH	1
MBT	PHD	5
MBT	PHD20L1_u1	1
MBT	PHR	2
MBT	Pkinase	2
MBT	Pkinase_Tyr	1
MBT	RBR	4
MBT	RCC1	1
MBT	RCC1_2	1
MBT	RRM_1	1
MBT	Ras	1
MBT	Roc	2
MBT	SAM_1	112
MBT	SAM_PNT	1
MBT	SLED	80
MBT	SPRY	1
MBT	Sad1_UNC	1
MBT	T-box	1
MBT	THAP	4
MBT	TIR_2	10
MBT	Tudor_2	2
MBT	Tudor_3	4
MBT	UIM	1
MBT	eRF1_2	1
MBT	zf-C2HC	38
MBT	zf-C3HC4_2	2
MBT	zf-FCS	3
MBT	zf-HC5HC2H	2
MBT	zf-RING_2	2
MIB_HERC2	Sad1_UNC	2
NTR	SLED	1
OTU	UIM	1
PHD	Tudor-knot	1
PHD	Tudor_2	2
PHD	Tudor_3	1
PHD20L1_u1	Tudor_2	1
PHR	RCC1	1
PHR	RCC1_2	1
PHR	zf-RING_2	2
Pkinase	Ras	1
RBR	SAM_1	4
RBR	SLED	4
RCC1	zf-RING_2	1
RCC1_2	zf-RING_2	1
RRM_1	zf-C2HC	1
Roc	TIR_2	1
SAM_1	SLED	68
SAM_1	T-box	1
SAM_1	eRF1_2	1
SAM_1	zf-C2HC	26
SAM_1	zf-FCS	2
SLED	eRF1_2	1
SLED	zf-FCS	3
Tudor-knot	Tudor-knot	5
Tudor-knot	Tudor_2	1
