i	j	weight
Aminotran_3	HMG_box	1
Aminotran_3	POB3_N	1
Aminotran_3	Rtt106	1
Aminotran_3	SSrecog	1
EF-hand_5	EF-hand_7	1
EF-hand_5	POB3_N	1
EF-hand_5	Rtt106	1
EF-hand_5	SSrecog	1
EF-hand_7	POB3_N	1
EF-hand_7	Rtt106	1
EF-hand_7	SSrecog	1
HMG_box	HMG_box_2	2
HMG_box	POB3_N	83
HMG_box	Rad21_Rec8	1
HMG_box	Rtt106	86
HMG_box	SSrecog	83
HMG_box_2	POB3_N	1
HMG_box_2	Rtt106	2
HMG_box_2	SSrecog	2
MFS_1	POB3_N	1
MFS_1	SSrecog	1
POB3_N	POB3_N	1
POB3_N	RVT_1	1
POB3_N	Rad21_Rec8	1
POB3_N	Rtt106	152
POB3_N	SSrecog	160
RVT_1	SSrecog	1
Rad21_Rec8	Rtt106	1
Rad21_Rec8	SSrecog	1
Rtt106	Rtt106	8
Rtt106	SSrecog	163
SSrecog	SSrecog	6
