orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
ADD_ATRX.HG1.0:ATRX	Adig,Apla,Auraur,Cgig,Cint,Clyhem,Cscu,Ctel,Dmel,Dpul,Drer,Emul,Exapal,Helrob,Hsap,Hydvul,Lgig,Linana,Lpol,Marpol,Mlei,Morvir,Mpus,Notgen,Nvec,Phoaus,Ppat,Sacu,Scil,Sman,Smoe,Sphfal,Spis,Spur,Tcas,Tetwil	Eukaryota	Amoebozoa,Ancyromonadida,Aque,Azfi,Bralan,CRuMs,Charophyta,Choanoflagellata,Cpar,Cryptista,Discoba,Emue,Filasterea,Hemichordata,Hemimastigophora,Holomycota,Lcom,Malawimonadidae,Metamonada,Meteor,Ocar,Otau,Pygbif,Rhodophyta,SARHap,Spermatophyta,Tadh,Tardigrada,Teretosporea,Tetraphytina,Ttra	1	31	107
ADD_DNMT3.HG1.0:DNMT3A/DNMT3B/DNMT3L	Adig,Apla,Aque,Auraur,Cgig,Clyhem,Cscu,Ctel,Dpul,Drer,Helrob,Hsap,Hydvul,Lcom,Lgig,Linana,Lpol,Mlei,Morvir,Nvec,Phoaus,Ptyfla,Scil,Skow,Spis,Spur,Tetwil	Metazoa	Bralan,Cint,Emue,Exapal,Insecta,Notgen,Ocar,Platyhelminta,Tadh,Tardigrada	1	10	81
AF9.HG1.0:MLLT1/MLLT3	Adig,Apla,Aque,Bralan,Cgig,Cint,Clim,Clyhem,Cscu,Diprot,Dmel,Dpul,Drer,Emue,Exapal,Hduj,Helrob,Hsap,Hydvul,Linana,Lpol,Mlei,Morvir,Notgen,Nvec,Ocar,Phoaus,Ptyfla,Ramvar,Rigram,Skow,Spis,Spur,Tadh,Tcas,Tetwil	AmorCRUM	Amoebozoa,Auraur,Calcarea,Choanoflagellata,Ctel,Filasterea,Holomycota,Ichthyosporea,Lgig,Manpla,Platyhelminta,Pygbif,Ttra	1	13	92
ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	Bnat,Bodsal,Carmem,Glam,Lepsey,Lmaj,Strcul,Tcru	Eukaryota	AmorCRUM,Ancyromonadida,ArchaeCry,Haptista,Hemimastigophora,Heterolobosea,Jakobida,Kipbia,Malawimonadidae,Meteor,Plabra,Retfil,StrAlv,Tvag	1	14	31
ASF1_hist_chap.HG1.1:ASF1A/ASF1B	Aano,Acas,Acoe,Adig,Alblai,Amac,Amobb2,Ancsig,Andgod,Apla,Aplker,Aque,Atha,Atri,Auraur,Aurlim,Azfi,Bden,Bdis,Bnat,Bralan,Bremin,Cang,Caulen,Cavfas,Ccin,Cfra,Cgig,Chabra,Chocri,Chrtob,Cint,Clim,Clyhem,Cmer,Cneo,Cocsub,Coerev,Coka,Concor,Cowc,Cpar,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Ehux,Emue,Emul,Esil,Exapal,Fabtro,Falb,Gefoke,Gonavo,Gpro,Gracho,Gthe,Hduj,Helrob,Hemkuk,Hetalb,Honfer,Hsap,Hydvul,Ihof,Jakbah,Jaklib,Klenit,Lcom,Lgig,Linana,Lpol,Malcal,Maljak,Manpla,Marpol,Masbal,Mbre,Mcir,Meteor,Mgut,Mlei,Morelo,Morvir,Mpus,Ncra,Ngad,Ngru,Nk52,Notgen,Nutlon,Nvec,Ocar,Otau,Oxytri,Pavlsp,Pbla,Perkma,Pfal,Phakir,Phatri,Phoaus,Pinf,Pisp,Plabra,Plafun,Plamic,Porpur,Porumb,Ppat,Ptet,Ptyfla,Pygbif,Rall,Ramvar,Retfil,Rhidel,Rigram,Rirr,Sacu,Sappar,Sarc,Sbic,Scer,Schagg,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spimul,Spis,Spom,Spun,Spur,Styinc,Symmic,Tadh,Tcas,Tetwil,Tgon,Tielac,Tmel,Tpse,Tthe,Ttra,Tvag,Ulvmut,Umay,Umbram,Vcar,Vitbra	Eukaryota	Eimten,Euglenozoa,Fornicata,Mvib,Recame,Sros	1	6	376
Acetyltransf_1.HG1.0:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Acas,Acoe,Atha,Atri,Azfi,Bdis,Chrtob,Clim,Coka,Cvar,Ehux,Gthe,Ihof,Klenit,Marpol,Mgut,Pavlsp,Pinf,Pisp,Ppat,Pygbif,Sbic,Sphfal	Eukaryota	Alblai,Alveolata,Ancyromonadida,Blastocladiomycota,CRuMs,Chabra,ChlorUlvophy,Chytridiomycetes,Cocsub,Cpar,DiatPelag,Discoba,Esil,Evosea,Falb,Filozoa,Gonavo,Gpro,Hemimastigophora,Labyrinthulea,Malawimonadidae,Mamiellophyceae,Metamonada,Meteor,Ngad,Nk52,Plafun,Rall,Rhizaria,Rhodophyta,Sacu,Sappar,SarcCfra,Smoe,TerFun,Ttra	1	36	73
Acetyltransf_1.HG1.10:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Acas,Cvel,Exapal,Gefoke,Hemkuk,Lcom,Nvec,Perkma,Scil,Spimul,Spis,Styinc	Eukaryota	Adig,Ancyromonadida,Andgod,Apicomplexa,ArchaeCry,Bilateria,CRuMs,Choanoflagellata,Ciliata,Demospongiae,Dinoflagellata,Discicristata,Evosea,Filasterea,Haptista,Histionina,Holomycota,HydScyCubozoa,Malawimonas,Metamonada,Meteor,Mlei,Ocar,Plafun,Pygbif,Rhizaria,Stramenopiles,Tadh,Teretosporea,Ttra,Vitbra	1	31	52
Acetyltransf_1.HG1.11:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Fabtro,Masbal,Plamic,Spimul,Styinc	Eukaryota	Acas,Ancyromonadidae,Andgod,CRuMs,Diaphoratickes,Discicristata,Eumycetozoa,Hemkuk,Histionina,Malawimonadidae,Metamonada,Meteor,Obazoa,Plafun	1	14	18
Acetyltransf_1.HG1.12:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	Aplker,Bralan,Cang,Cgig,Coka,Ctel,Cvel,Ehux,Hetalb,Linana,Nk52,Porpur,Spimul,Symmic,Tpse	Eukaryota	Aano,Acas,Amac,Ambulacraria,Ancyromonadida,Apicomplexa,ArtTardi,Bremin,CRuMs,Cavfas,Choanoflagellata,Chrtob,Chytridiomycota,Ciliata,Clim,Cmer,CniTri,Cpar,Cryptista,Dictyosteliales,Discoba,Esil,Eurhodophytina,Falb,Filasterea,Helrob,Hemkuk,Icthyophonida,Lgig,Malawimonadidae,Masbal,Metamonada,Meteor,Mlei,Ngad,Notgen,Oomycota,Pavlsp,Perkma,Phatri,Phoaus,Plafun,Platyhelminta,Porifera,Pygbif,Rall,Rhizaria,TerFun,Thraustochytrida,Ttra,VertTuni,Viridiplantae,Vitbra	1	53	83
Acetyltransf_1.HG1.13:like:NAA30:likeclu:14	Amobb2,Bnat,Cowc,Falb,Gefoke,Ngad,Rigram	Eukaryota	Alveolata,Amoebozoa,Ancyromonadida,ArchaeCry,Choanozoa,DiatPelag,Diprot,Euglenozoa,Fungi,Haptista,Hemimastigophora,Jakobida,Labyrinthulea,Malawimonas,Manpla,Metamonada,Meteor,Mvib,Oomycota,Phaeophyceae,Plabra,Pygbif,Retfil,Teretosporea,TetraPhary,Ttra	1	26	37
Acetyltransf_1.HG1.14:NAA30	Acas,Acoe,Adig,Alblai,Amac,Ancsig,Andgod,Apla,Aplker,Aque,Atha,Atri,Aurlim,Azfi,Bden,Bdis,Bnat,Bralan,Bremin,Cang,Carmem,Caulen,Ccin,Cfra,Chabra,Chocri,Cint,Clim,Clyhem,Cmer,Cneo,Cocsub,Coerev,Coka,Concor,Cowc,Cpar,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Ehux,Emue,Emul,Esil,Exapal,Falb,Gefoke,Glam,Gonavo,Gpro,Gracho,Gthe,Hduj,Helrob,Hemkuk,Hetalb,Honfer,Hsap,Hydvul,Ihof,Jakbah,Klenit,Lcom,Lepsey,Lgig,Linana,Lmaj,Lpol,Malcal,Maljak,Manpla,Marpol,Masbal,Mbre,Mcir,Meteor,Mgut,Mlei,Morelo,Morvir,Mpus,Ncra,Ngad,Nk52,Notgen,Nutlon,Nvec,Otau,Oxytri,Pavlsp,Pbla,Perkma,Pfal,Phakir,Phatri,Phoaus,Pinf,Pisp,Plabra,Plafun,Plamic,Porpur,Porumb,Ppat,Ptet,Ptyfla,Pygbif,Rall,Ramvar,Recame,Retfil,Rigram,Rirr,Sacu,Sappar,Sarc,Sbic,Scer,Schagg,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spimul,Spis,Spom,Spun,Spur,Sros,Strcul,Styinc,Tadh,Tcas,Tcru,Tetwil,Tgon,Tielac,Tmel,Tpse,Tthe,Tvag,Ulvmut,Umay,Umbram,Vcar,Vitbra	Eukaryota	Aano,Amobb2,Auraur,Bodsal,Cavfas,Cgig,Chrtob,Eimten,Fabtro,Jaklib,Kipbia,Mvib,Ngru,Ocar,Rhidel,Symmic,Ttra	1	17	332
