gene	orthogroup	orthologous_to
Retfil_ETO07158_85-252	RVT.HG48.0:NA	NA
Morvir_scaffold210.g14.t1_328-540	RVT.HG48.0:NA	NA
Cscu_XP_023232189.1_7-121	RVT.HG48.0:NA	NA
Clyhem_TCONS_00041609-protein_202-406	RVT.HG48.0:NA	NA
Cscu_XP_023212631.1_16-184	RVT.HG48.0:NA	NA
Spis_Spis20695_1_24-187	RVT.HG48.0:NA	NA
Ptyfla_pfl_40v0_9_20150316_1g22530.t1_84-286	RVT.HG48.0:NA	NA
Clyhem_TCONS_00039426-protein_241-443	RVT.HG48.0:NA	NA
Bralan_BL25520_evm0_156-375	RVT.HG48.0:NA	NA
Spur_XP_003730115.2_332-532	RVT.HG48.0:NA	NA
Cscu_XP_023210871.1_90-293	RVT.HG48.0:NA	NA
Cscu_XP_023212126.1_1-117	RVT.HG48.0:NA	NA
Aque_Aqu2.1.05977_001_1-89	RVT.HG48.0:NA	NA
Spis_XP_022783320_1_1-158	RVT.HG48.0:NA	NA
Apla_XP_022087613.1_89-209	RVT.HG48.0:NA	NA
Tetwil_Twilhelma_g232.t1_113-322	RVT.HG48.0:NA	NA
Morvir_scaffold453.g10.t1_328-540	RVT.HG48.0:NA	NA
Apla_XP_022105762.1_113-195	RVT.HG48.0:NA	NA
Spur_XP_030849739.1_71-272	RVT.HG48.0:NA	NA
Spur_XP_011666638.2_338-529	RVT.HG48.0:NA	NA
Adig_XP_015776012.1_142-320	RVT.HG48.0:NA	NA
Morvir_scaffold512.g2.t1_328-540	RVT.HG48.0:NA	NA
Apla_XP_022096535.1_31-131	RVT.HG48.0:NA	NA
Exapal_XP_020914493.1_73-215	RVT.HG48.0:NA	NA
Clyhem_TCONS_00037187-protein_107-330	RVT.HG48.0:NA	NA
Cscu_XP_023235814.1_328-520	RVT.HG48.0:NA	NA
Aque_Aqu2.1.26661_001_26-139	RVT.HG48.0:NA	NA
Cscu_XP_023231613.1_725-936	RVT.HG48.0:NA	NA
Clyhem_TCONS_00041331-protein_102-256	RVT.HG48.0:NA	NA
Spur_XP_030842332.1_82-282	RVT.HG48.0:NA	NA
Clyhem_TCONS_00043692-protein_266-421	RVT.HG48.0:NA	NA
Ocar_g7298.t1_669-890	RVT.HG48.0:NA	NA
Spur_XP_030855968.1_335-531	RVT.HG48.0:NA	NA
Cscu_XP_023212226.1_221-376	RVT.HG48.0:NA	NA
Spur_XP_030842331.1_332-532	RVT.HG48.0:NA	NA
Cscu_XP_023235630.1_153-259	RVT.HG48.0:NA	NA
Clyhem_TCONS_00027061-protein_1-196	RVT.HG48.0:NA	NA
Emue_0034g30a_193-340	RVT.HG48.0:NA	NA
Aque_Aqu2.1.14984_001_200-367	RVT.HG48.0:NA	NA
Cscu_XP_023213085.1_206-386	RVT.HG48.0:NA	NA
Cscu_XP_023230160.1_1-117	RVT.HG48.0:NA	NA
Cscu_XP_023212783.1_281-444	RVT.HG48.0:NA	NA
Clyhem_TCONS_00038487-protein_19-132	RVT.HG48.0:NA	NA
Cscu_XP_023230812.1_154-354	RVT.HG48.0:NA	NA
Auraur_scaffold1844.g5.t1_22-234	RVT.HG48.0:NA	NA
Spur_XP_030838458.1_222-423	RVT.HG48.0:NA	NA
Lcom_lcpid57306_339-546	RVT.HG48.0:NA	NA
Exapal_XP_020906008.1_75-269	RVT.HG48.0:NA	NA
Spis_Spis11611_1_98-286	RVT.HG48.0:NA	NA
Auraur_scaffold858.g4.t1_267-461	RVT.HG48.0:NA	NA
Ptyfla_pfl_40v0_9_20150316_1g16971.t1_20-229	RVT.HG48.0:NA	NA
Emue_0024g5a_202-348	RVT.HG48.0:NA	NA
Cscu_XP_023225628.1_1-147	RVT.HG48.0:NA	NA
Adig_XP_015764052.1_4-187	RVT.HG48.0:NA	NA
