in_gene	out_gene	branch_support	ev_type	sos
Lepsey_KPI84082	Atha_AT4G10710.1	1.0	S	0.0
Lepsey_KPI84082	Pinf_PITG_08392T0	1.0	S	0.0
Lepsey_KPI84082	Chabra_GBG67251	1.0	S	0.0
Lepsey_KPI84082	Falb_KCV71854	1.0	S	0.0
Lepsey_KPI84082	Mlei_ML2635_g19_t1	1.0	S	0.0
Lepsey_KPI84082	Acoe_PIA25479.1	1.0	S	0.0
Lepsey_KPI84082	Otau_XP_003082352.1	1.0	S	0.0
Lepsey_KPI84082	Pfal_CAD51538	1.0	S	0.0
Lepsey_KPI84082	Hduj_OQV21600.1	1.0	S	0.0
Lepsey_KPI84082	Alblai_CCA22366	1.0	S	0.0
Lepsey_KPI84082	Phoaus_g9458.t1	1.0	S	0.0
Lepsey_KPI84082	Cint_ENSCINP00000006432.3	1.0	S	0.0
Lepsey_KPI84082	Drer_ENSDARP00000111043.2	1.0	S	0.0
Lepsey_KPI84082	Bden_EGF81416	1.0	S	0.0
Lepsey_KPI84082	Tthe_EAR97944	1.0	S	0.0
Lepsey_KPI84082	Pisp_OUM59449.1	1.0	S	0.0
Lepsey_KPI84082	Ptet_CAK88706	1.0	S	0.0
Lepsey_KPI84082	Ocar_g3196.t1	1.0	S	0.0
Lepsey_KPI84082	Aano_EGB03036	1.0	S	0.0
Lepsey_KPI84082	Dpul_EFX88993	1.0	S	0.0
Lepsey_KPI84082	Ancsig_Gene.39168	1.0	S	0.0
Lepsey_KPI84082	Plabra_CEO95595	1.0	S	0.0
Lepsey_KPI84082	Cang_ORZ39360	1.0	S	0.0
Lepsey_KPI84082	Rirr_GBC53590	1.0	S	0.0
Lepsey_KPI84082	Sbic_KXG25529	1.0	S	0.0
Lepsey_KPI84082	Diprot_Gene.10425	1.0	S	0.0
Lepsey_KPI84082	Mpus_XP_003055390.1	1.0	S	0.0
Lepsey_KPI84082	Sman_Smp_212220.1_pep	1.0	S	0.0
Lepsey_KPI84082	Ulvmut_UM030_00201	1.0	S	0.0
Lepsey_KPI84082	Ccin_EAU88389	1.0	S	0.0
Lepsey_KPI84082	Auraur_scaffold318.g2.t3	1.0	S	0.0
Lepsey_KPI84082	Linana_g30304.t1	1.0	S	0.0
Lepsey_KPI84082	Ramvar_GAU95532.1	1.0	S	0.0
Lepsey_KPI84082	Schagg_61718	1.0	S	0.0
Lepsey_KPI84082	Ptet_CAK60914	1.0	S	0.0
Lepsey_KPI84082	Mbre_EDQ90301	1.0	S	0.0
Lepsey_KPI84082	Maljak_MALJA_15142.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Sarc_Sarc4_g30479T	1.0	S	0.0
Lepsey_KPI84082	Morvir_scaffold47.g176.t1	1.0	S	0.0
Lepsey_KPI84082	Ppat_Pp3c13_15990V3.1	1.0	S	0.0
Lepsey_KPI84082	Auraur_scaffold318.g2.t1	1.0	S	0.0
Lepsey_KPI84082	Phatri_Phatr3_J18239.p1	1.0	S	0.0
Lepsey_KPI84082	Ngru_EFC41568	1.0	S	0.0
Lepsey_KPI84082	Notgen_g6483.t1	1.0	S	0.0
Lepsey_KPI84082	Eimten_CDJ38732	1.0	S	0.0
Lepsey_KPI84082	Aque_Aqu2.1.37890_001	1.0	S	0.0
Lepsey_KPI84082	Tgon_TGME49_221670-t26_1	1.0	S	0.0
Lepsey_KPI84082	Perkma_EER11761	1.0	S	0.0
Lepsey_KPI84082	Amobb2_AMBB2_08001.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Retfil_ETO34005	1.0	S	0.0
Lepsey_KPI84082	Oxytri_EJY83465	1.0	S	0.0
Lepsey_KPI84082	Oxytri_EJY83408	1.0	S	0.0
Lepsey_KPI84082	Ttra_KNC56189	1.0	S	0.0
Lepsey_KPI84082	Chocri_XP_005711361.1	1.0	S	0.0
Lepsey_KPI84082	Sacu_v1.1_s0124.g021592	1.0	S	0.0
Lepsey_KPI84082	Sbic_KXG37201	1.0	S	0.0
Lepsey_KPI84082	Esil_CBJ48313	1.0	S	0.0
Lepsey_KPI84082	Aplker_72398	1.0	S	0.0
Lepsey_KPI84082	Adig_XP_015778637.1	1.0	S	0.0
Lepsey_KPI84082	Gracho_PXF42592.1	1.0	S	0.0
Lepsey_KPI84082	Bdis_KQK21282	1.0	S	0.0
Lepsey_KPI84082	Amac_KNE55111	1.0	S	0.0
Lepsey_KPI84082	Skow_XP_002733005.1	1.0	S	0.0
Lepsey_KPI84082	Spis_XP_022794768_1	1.0	S	0.0
Lepsey_KPI84082	Bdis_KQJ86806	1.0	S	0.0
Lepsey_KPI84082	Hsap_ENSP00000216297.2	1.0	S	0.0
Lepsey_KPI84082	Tadh_P18255	1.0	S	0.0
Lepsey_KPI84082	Acas_ELR19917	1.0	S	0.0
Lepsey_KPI84082	Cavfas_EGG20843	1.0	S	0.0
Lepsey_KPI84082	Meteor_CRO19MET_NODE_1643.p1	1.0	S	0.0
Lepsey_KPI84082	Plebac_Pbla_mRNA_12717	1.0	S	0.0
Lepsey_KPI84082	Morelo_OAQ33302	1.0	S	0.0
Lepsey_KPI84082	Maljak_MALJA_04666.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Rall_EPZ34080	1.0	S	0.0
Lepsey_KPI84082	Aurlim_38931	1.0	S	0.0
Lepsey_KPI84082	Dmel_FBpp0072743	1.0	S	0.0
Lepsey_KPI84082	Rigram_Gene.19619	1.0	S	0.0
Lepsey_KPI84082	Cmer_CMS358CT	1.0	S	0.0
Lepsey_KPI84082	Nvec_NVE13787	1.0	S	0.0
Lepsey_KPI84082	Pbla_XP_018287076.1	1.0	S	0.0
Lepsey_KPI84082	Cpar_Cpar_evm1s4831	1.0	S	0.0
Lepsey_KPI84082	Spun_KNC97903	1.0	S	0.0
Lepsey_KPI84082	Umbram_217392	1.0	S	0.0
Lepsey_KPI84082	Lcom_lcpid28005	1.0	S	0.0
Lepsey_KPI84082	Sappar_KDO29493	1.0	S	0.0
Lepsey_KPI84082	Mgut_XP_012835888.1	1.0	S	0.0
Lepsey_KPI84082	Malcal_MALCA_08757.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Marpol_PTQ49489	1.0	S	0.0
Lepsey_KPI84082	Spur_XP_030831419.1	1.0	S	0.0
Lepsey_KPI84082	Tielac_KYQ92358	1.0	S	0.0
Lepsey_KPI84082	Cscu_XP_023213721.1	1.0	S	0.0
Lepsey_KPI84082	Gefoke_MALSP_01823.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Spom_SPBP8B7.19.1_pep	1.0	S	0.0
Lepsey_KPI84082	Cfra_CFRG0782T1	1.0	S	0.0
Lepsey_KPI84082	Gpro_KXS15107	1.0	S	0.0
Lepsey_KPI84082	Umay_KIS66580	1.0	S	0.0
Lepsey_KPI84082	Ptet_CAK83841	1.0	S	0.0
Lepsey_KPI84082	Tpse_EED92313	1.0	S	0.0
Lepsey_KPI84082	Vcar_XP_002955705.1	1.0	S	0.0
Lepsey_KPI84082	Porumb_OSX75937.1	1.0	S	0.0
Lepsey_KPI84082	Porpur_KAA8495563.1	1.0	S	0.0
Lepsey_KPI84082	Lpol_XP_013776943.1	1.0	S	0.0
Lepsey_KPI84082	Ptet_CAK57463	1.0	S	0.0
Lepsey_KPI84082	Cgig_EKC29643	1.0	S	0.0
Lepsey_KPI84082	Atri_ERM97861	1.0	S	0.0
Lepsey_KPI84082	Coka_g5573.t1	1.0	S	0.0
Lepsey_KPI84082	Bnat_JGI_V11_84833	1.0	S	0.0
Lepsey_KPI84082	Pygbif_GCRY01003682.1.p1	1.0	S	0.0
Lepsey_KPI84082	Ngad_EWM30360	1.0	S	0.0
Lepsey_KPI84082	Concor_KXN73281	1.0	S	0.0
Lepsey_KPI84082	Tcas_XP_972477.1	1.0	S	0.0
Lepsey_KPI84082	Acoe_PIA37977.1	1.0	S	0.0
Lepsey_KPI84082	Sros_EGD75018	1.0	S	0.0
Lepsey_KPI84082	Caulen_g2426.t1	1.0	S	0.0
Lepsey_KPI84082	Mgut_XP_012859031.1	1.0	S	0.0
Lepsey_KPI84082	Crei_PNW76311	1.0	S	0.0
Lepsey_KPI84082	Tmel_CAZ80542	1.0	S	0.0
Lepsey_KPI84082	Nk52_evm24s675	1.0	S	0.0
Lepsey_KPI84082	Ctel_CapteP155000	1.0	S	0.0
Lepsey_KPI84082	Helrob_HelroP193835	1.0	S	0.0
Lepsey_KPI84082	Cvel_21555.t1-p1	1.0	S	0.0
Lepsey_KPI84082	Hetalb_XP_020438888.1	1.0	S	0.0
Lepsey_KPI84082	Phakir_PHAKIR_17565.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Bremin_symbB.v1.2.001474.t1	1.0	S	0.0
Lepsey_KPI84082	Cocsub_XP_005647797.1	1.0	S	0.0
Lepsey_KPI84082	Ddis_EAL66198	1.0	S	0.0
Lepsey_KPI84082	Smoe_EFJ08291	1.0	S	0.0
Lepsey_KPI84082	Ptyfla_pfl_40v0_9_20150316_1g5494.t1	1.0	S	0.0
Lepsey_KPI84082	Vitbra_CEM04056.1	1.0	S	0.0
Lepsey_KPI84082	Aano_EGB04544	1.0	S	0.0
Lepsey_KPI84082	Cowc_KJE97150	1.0	S	0.0
Lepsey_KPI84082	Sphfal_Sphfalx02G113400.1.p	1.0	S	0.0
Lepsey_KPI84082	Pavlsp_841382	1.0	S	0.0
Lepsey_KPI84082	Exapal_XP_020911009.1	1.0	S	0.0
Lepsey_KPI84082	Bdis_KQK21280	1.0	S	0.0
Lepsey_KPI84082	Nutlon_comp19798_c0_seq1.p1	1.0	S	0.0
Lepsey_KPI84082	Ncra_EAA32294	1.0	S	0.0
Lepsey_KPI84082	Amac_KNE56776	1.0	S	0.0
Lepsey_KPI84082	Lgig_LotgiP124718	1.0	S	0.0
Lepsey_KPI84082	Ihof_evm4s544	1.0	S	0.0
Lepsey_KPI84082	Hydvul_Sc4wPfr_39.g20468.t1	1.0	S	0.0
Lepsey_KPI84082	Atri_ERN15830	1.0	S	0.0
Lepsey_KPI84082	Atha_AT4G10670.1	1.0	S	0.0
Lepsey_KPI84082	Emue_0018g834a	1.0	S	0.0
Lepsey_KPI84082	Perkma_EER20308	1.0	S	0.0
Lepsey_KPI84082	Honfer_GBG27947	1.0	S	0.0
Lepsey_KPI84082	Linana_g23566.t1	1.0	S	0.0
Lepsey_KPI84082	Clyhem_TCONS_00021341-protein	1.0	S	0.0
Lepsey_KPI84082	Cvar_XP_005850785.1	1.0	S	0.0
Lepsey_KPI84082	Apla_XP_022082378.1	1.0	S	0.0
Lepsey_KPI84082	Plamic_ANCSI_06597.mRNA.1	1.0	S	0.0
Lepsey_KPI84082	Plafun_PRP76098	1.0	S	0.0
Lepsey_KPI84082	Mcir_OAD04082	1.0	S	0.0
Lepsey_KPI84082	Emul_CDS43613.1	1.0	S	0.0
Lepsey_KPI84082	Coerev_PIA19017.1	1.0	S	0.0
Lepsey_KPI84082	Scer_YGL207W	1.0	S	0.0
Lepsey_KPI84082	Scil_scpid27997	1.0	S	0.0
Lepsey_KPI84082	Chrtob_KOO29846.1	1.0	S	0.0
Lepsey_KPI84082	Rhidel_EIE81524	1.0	S	0.0
Lepsey_KPI84082	Clim_evm107s134	1.0	S	0.0
Lepsey_KPI84082	Acoe_PIA25218.1	1.0	S	0.0
Lepsey_KPI84082	Cneo_AAW42200	1.0	S	0.0
Lepsey_KPI84082	Klenit_GAQ87220.1	1.0	S	0.0
Carmem_2810.p1	Atha_AT4G10710.1	1.0	S	0.0
Carmem_2810.p1	Pinf_PITG_08392T0	1.0	S	0.0
Carmem_2810.p1	Chabra_GBG67251	1.0	S	0.0
Carmem_2810.p1	Falb_KCV71854	1.0	S	0.0
Carmem_2810.p1	Mlei_ML2635_g19_t1	1.0	S	0.0
Carmem_2810.p1	Acoe_PIA25479.1	1.0	S	0.0
Carmem_2810.p1	Otau_XP_003082352.1	1.0	S	0.0
Carmem_2810.p1	Pfal_CAD51538	1.0	S	0.0
Carmem_2810.p1	Hduj_OQV21600.1	1.0	S	0.0
Carmem_2810.p1	Alblai_CCA22366	1.0	S	0.0
Carmem_2810.p1	Phoaus_g9458.t1	1.0	S	0.0
Carmem_2810.p1	Cint_ENSCINP00000006432.3	1.0	S	0.0
Carmem_2810.p1	Drer_ENSDARP00000111043.2	1.0	S	0.0
Carmem_2810.p1	Bden_EGF81416	1.0	S	0.0
Carmem_2810.p1	Tthe_EAR97944	1.0	S	0.0
Carmem_2810.p1	Pisp_OUM59449.1	1.0	S	0.0
Carmem_2810.p1	Ptet_CAK88706	1.0	S	0.0
Carmem_2810.p1	Ocar_g3196.t1	1.0	S	0.0
Carmem_2810.p1	Aano_EGB03036	1.0	S	0.0
Carmem_2810.p1	Dpul_EFX88993	1.0	S	0.0
Carmem_2810.p1	Ancsig_Gene.39168	1.0	S	0.0
Carmem_2810.p1	Plabra_CEO95595	1.0	S	0.0
Carmem_2810.p1	Cang_ORZ39360	1.0	S	0.0
Carmem_2810.p1	Rirr_GBC53590	1.0	S	0.0
Carmem_2810.p1	Sbic_KXG25529	1.0	S	0.0
Carmem_2810.p1	Diprot_Gene.10425	1.0	S	0.0
Carmem_2810.p1	Mpus_XP_003055390.1	1.0	S	0.0
Carmem_2810.p1	Sman_Smp_212220.1_pep	1.0	S	0.0
Carmem_2810.p1	Ulvmut_UM030_00201	1.0	S	0.0
Carmem_2810.p1	Ccin_EAU88389	1.0	S	0.0
