in_gene	out_gene	branch_support	ev_type	sos
SARHap|Vitbra_CEM11521.1	Obazoa|Morvir_scaffold44.g89.t1	63.0	S	0.0
SARHap|Vitbra_CEM11521.1	ArchaeCry|Acoe_PIA62649.1	63.0	S	0.0
SARHap|Vitbra_CEM11521.1	Obazoa|Cgig_EKC28777	63.0	S	0.0
SARHap|Vitbra_CEM11521.1	ArchaeCry|Acoe_PIA57449.1	63.0	S	0.0
SARHap|Vitbra_CEM11521.1	Obazoa|Lcom_lcpid95329	63.0	S	0.0
SARHap|Alblai_CCA14829	Obazoa|Morvir_scaffold44.g89.t1	63.0	S	0.0
SARHap|Alblai_CCA14829	ArchaeCry|Acoe_PIA62649.1	63.0	S	0.0
SARHap|Alblai_CCA14829	Obazoa|Cgig_EKC28777	63.0	S	0.0
SARHap|Alblai_CCA14829	ArchaeCry|Acoe_PIA57449.1	63.0	S	0.0
SARHap|Alblai_CCA14829	Obazoa|Lcom_lcpid95329	63.0	S	0.0
SARHap|Alblai_CCA14829	SARHap|Vitbra_CEM11521.1	86.0	D	1.0
ArchaeCry|Acoe_PIA57449.1	Obazoa|Cgig_EKC28777	73.0	S	0.0
ArchaeCry|Acoe_PIA57449.1	Obazoa|Lcom_lcpid95329	73.0	S	0.0
ArchaeCry|Acoe_PIA57449.1	Obazoa|Morvir_scaffold44.g89.t1	73.0	S	0.0
ArchaeCry|Acoe_PIA62649.1	Obazoa|Cgig_EKC28777	73.0	S	0.0
ArchaeCry|Acoe_PIA62649.1	Obazoa|Lcom_lcpid95329	73.0	S	0.0
ArchaeCry|Acoe_PIA62649.1	Obazoa|Morvir_scaffold44.g89.t1	73.0	S	0.0
Amoebozoa|Ddis_EAL71995	Ancyromonadida|Nutlon_comp14680_c0_seq1.p1	60.0	S	0.0
Amoebozoa|Ddis_EAL71995	SARHap|Pavlsp_1021669	60.0	S	0.0
Amoebozoa|Ddis_EAL71995	Ancyromonadida|Plamic_ANCSI_10054.mRNA.1	60.0	S	0.0
Discoba|Secula_SECUL_00283.mRNA.1	Ancyromonadida|Nutlon_comp14680_c0_seq1.p1	60.0	S	0.0
