gene	orthogroup	orthologous_to
Tpse_EED94089	Acetyltransf_1.HG10.0:NAA40	NAA40
Ppat_Pp3c17_14350V3.1	Acetyltransf_1.HG10.0:NAA40	NAA40
Aurlim_42511	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Ttra_KNC52241	Acetyltransf_1.HG10.0:NAA40	NAA40
Ctel_CapteP94915	Acetyltransf_1.HG10.0:NAA40	NAA40
Manpla_Gene.34497	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Nvec_NVE14035	Acetyltransf_1.HG10.0:NAA40	NAA40
Sphfal_Sphfalx02G006100.2.p	Acetyltransf_1.HG10.0:NAA40	NAA40
Rigram_Gene.8330	Acetyltransf_1.HG10.0:NAA40	NAA40
Ngad_EWM21450	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Tetwil_Twilhelma_g11653.t1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Tgon_TGME49_230060-t26_1	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Otau_XP_003083126.2	Acetyltransf_1.HG10.0:NAA40	NAA40
Jaklib_JAKLI_15619.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40
Clim_evm27s153	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Secula_SECUL_03647.mRNA.1	Acetyltransf_1.HG10.0:NAA40	NAA40
Sappar_KDO27858	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Cowc_KJE96465	Acetyltransf_1.HG10.0:NAA40	NAA40
Lcom_lcpid227215	Acetyltransf_1.HG10.0:NAA40	NAA40
Tvag_XP_001314637.1	Acetyltransf_1.HG10.0:NAA40	NAA40
Alblai_CCA16792	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Morvir_scaffold42.g26.t1	Acetyltransf_1.HG10.0:NAA40	NAA40
Plabra_CEO96935	Acetyltransf_1.HG10.0:NAA40	NAA40
Schagg_33023	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Glam_EFD95470	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
Spis_XP_022792866_1	Acetyltransf_1.HG10.0:NAA40	NAA40
Ancsig_Gene.24645	Acetyltransf_1.HG10.0:NAA40	islike:NAA40
