gene	orthogroup	orthologous_to
Tadh_P61315	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Ctel_CapteP227114	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Hsap_ENSP00000326519.6	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Bralan_BL29529_evm1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Linana_g1405.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Exapal_XP_020917268.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Hsap_ENSP00000457363.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Notgen_g28182.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Phoaus_g9857.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Ptyfla_pfl_40v0_9_20150316_1g14200.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Cscu_XP_023227166.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Helrob_HelroP165545	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Clyhem_TCONS_00012112-protein	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Skow_XP_002730463.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Lpol_XP_013788496.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Cscu_XP_023214960.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Sman_Smp_030020.1_pep	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Spis_XP_022779351_1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Cint_ENSCINP00000030108.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Morvir_scaffold129.g53.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Drer_ENSDARP00000104234.2	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Notgen_g28184.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Spur_XP_030847256.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Hydvul_Sc4wPfr_706.2.g7996.t1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Ctel_CapteP220871	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Apla_XP_022085622.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Adig_XP_015773360.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Emul_CDS42053.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Nvec_NVE14944	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Dpul_EFX63770	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Dmel_FBpp0073312	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
Ramvar_GAV01929.1	PA1.HG1.0:AC120114.4/PAGR1	AC120114.4/PAGR1
