gene	orthogroup	orthologous_to
Symmic_Smic2947	SAM.HG16.0:NA	NA
Tthe_EAS05835	SAM.HG16.0:NA	NA
Ptet_CAK82713	SAM.HG16.0:NA	NA
Oxytri_EJY71953	SAM.HG16.0:NA	NA
Ptet_CAK70816	SAM.HG16.0:NA	NA
Ptet_CAK66120	SAM.HG16.0:NA	NA
Ptet_CAK83017	SAM.HG16.0:NA	NA
Tthe_EAS04829	SAM.HG16.0:NA	NA
Oxytri_EJY64571	SAM.HG16.0:NA	NA
Ptet_CAK93401	SAM.HG16.0:NA	NA
Bremin_symbB.v1.2.026564.t1	SAM.HG16.0:NA	NA
Bremin_symbB.v1.2.035496.t1	SAM.HG16.0:NA	NA
Mbre_EDQ90873	SAM.HG16.0:NA	NA
Bremin_symbB.v1.2.018501.t1	SAM.HG16.0:NA	NA
Bremin_symbB.v1.2.015195.t1	SAM.HG16.0:NA	NA
