in_gene	out_gene	branch_support	ev_type	sos
Metamonada|Tvag_XP_001319102.1	ArchaeCry|Sphfal_Sphfalx04G116900.1.p	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	Obazoa|Skow_XP_002738319.1	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	ArchaeCry|Azfi_s0121.g046902	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	ArchaeCry|Sacu_v1.1_s0183.g024952	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	ArchaeCry|Marpol_PTQ40237	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	Obazoa|Notgen_g22937.t1	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	SARHap|Ehux_EOD12119	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	SARHap|Honfer_GBG30424	1.0	S	0.0
Metamonada|Tvag_XP_001319102.1	Ancyromonadida|Plamic_ANCSI_02671.mRNA.1	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	ArchaeCry|Sphfal_Sphfalx04G116900.1.p	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	Obazoa|Skow_XP_002738319.1	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	ArchaeCry|Azfi_s0121.g046902	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	ArchaeCry|Sacu_v1.1_s0183.g024952	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	ArchaeCry|Marpol_PTQ40237	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	Obazoa|Notgen_g22937.t1	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	SARHap|Ehux_EOD12119	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	SARHap|Honfer_GBG30424	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	Ancyromonadida|Plamic_ANCSI_02671.mRNA.1	1.0	S	0.0
Discoba|Jakbah_JAKBA_07823.mRNA.1	Metamonada|Tvag_XP_001319102.1	1.0	S	0.0
ArchaeCry|Sacu_v1.1_s0183.g024952	Obazoa|Skow_XP_002738319.1	1.0	S	0.0
ArchaeCry|Sacu_v1.1_s0183.g024952	Obazoa|Notgen_g22937.t1	1.0	S	0.0
ArchaeCry|Sacu_v1.1_s0183.g024952	SARHap|Ehux_EOD12119	1.0	S	0.0
ArchaeCry|Sacu_v1.1_s0183.g024952	SARHap|Honfer_GBG30424	1.0	S	0.0
ArchaeCry|Sacu_v1.1_s0183.g024952	Ancyromonadida|Plamic_ANCSI_02671.mRNA.1	1.0	S	0.0
ArchaeCry|Sphfal_Sphfalx04G116900.1.p	Obazoa|Skow_XP_002738319.1	1.0	S	0.0
ArchaeCry|Sphfal_Sphfalx04G116900.1.p	Obazoa|Notgen_g22937.t1	1.0	S	0.0
