in_gene	out_gene	branch_support	ev_type	sos
Ddis_EAL60511	Sphfal_Sphfalx02G102400.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx05G101300.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx18G031700.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx11G074400.4.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx02G095500.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx18G069500.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx17G017500.2.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx16G005500.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx11G074400.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx04G019900.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx01G122900.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx17G017500.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx15G037600.1.p	1.0	S	0.0
Ddis_EAL60511	Sphfal_Sphfalx11G074400.3.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx02G102400.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx05G101300.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx18G031700.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx11G074400.4.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx02G095500.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx18G069500.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx17G017500.2.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx16G005500.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx11G074400.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx04G019900.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx01G122900.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx17G017500.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx15G037600.1.p	1.0	S	0.0
Dmel_FBpp0078812	Sphfal_Sphfalx11G074400.3.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx02G102400.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx05G101300.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx18G031700.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx11G074400.4.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx02G095500.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx18G069500.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx17G017500.2.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx16G005500.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx11G074400.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx04G019900.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx01G122900.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx17G017500.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx15G037600.1.p	1.0	S	0.0
Jakbah_JAKBA_05162.mRNA.1	Sphfal_Sphfalx11G074400.3.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx02G102400.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx05G101300.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx18G031700.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx11G074400.4.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx02G095500.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx18G069500.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx17G017500.2.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx16G005500.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx11G074400.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx04G019900.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx01G122900.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx17G017500.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx15G037600.1.p	1.0	S	0.0
Retfil_ETO29696	Sphfal_Sphfalx11G074400.3.p	1.0	S	0.0
Ddis_EAL60511	Dmel_FBpp0078812	99.0	S	0.0
Ddis_EAL60511	Jakbah_JAKBA_05162.mRNA.1	99.0	S	0.0
Ddis_EAL60511	Retfil_ETO29696	99.0	S	0.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx02G102400.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx05G101300.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx18G031700.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx11G074400.4.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx02G095500.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx18G069500.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx17G017500.2.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx16G005500.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx11G074400.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx04G019900.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx17G017500.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx15G037600.1.p	99.0	D	1.0
Sphfal_Sphfalx01G122900.1.p	Sphfal_Sphfalx11G074400.3.p	99.0	D	1.0
Retfil_ETO29696	Dmel_FBpp0078812	72.0	S	0.0
Retfil_ETO29696	Jakbah_JAKBA_05162.mRNA.1	72.0	S	0.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx18G031700.1.p	79.0	D	1.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx11G074400.4.p	79.0	D	1.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx02G095500.1.p	79.0	D	1.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx18G069500.1.p	79.0	D	1.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx11G074400.1.p	79.0	D	1.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx15G037600.1.p	79.0	D	1.0
Sphfal_Sphfalx05G101300.1.p	Sphfal_Sphfalx11G074400.3.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx18G031700.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx11G074400.4.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx02G095500.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx18G069500.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx11G074400.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx15G037600.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.2.p	Sphfal_Sphfalx11G074400.3.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx18G031700.1.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx11G074400.4.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx02G095500.1.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx18G069500.1.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx11G074400.1.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx15G037600.1.p	79.0	D	1.0
Sphfal_Sphfalx16G005500.1.p	Sphfal_Sphfalx11G074400.3.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx18G031700.1.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx11G074400.4.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx02G095500.1.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx18G069500.1.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx11G074400.1.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx15G037600.1.p	79.0	D	1.0
Sphfal_Sphfalx04G019900.1.p	Sphfal_Sphfalx11G074400.3.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx18G031700.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx11G074400.4.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx02G095500.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx18G069500.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx11G074400.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx15G037600.1.p	79.0	D	1.0
Sphfal_Sphfalx17G017500.1.p	Sphfal_Sphfalx11G074400.3.p	79.0	D	1.0
Sphfal_Sphfalx02G102400.1.p	Sphfal_Sphfalx18G031700.1.p	79.0	D	1.0
Sphfal_Sphfalx02G102400.1.p	Sphfal_Sphfalx11G074400.4.p	79.0	D	1.0
Sphfal_Sphfalx02G102400.1.p	Sphfal_Sphfalx02G095500.1.p	79.0	D	1.0
