gene	orthogroup	orthologous_to
Carmem_2818.p1	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Strcul_EPY24302	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Tcru_EAN94203	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Lepsey_KPI89352	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Bodsal_CUG91580.1	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Lmaj_CAJ03392	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Lepsey_KPI85634	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Bodsal_CUG91583.1	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Strcul_EPY30712	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Tcru_EAN82461	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Tcru_EAN89246	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Lmaj_CAJ03510	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Tcru_EAN82621	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Bodsal_CUE72338.1	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Bnat_JGI_V11_132590	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Glam_EDO80429	ASF1_hist_chap.HG1.0:like:ASF1A/ASF1B:likeclu:1	NA
Gthe_EKX55068	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ehux_EOD12374	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ptyfla_pfl_40v0_9_20150316_1g13055.t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Hsap_ENSP00000499863.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1B
Ncra_EAA29352	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Sphfal_Sphfalx04G044000.1.p	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ptet_CAK73145	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Plabra_CEP02863	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Bden_EGF82969	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Retfil_ETO30892	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Hemkuk_2983_TR1050_c0_g1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Alblai_CCA15363	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Coerev_PIA14435.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Ppat_Pp3c8_25080V3.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Pfal_CZT99404	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Diprot_Gene.11542	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Atha_AT5G38110.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Caulen_g1164.t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Umay_KIS69901	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Esil_CBN75153	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Falb_KCV71658	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Hetalb_XP_020430196.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Oxytri_EJY70368	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Lpol_XP_013788243.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Plamic_ANCSI_04318.mRNA.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Ptet_CAK74311	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Sacu_v1.1_s0049.g013739	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Auraur_scaffold554.g4.t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Amac_KNE58090	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Sman_Smp_033020.1_pep	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ppat_Pp3c23_22070V3.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Mlei_ML0760_g30_t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Nvec_NVE25205	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Tcas_XP_968535.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Smoe_EFJ30535	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Emul_CDS37156.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Sarc_Sarc4_g29218T	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Phoaus_g4050.t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Spom_SPCC663.05c.1_pep	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Mcir_OAC99648	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Cocsub_XP_005643385.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ptet_CAK77977	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Dpul_EFX64801	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Tielac_KYQ90296	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Dmel_FBpp0074715	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Cint_ENSCINP00000009096.3	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Spis_XP_022783118_1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ngad_EWM27157	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Lgig_LotgiP205091	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Aano_EGB05416	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Mpus_XP_003060399.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ptet_CAK85085	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Atha_AT1G66740.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Fabtro_Gene.40711	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Alblai_CCA15361	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Bnat_JGI_V11_50198	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Ancsig_Gene.14661	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Ancsig_Gene.1630	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Bdis_PNT70758	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Sappar_KDO24019	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Bremin_symbB.v1.2.025052.t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Rall_EPZ34222	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Concor_KXN74659	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Perkma_EER05132	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Bralan_BL13767_evm13	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Cscu_XP_023218212.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Cvar_XP_005849343.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Tadh_P29129	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Cneo_AAW40678	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Atri_ERN05631	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Rirr_GBC49266	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Perkma_EER18223	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Cmer_CMG143CT	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Dpul_EFX65078	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Azfi_s0087.g042354	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Crei_PNW80063	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Cpar_Cpar_evm1s3617	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	islike:ASF1A/ASF1B
Lpol_XP_022244009.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Tetwil_Twilhelma_g7373.t1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Dpul_EFX73971	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Ihof_evm6s287	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Porpur_KAA8497530.1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
Pygbif_GCRY01003605.1.p1	ASF1_hist_chap.HG1.1:ASF1A/ASF1B	ASF1A/ASF1B
