gene	orthogroup	orthologous_to
CRuMs|Manpla_Gene.15951	aOG.eur_Dpy-300	
Obazoa|Spun_KND00419	aOG.eur_Dpy-300	
Obazoa|Nk52_evm20s164	aOG.eur_Dpy-300	
Obazoa|Drer_ENSDARP00000117954.1	aOG.eur_Dpy-300	
Obazoa|Spis_XP_022788033_1	aOG.eur_Dpy-300	
Hemimastigophora|Hemkuk_12075_TR4122_c0_g4	aOG.eur_Dpy-301	
Ancyromonadida|Fabtro_Gene.6545	aOG.eur_Dpy-301	
CRuMs|Diprot_Gene.4189	aOG.eur_Dpy-301	
Discoba|Secula_SECUL_05938.mRNA.1	aOG.eur_Dpy-301	
Hemimastigophora|Spimul_13935_TR7458_c0_g1	aOG.eur_Dpy-301	
Ancyromonadida|Fabtro_Gene.7744	aOG.eur_Dpy-302	
Discoba|Recame_RECAM_00452.mRNA.1	aOG.eur_Dpy-302	
Discoba|Jakbah_JAKBA_04244.mRNA.1	aOG.eur_Dpy-302	
Amoebozoa|Plafun_PRP75482	aOG.eur_Dpy-303	
Metamonada|Tvag_XP_001322823.1	aOG.eur_Dpy-303	
Discoba|Amobb2_AMBB2_07288.mRNA.2	aOG.eur_Dpy-303	
Malawimonadidae|Gefoke_MALSP_17336.mRNA.1	aOG.eur_Dpy-303	
Malawimonadidae|Maljak_MALJA_06002.mRNA.1	aOG.eur_Dpy-303	
ArchaeCry|Gonavo_g12927.t1	aOG.eur_Dpy-303	
SARHap|Vitbra_CEM33362.1	aOG.eur_Dpy-304	
SARHap|Ptet_CAK61961	aOG.eur_Dpy-304	
Metamonada|Carmem_5339.p1	aOG.eur_Dpy-305	
Malawimonadidae|Malcal_MALCA_11673.mRNA.1	aOG.eur_Dpy-305	
Malawimonadidae|Maljak_MALJA_05771.mRNA.1	aOG.eur_Dpy-305	
Malawimonadidae|Gefoke_MALSP_00475.mRNA.1	aOG.eur_Dpy-305	
SARHap|Sappar_KDO27511	aOG.eur_Dpy-305	
ArchaeCry|Gthe_EKX49984	aOG.eur_Dpy-306	
ArchaeCry|Gonavo_comp63260_c0_seq1_6_ORF37_699	aOG.eur_Dpy-306	
Ancyromonadida|Nutlon_comp19997_c0_seq1.p1	aOG.eur_Dpy-307	
Malawimonadidae|Maljak_MALJA_11604.mRNA.1	aOG.eur_Dpy-307	
Amoebozoa|Plafun_PRP76189	aOG.eur_Dpy-307	
Obazoa|Mlei_ML2083_g3_t1	aOG.eur_Dpy-307	
Metamonada|Carmem_530.p1	aOG.eur_Dpy-307	
Malawimonadidae|Malcal_MALCA_07044.mRNA.1	aOG.eur_Dpy-307	
Malawimonadidae|Gefoke_MALSP_15799.mRNA.1	aOG.eur_Dpy-307	
Discoba|Amobb2_AMBB2_02180.mRNA.1	aOG.eur_Dpy-307	
Obazoa|Amac_KNE66744	aOG.eur_Dpy-307	
Discoba|Recame_RECAM_05379.mRNA.1	aOG.eur_Dpy-307	
Obazoa|Clyhem_TCONS_00001244-protein	aOG.eur_Dpy-307	
Discoba|Jaklib_JAKLI_19150.mRNA.1	aOG.eur_Dpy-307	
ArchaeCry|Klenit_GAQ78520.1	aOG.eur_Dpy-307	
CRuMs|Manpla_Gene.12976	aOG.eur_Dpy-307	
SARHap|Bnat_JGI_V11_87358	aOG.eur_Dpy-307	
CRuMs|Diprot_Gene.3352	aOG.eur_Dpy-307	
Ancyromonadida|Plamic_ANCSI_07908.mRNA.1	aOG.eur_Dpy-307	
CRuMs|Diprot_Gene.10258	aOG.eur_Dpy-308	
SARHap|Chrtob_KOO31000.1	aOG.eur_Dpy-309	
