Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Cvel_Cvel_11420.t1	0	206	0	68	6.234042553
Cvel_Cvel_11420.t1	226	2384	75	794	51.24369064
Cvel_Cvel_11420.t1	2389	2832	796	944	11.99065421
Cvel_Cvel_13122.t1	0	453	0	151	2.714285714
Cvel_Cvel_13122.t1	470	1197	156	399	5.389438944
Cvel_Cvel_13909.t1	935	1048	311	349	1.333333333
Cvel_Cvel_13909.t1	1254	1418	418	472	1.8
Cvel_Cvel_13909.t1	1491	1698	497	566	3.740740741
Cvel_Cvel_13909.t1	1703	1863	567	621	1.333333333
Cvel_Cvel_16522.t1	46	1383	15	461	24.74725275
Cvel_Cvel_18452.t1	60	179	20	59	1.333333333
Cvel_Cvel_18452.t1	212	591	70	197	3.454545455
Cvel_Cvel_18452.t1	678	800	226	266	1.25
Cvel_Cvel_18452.t1	1155	1408	385	469	1.571428571
Cvel_Cvel_18452.t1	1513	1808	504	602	1.666666667
Cvel_Cvel_19714.t1	0	2313	0	771	42.64226076
Cvel_Cvel_19714.t1	2437	2760	812	920	20.0199115
Cvel_Cvel_20534.t1	254	370	84	123	1.333333333
Cvel_Cvel_20534.t1	623	783	207	261	1.8
Cvel_Cvel_20534.t1	1136	1236	378	412	1
Cvel_Cvel_20534.t1	1335	1552	445	517	1.25
Cvel_Cvel_20534.t1	1572	1785	524	595	2
Cvel_Cvel_20534.t1	1823	1955	607	651	1
Cvel_Cvel_20534.t1	2178	2278	726	759	1
Cvel_Cvel_20534.t1	2286	2386	762	795	1
Cvel_Cvel_21008.t1	0	2424	0	808	129.5126567
Cvel_Cvel_21031.t1	0	3144	0	1048	13.71772105
Cvel_Cvel_22706.t1	80	474	26	158	4.466666667
Cvel_Cvel_22706.t1	617	744	205	248	1.333333333
Cvel_Cvel_22706.t1	1175	2139	391	713	5.316883117
Cvel_Cvel_24756.t1	40	190	13	63	1.333333333
Cvel_Cvel_24756.t1	206	402	68	134	1.25
Cvel_Cvel_24756.t1	542	1020	180	340	3.909090909
Cvel_Cvel_28050.t1	496	596	165	198	1
Cvel_Cvel_28050.t1	938	1257	312	419	3
Cvel_Cvel_28050.t1	1369	1519	456	506	1.333333333
Cvel_Cvel_28389.t1	30	1698	10	566	54.49072297
Cvel_Cvel_29718.t1	9	1104	3	368	42.22086149
Cvel_Cvel_29718.t1	1120	1675	373	558	27.18065887
Cvel_Cvel_29718.t1	1833	2006	611	668	1.285714286
Cvel_Cvel_29718.t1	2016	2412	672	804	26.21061093
Cvel_Cvel_31347.t1	0	155	0	51	1.888888889
Cvel_Cvel_31347.t1	663	859	221	286	1.75
Cvel_Cvel_31347.t1	1087	1192	362	397	1.333333333
Cvel_Cvel_31347.t1	1486	1638	495	546	1.333333333
Cvel_Cvel_31347.t1	1688	1979	562	659	2.652173913
Cvel_Cvel_31347.t1	1988	2270	662	756	2.034482759
Cvel_Cvel_31347.t1	2541	2670	847	890	1.333333333
Cvel_Cvel_31347.t1	2824	3093	941	1031	2.045454545
Cvel_Cvel_31347.t1	3212	3479	1070	1159	3.870967742
Cvel_Cvel_31397.t1	14	434	4	144	2.6
Cvel_Cvel_31397.t1	805	915	268	305	1
Cvel_Cvel_31397.t1	959	1437	319	479	2.787234043
Cvel_Cvel_31397.t1	1538	1852	512	617	3.890410959
Cvel_Cvel_31397.t1	1855	2119	618	706	3.8
Cvel_Cvel_34364.t2	66	166	22	55	1
Cvel_Cvel_34364.t2	217	498	72	166	4.549019608
Cvel_Cvel_34364.t2	560	810	186	270	26.77429467
Cvel_Cvel_3488.t1	0	312	0	104	3.313432836
Cvel_Cvel_3488.t1	320	885	106	295	7.109848485
Cvel_Cvel_3488.t1	915	1150	305	383	1.5
Cvel_Cvel_3488.t1	1174	1420	391	473	5.619565217
Cvel_Cvel_3488.t1	1457	1578	485	526	1.8
Cvel_Cvel_3488.t1	1580	1881	526	627	3.361111111
Cvel_Cvel_3488.t1	2022	2465	674	821	1.764705882
Cvel_Cvel_3488.t1	2549	2653	849	884	1.25
Cvel_Cvel_3488.t1	2692	3804	897	1268	5.987421384
Cvel_Cvel_36472.t1	90	269	30	89	1.333333333
Cvel_Cvel_36472.t1	295	495	98	165	2.970588235
Cvel_Cvel_36472.t1	655	760	218	253	1.333333333
Cvel_Cvel_36472.t1	776	1082	258	360	3.482758621
Cvel_Cvel_6250.t1	104	900	34	300	55.71558704
Cvel_Cvel_6738.t1	2	3602	0	1200	30.03032754
Cvel_Cvel_6738.t1	3671	4002	1223	1334	59.01353383
Cvel_Cvel_694.t1	508	608	169	202	1
Cvel_Cvel_694.t1	793	985	264	328	2.631578947
Cvel_Cvel_7737.t2	360	460	120	153	1
Cvel_Cvel_7737.t2	466	577	155	192	1.333333333
Cvel_Cvel_7737.t2	770	885	256	295	1.333333333
Cvel_Cvel_7737.t2	1461	1602	487	534	2.857142857
Cvel_Cvel_7737.t2	1607	1707	535	569	1
Cvel_Cvel_7737.t2	2141	2391	713	797	1.714285714
Cvel_Cvel_7737.t2	2608	2794	869	931	2
Cvel_Cvel_7737.t2	2915	3069	971	1023	1.25
Cvel_Cvel_7737.t2	3179	3365	1059	1121	2.125
Cvel_Cvel_7737.t2	3446	3590	1148	1196	1
Cvel_Cvel_7737.t2	3638	3738	1212	1246	1
Cvel_Cvel_8688.t1	29	656	9	218	2.196078431
Cvel_Cvel_8688.t1	770	922	256	307	1
