in_gene	out_gene	branch_support	ev_type	sos
Amoebozoa|Plafun_PRP89134	Obazoa|Apla_XP_022092755.1	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	SARHap|Coka_g13043.t1	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	ArchaeCry|Klenit_GAQ87064.1	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	Obazoa|Clim_evm14s248	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	CRuMs|Diprot_Gene.24651	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	Discoba|Jakbah_JAKBA_05165.mRNA.1	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	Discoba|Amobb2_AMBB2_07757.mRNA.1	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	SARHap|Vitbra_CEL95396.1	100.0	S	0.0
Amoebozoa|Plafun_PRP89134	Discoba|Secula_SECUL_06979.mRNA.1	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Ancyromonadida|Nutlon_comp15068_c0_seq1.p2	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Malawimonadidae|Maljak_MALJA_09931.mRNA.1	100.0	S	0.0
Amoebozoa|Acas_ELR13486	ArchaeCry|Marpol_PTQ47806	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Discoba|Recame_RECAM_07232.mRNA.1	100.0	S	0.0
Amoebozoa|Acas_ELR13486	ArchaeCry|Smoe_EFJ15307	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Malawimonadidae|Gefoke_MALSP_14825.mRNA.1	100.0	S	0.0
Amoebozoa|Acas_ELR13486	CRuMs|Rigram_Gene.11750	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Obazoa|Phoaus_g17665.t1	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Obazoa|Ocar_g4009.t1	100.0	S	0.0
Amoebozoa|Acas_ELR13486	SARHap|Oxytri_EJY65466	100.0	S	0.0
Amoebozoa|Acas_ELR13486	Discoba|Styinc_Gene38971_m38971	100.0	S	0.0
CRuMs|Rigram_Gene.11750	Ancyromonadida|Nutlon_comp15068_c0_seq1.p2	99.0	S	0.0
CRuMs|Rigram_Gene.11750	Malawimonadidae|Maljak_MALJA_09931.mRNA.1	99.0	S	0.0
CRuMs|Rigram_Gene.11750	ArchaeCry|Marpol_PTQ47806	99.0	S	0.0
CRuMs|Rigram_Gene.11750	Discoba|Recame_RECAM_07232.mRNA.1	99.0	S	0.0
CRuMs|Rigram_Gene.11750	ArchaeCry|Smoe_EFJ15307	99.0	S	0.0
CRuMs|Rigram_Gene.11750	Malawimonadidae|Gefoke_MALSP_14825.mRNA.1	99.0	S	0.0
CRuMs|Rigram_Gene.11750	Obazoa|Phoaus_g17665.t1	99.0	S	0.0
CRuMs|Rigram_Gene.11750	Obazoa|Ocar_g4009.t1	99.0	S	0.0
CRuMs|Rigram_Gene.11750	SARHap|Oxytri_EJY65466	99.0	S	0.0
CRuMs|Rigram_Gene.11750	Discoba|Styinc_Gene38971_m38971	99.0	S	0.0
SARHap|Esil_CBJ28139	Meteora|Meteor_CRO19MET_NODE_217.p3	78.0	S	0.0
SARHap|Esil_CBJ28139	ArchaeCry|Gonavo_comp52845_c0_seq1_6_ORF7_418	78.0	S	0.0
SARHap|Esil_CBJ28139	Malawimonadidae|Gefoke_MALSP_13729.mRNA.1	78.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Malawimonadidae|Maljak_MALJA_18907.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	ArchaeCry|Gonavo_g4305.t1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Discoba|Jaklib_JAKLI_05225.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Amoebozoa|Tielac_KYR01442	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Malawimonadidae|Gefoke_MALSP_18402.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Amoebozoa|Plafun_PRP87981	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	SARHap|Sappar_KDO22540	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Obazoa|Dpul_EFX74892	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Meteora|Meteor_CRO19MET_NODE_6207.p1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Amoebozoa|Hetalb_XP_020437509.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Ancyromonadida|Nutlon_comp20506_c0_seq1.p1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	SARHap|Pavlsp_1100085	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Amoebozoa|Hetalb_XP_020432974.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	ArchaeCry|Atha_AT3G44680.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Discoba|Recame_RECAM_07893.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	ArchaeCry|Sbic_EES10729	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	CRuMs|Diprot_Gene.15534	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	CRuMs|Diprot_Gene.16331	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Hemimastigophora|Hemkuk_8967_TR3109_c0_g1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Amoebozoa|Ddis_EAL73465	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Hemimastigophora|Spimul_20851_TR10152_c0_g2	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	SARHap|Pinf_PITG_01897T0	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Obazoa|Nk52_evm63s210	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Ancyromonadida|Plamic_ANCSI_01987.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	ArchaeCry|Azfi_s0037.g025970	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Ancyromonadida|Plamic_ANCSI_06867.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	CRuMs|Rigram_Gene.8838	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Meteora|Meteor_CRO19MET_NODE_5903.p1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Obazoa|Apla_XP_022101756.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Discoba|Secula_SECUL_06711.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001316942.1	Ancyromonadida|Nutlon_comp14769_c0_seq1.p1	100.0	S	0.0
