gene	orthogroup	orthologous_to
Coka_g1102.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Hsap_ENSP00000392318.2	Acetyltransf_1.HG2.0:KAT14	KAT14
Gefoke_MALSP_06423.mRNA.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Hetalb_XP_020428668.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Maljak_MALJA_17863.mRNA.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Cavfas_EGG23377	Acetyltransf_1.HG2.0:KAT14	KAT14
Bden_EGF79257	Acetyltransf_1.HG2.0:KAT14	KAT14
Spur_XP_030828197.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Tadh_P28067	Acetyltransf_1.HG2.0:KAT14	KAT14
Tetwil_Twilhelma_g26535.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Clim_evm67s156	Acetyltransf_1.HG2.0:KAT14	KAT14
Scil_scpid64549	Acetyltransf_1.HG2.0:KAT14	KAT14
Mcir_OAC98661	Acetyltransf_1.HG2.0:KAT14	KAT14
Notgen_g11188.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Ctel_CapteP225867	Acetyltransf_1.HG2.0:KAT14	KAT14
Plebac_Pbla_mRNA_8995	Acetyltransf_1.HG2.0:KAT14	KAT14
Coerev_PIA17646.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Spun_KNC97342	Acetyltransf_1.HG2.0:KAT14	KAT14
Maljak_MALJA_13618.mRNA.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Gpro_KXS21525	Acetyltransf_1.HG2.0:KAT14	KAT14
Rirr_GBC33113	Acetyltransf_1.HG2.0:KAT14	KAT14
Falb_KCV70279	Acetyltransf_1.HG2.0:KAT14	KAT14
Umbram_226969	Acetyltransf_1.HG2.0:KAT14	KAT14
Cint_ENSCINP00000016783.3	Acetyltransf_1.HG2.0:KAT14	KAT14
Cowc_KJE95935	Acetyltransf_1.HG2.0:KAT14	KAT14
Emue_0009g762a	Acetyltransf_1.HG2.0:KAT14	KAT14
Cscu_XP_023215064.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Spis_XP_022787567_1	Acetyltransf_1.HG2.0:KAT14	KAT14
Concor_KXN69426	Acetyltransf_1.HG2.0:KAT14	KAT14
Drer_ENSDARP00000122559.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Linana_g10532.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Plafun_PRP73933	Acetyltransf_1.HG2.0:KAT14	KAT14
Amac_KNE57566	Acetyltransf_1.HG2.0:KAT14	KAT14
Cgig_EKC36221	Acetyltransf_1.HG2.0:KAT14	KAT14
Dpul_EFX84999	Acetyltransf_1.HG2.0:KAT14	KAT14
Tielac_KYQ89336	Acetyltransf_1.HG2.0:KAT14	KAT14
Emue_0009g754a	Acetyltransf_1.HG2.0:KAT14	KAT14
Pbla_XP_018290319.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Phoaus_g6647.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Lcom_lcpid68932	Acetyltransf_1.HG2.0:KAT14	KAT14
Nk52_evm24s62	Acetyltransf_1.HG2.0:KAT14	KAT14
Drer_ENSDARP00000152532.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Lcom_lcpid149602	Acetyltransf_1.HG2.0:KAT14	KAT14
Bralan_BL20864_evm4	Acetyltransf_1.HG2.0:KAT14	KAT14
Ddis_EAL65650	Acetyltransf_1.HG2.0:KAT14	KAT14
Morelo_OAQ28507	Acetyltransf_1.HG2.0:KAT14	KAT14
Lgig_LotgiP235280	Acetyltransf_1.HG2.0:KAT14	KAT14
Nvec_NVE16897	Acetyltransf_1.HG2.0:KAT14	KAT14
Amobb2_AMBB2_01183.mRNA.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Tcas_XP_008195302.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Rhidel_EIE91873	Acetyltransf_1.HG2.0:KAT14	KAT14
Ptyfla_pfl_40v0_9_20150316_1g24878.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Dmel_FBpp0080629	Acetyltransf_1.HG2.0:KAT14	KAT14
Skow_XP_006822389.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Diprot_Gene.22511	Acetyltransf_1.HG2.0:KAT14	KAT14
Apla_XP_022087677.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Exapal_XP_028513709.1	Acetyltransf_1.HG2.0:KAT14	KAT14
Morvir_scaffold60.g1.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Helrob_HelroP65431	Acetyltransf_1.HG2.0:KAT14	KAT14
Acas_ELR13024	Acetyltransf_1.HG2.0:KAT14	KAT14
Bremin_symbB.v1.2.011185.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Bremin_symbB.v1.2.020262.t2	Acetyltransf_1.HG2.0:KAT14	KAT14
Tpse_EED96170	Acetyltransf_1.HG2.0:KAT14	KAT14
Bremin_symbB.v1.2.020262.t1	Acetyltransf_1.HG2.0:KAT14	KAT14
Gthe_EKX42676	Acetyltransf_1.HG2.0:KAT14	KAT14
Vcar_XP_002958746.1	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Maljak_MALJA_21035.mRNA.1	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Gthe_EKX40956	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Manpla_Gene.34115	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Fabtro_Gene.40365	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Maljak_MALJA_18649.mRNA.1	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Malcal_MALCA_06148.mRNA.1	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Sarc_Sarc4_g30012T	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Ulvmut_UM055_00531	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Dpul_EFX59936	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Crei_PNW82521	Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17	NA
Plabra_CEP00415	Acetyltransf_1.HG2.2:like:NAA50/NAA60:likeclu:8/17	NA
Ptyfla_pfl_40v0_9_20150316_1g28916.t1	Acetyltransf_1.HG2.2:like:NAA50/NAA60:likeclu:8/17	NA
Styinc_Gene8357_m8357	Acetyltransf_1.HG2.2:like:NAA50/NAA60:likeclu:8/17	NA
Ctel_CapteP218499	Acetyltransf_1.HG2.2:like:NAA50/NAA60:likeclu:8/17	NA
Tvag_XP_001584123.1	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Tpse_EED90372	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Concor_KXN68006	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Gthe_EKX55172	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Amobb2_AMBB2_12814.mRNA.1	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Bremin_symbB.v1.2.007807.t1	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Bremin_symbB.v1.2.007807.t3	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Bremin_symbB.v1.2.009369.t1	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Gefoke_MALSP_08631.mRNA.1	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Tpse_EED95316	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Sacu_v1.1_s0010.g004627	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Tvag_XP_001329893.1	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Rirr_GBC39431	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Ngru_EFC42186	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Rirr_GBC39412	Acetyltransf_1.HG2.3:like:NAA50/NAA60:likeclu:8/17	NA
Tpse_EED86345	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER16379	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER10080	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Porpur_KAA8494062.1	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EEQ98526	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER09937	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Pisp_OUM60185.1	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER17173	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Umay_KIS66626	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER18267	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER01081	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Gefoke_MALSP_17427.mRNA.1	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Cmer_CMB026CT	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EEQ97856	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER04216	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER15549	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EEQ97920	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER08700	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER07178	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER17499	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Perkma_EER10082	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Ppat_Pp3c11_15070V3.2	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Styinc_Gene49144_m49144	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Gthe_EKX52009	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Chocri_XP_005710114.1	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
Plafun_PRP73179	Acetyltransf_1.HG2.4:like:NAA50/NAA60:likeclu:8/17	NA
