in_gene	out_gene	branch_support	ev_type	sos
Obazoa|Hydvul_Sc4wPfr_85.g928.t1	SARHap|Aplker_20438	1.0	S	0.0
Obazoa|Hydvul_Sc4wPfr_85.g928.t1	ArchaeCry|Marpol_PTQ35343	1.0	S	0.0
Obazoa|Hydvul_Sc4wPfr_85.g928.t1	ArchaeCry|Mpus_XP_003060719.1	1.0	S	0.0
Obazoa|Hydvul_Sc4wPfr_85.g928.t1	SARHap|Sappar_KDO19024	1.0	S	0.0
Obazoa|Hydvul_Sc4wPfr_85.g928.t1	SARHap|Pinf_PITG_07302T0	1.0	S	0.0
ArchaeCry|Marpol_PTQ35343	SARHap|Sappar_KDO19024	47.0	S	0.0
ArchaeCry|Marpol_PTQ35343	SARHap|Pinf_PITG_07302T0	47.0	S	0.0
ArchaeCry|Mpus_XP_003060719.1	SARHap|Sappar_KDO19024	47.0	S	0.0
ArchaeCry|Mpus_XP_003060719.1	SARHap|Pinf_PITG_07302T0	47.0	S	0.0
ArchaeCry|Marpol_PTQ35343	ArchaeCry|Mpus_XP_003060719.1	100.0	D	1.0
SARHap|Pinf_PITG_07302T0	SARHap|Sappar_KDO19024	100.0	D	1.0
