gene	orthogroup	orthologous_to
Nk52_evm1s1433	Chromo.HG3.0:NA	NA
Notgen_g14251.t1	Chromo.HG3.0:NA	NA
Skow_XP_006824452.1	Chromo.HG3.0:NA	NA
Amac_KNE56193	Chromo.HG3.0:NA	NA
Spis_Spis21540_1	Chromo.HG3.0:NA	NA
Notgen_g25118.t1	Chromo.HG3.0:NA	NA
Rhidel_EIE91183	Chromo.HG3.0:NA	NA
Malcal_MALCA_10078.mRNA.1	Chromo.HG3.0:NA	NA
Maljak_MALJA_14351.mRNA.1	Chromo.HG3.0:NA	NA
Morvir_scaffold39.g109.t1	Chromo.HG3.0:NA	NA
Mlei_ML3266_g2_t1	Chromo.HG3.0:NA	NA
Retfil_ETO22255	Chromo.HG3.0:NA	NA
Exapal_XP_020910819.1	Chromo.HG3.0:NA	NA
Maljak_MALJA_19472.mRNA.1	Chromo.HG3.0:NA	NA
Cang_ORZ38123	Chromo.HG3.0:NA	NA
Ramvar_GAU87565.1	Chromo.HG3.0:NA	NA
Rhidel_EIE80622	Chromo.HG3.0:NA	NA
Rhidel_EIE79469	Chromo.HG3.0:NA	NA
Morvir_scaffold119.g44.t1	Chromo.HG3.0:NA	NA
Plebac_Pbla_mRNA_15939	Chromo.HG3.0:NA	NA
Amac_KNE54546	Chromo.HG3.0:NA	NA
Dmel_FBpp0074258	Chromo.HG3.0:NA	NA
Malcal_MALCA_05270.mRNA.1	Chromo.HG3.0:NA	NA
Ramvar_GAV04865.1	Chromo.HG3.0:NA	NA
Spis_XP_022807362_1	Chromo.HG3.0:NA	NA
Pygbif_GCRY01009021.1.p1	Chromo.HG3.0:NA	NA
Rhidel_EIE92667	Chromo.HG3.0:NA	NA
Malcal_MALCA_03446.mRNA.1	Chromo.HG3.0:NA	NA
Pbla_XP_018283789.1	Chromo.HG3.0:NA	NA
Auraur_scaffold1257.g13.t1	Chromo.HG3.0:NA	NA
Plafun_PRP84317	Chromo.HG3.0:NA	NA
Malcal_MALCA_11193.mRNA.1	Chromo.HG3.0:NA	NA
Morvir_scaffold131.g36.t1	Chromo.HG3.0:NA	NA
Cang_ORZ32524	Chromo.HG3.0:NA	NA
Exapal_XP_028516987.1	Chromo.HG3.0:NA	NA
Ramvar_GAU89927.1	Chromo.HG3.0:NA	NA
Tadh_wf_g12272_t1	Chromo.HG3.0:NA	NA
Ramvar_GAV04815.1	Chromo.HG3.0:NA	NA
Fabtro_Gene.51010	Chromo.HG3.0:NA	NA
Tpse_EED96661	Chromo.HG3.0:NA	NA
Hetalb_XP_020434942.1	Chromo.HG3.0:NA	NA
Concor_KXN70577	Chromo.HG3.0:NA	NA
Notgen_g29337.t1	Chromo.HG3.0:NA	NA
Maljak_MALJA_03770.mRNA.1	Chromo.HG3.0:NA	NA
Cang_ORZ40167	Chromo.HG3.0:NA	NA
Bralan_BL01168_cuf0	Chromo.HG3.0:NA	NA
Tpse_ACI64638	Chromo.HG3.0:NA	NA
Pinf_PITG_05038T0	Chromo.HG3.0:NA	NA
Fabtro_Gene.45220	Chromo.HG3.0:NA	NA
Skow_XP_006813063.1	Chromo.HG3.0:NA	NA
Retfil_ETO04444	Chromo.HG3.0:NA	NA
Fabtro_Gene.44002	Chromo.HG3.0:NA	NA
Tadh_wf_g11589_t1	Chromo.HG3.0:NA	NA
Maljak_MALJA_03208.mRNA.1	Chromo.HG3.0:NA	NA
Ngru_EFC43670	Chromo.HG3.0:NA	NA
Spis_XP_022797793_1	Chromo.HG3.0:NA	NA
Ehux_EOD28840	Chromo.HG3.0:NA	NA
Spis_XP_022777518_1	Chromo.HG3.0:NA	NA
Exapal_XP_020914458.1	Chromo.HG3.0:NA	NA
Tvag_XP_001581196.1	Chromo.HG3.0:NA	NA
Ramvar_GAU87562.1	Chromo.HG3.0:NA	NA
Plamic_ANCSI_06708.mRNA.1	Chromo.HG3.0:NA	NA
Notgen_g5878.t1	Chromo.HG3.0:NA	NA
Tvag_XP_001314077.1	Chromo.HG3.0:NA	NA
Tetwil_Twilhelma_g10780.t1	Chromo.HG3.0:NA	NA
Nk52_evm1s1003	Chromo.HG3.0:NA	NA
Nk52_evm1s1241	Chromo.HG3.0:NA	NA
Nk52_evm27s2426	Chromo.HG3.0:NA	NA
Nk52_evm1s1467	Chromo.HG3.0:NA	NA
Nk52_evm1s1201	Chromo.HG3.0:NA	NA
Nk52_evm1s1420	Chromo.HG3.0:NA	NA
Rhidel_EIE76732	Chromo.HG3.1:NA	NA
Rhidel_EIE91621	Chromo.HG3.1:NA	NA
Cvel_29718.t1-p1	Chromo.HG3.2:NA	NA
Skow_XP_006813024.1	Chromo.HG3.2:NA	NA
Porpur_KAA8490462.1	Chromo.HG3.2:NA	NA
Notgen_g40517.t1	Chromo.HG3.2:NA	NA
Ehux_EOD16209	Chromo.HG3.2:NA	NA
Chocri_XP_005711216.1	Chromo.HG3.2:NA	NA
Chocri_XP_005719064.1	Chromo.HG3.2:NA	NA
Notgen_g14498.t1	Chromo.HG3.2:NA	NA
Rall_EPZ31474	Chromo.HG3.2:NA	NA
Ptyfla_pfl_40v0_9_20150316_1g16730.t1	Chromo.HG3.2:NA	NA
Notgen_g29130.t1	Chromo.HG3.2:NA	NA
Clyhem_TCONS_00037964-protein	Chromo.HG3.2:NA	NA
Plamic_ANCSI_02367.mRNA.1	Chromo.HG3.2:NA	NA
Porpur_KAA8493480.1	Chromo.HG3.2:NA	NA
Chocri_XP_005710199.1	Chromo.HG3.2:NA	NA
Notgen_g37703.t1	Chromo.HG3.2:NA	NA
Porpur_KAA8490381.1	Chromo.HG3.2:NA	NA
Porpur_KAA8498458.1	Chromo.HG3.2:NA	NA
Gracho_PXF45539.1	Chromo.HG3.2:NA	NA
Porpur_KAA8490489.1	Chromo.HG3.2:NA	NA
Gracho_PXF40453.1	Chromo.HG3.2:NA	NA
Notgen_g40072.t1	Chromo.HG3.2:NA	NA
Notgen_g38856.t1	Chromo.HG3.2:NA	NA
Cvel_6738.t1-p1	Chromo.HG3.2:NA	NA
Cvel_11420.t1-p1	Chromo.HG3.2:NA	NA
Cvel_19714.t1-p1	Chromo.HG3.2:NA	NA
Coerev_PIA12620.1	Chromo.HG3.3:NA	NA
Plabra_CEP02997	Chromo.HG3.3:NA	NA
Pinf_PITG_06327T0	Chromo.HG3.3:NA	NA
Carmem_b6301.p1	Chromo.HG3.3:NA	NA
Carmem_b5800.p1	Chromo.HG3.3:NA	NA
Gonavo_g28186.t1	Chromo.HG3.3:NA	NA
Gonavo_comp61475_c7_seq1_6_ORF21_373	Chromo.HG3.3:NA	NA
Spimul_25774_TR12821_c0_g2	Chromo.HG3.3:NA	NA
Carmem_b7425.p1	Chromo.HG3.3:NA	NA
Andgod_ANDGO_08502.mRNA.1	Chromo.HG3.3:NA	NA
Carmem_7377.p1	Chromo.HG3.3:NA	NA
Andgod_ANDGO_00045.mRNA.1	Chromo.HG3.3:NA	NA
Andgod_ANDGO_01702.mRNA.1	Chromo.HG3.3:NA	NA
Carmem_1582.p1	Chromo.HG3.3:NA	NA
Carmem_4148.p1	Chromo.HG3.3:NA	NA
Carmem_b3252.p1	Chromo.HG3.3:NA	NA
Carmem_b1159.p1	Chromo.HG3.3:NA	NA
Plabra_CEO95676	Chromo.HG3.3:NA	NA
Alblai_CCA21015	Chromo.HG3.3:NA	NA
Andgod_ANDGO_01498.mRNA.1	Chromo.HG3.3:NA	NA
Andgod_ANDGO_04722.mRNA.1	Chromo.HG3.3:NA	NA
Coerev_PIA12621.1	Chromo.HG3.3:NA	NA
Coerev_PIA14404.1	Chromo.HG3.3:NA	NA
Coerev_PIA13176.1	Chromo.HG3.3:NA	NA
Coerev_PIA18233.1	Chromo.HG3.3:NA	NA
Ehux_EOD10831	Chromo.HG3.3:NA	NA
Coerev_PIA16158.1	Chromo.HG3.3:NA	NA
Ccin_EAU88631	Chromo.HG3.3:NA	NA
Hduj_OQV16589.1	Chromo.HG3.4:NA	NA
Nutlon_comp23038_c0_seq1.p1	Chromo.HG3.4:NA	NA
Spimul_11861_TR6262_c0_g1	Chromo.HG3.4:NA	NA
Spimul_11863_TR6262_c0_g1	Chromo.HG3.4:NA	NA
Spimul_11862_TR6262_c0_g1	Chromo.HG3.4:NA	NA
Ramvar_GAU99350.1	Chromo.HG3.4:NA	NA
Plamic_ANCSI_09741.mRNA.1	Chromo.HG3.5:NA	NA
Rhidel_EIE78003	Chromo.HG3.5:NA	NA
Rhidel_EIE87761	Chromo.HG3.5:NA	NA
Rhidel_EIE82963	Chromo.HG3.5:NA	NA
Rhidel_EIE78251	Chromo.HG3.5:NA	NA
Sarc_Sarc4_g18124T	Chromo.HG3.5:NA	NA
Rhidel_EIE92694	Chromo.HG3.5:NA	NA
Carmem_b8077.p4	Chromo.HG3.5:NA	NA
Ramvar_GAV01283.1	Chromo.HG3.5:NA	NA
Rhidel_EIE82600	Chromo.HG3.5:NA	NA
Rhidel_EIE77987	Chromo.HG3.5:NA	NA
Caulen_g6842.t1	Chromo.HG3.5:NA	NA
Rhidel_EIE92216	Chromo.HG3.5:NA	NA
Rhidel_EIE85255	Chromo.HG3.5:NA	NA
Rhidel_EIE87265	Chromo.HG3.5:NA	NA
Rhidel_EIE92660	Chromo.HG3.5:NA	NA
Sarc_Sarc4_g928T	Chromo.HG3.5:NA	NA
Rhidel_EIE83907	Chromo.HG3.5:NA	NA
Rhidel_EIE87356	Chromo.HG3.5:NA	NA
Sarc_Sarc4_g30445T	Chromo.HG3.5:NA	NA
Rhidel_EIE79410	Chromo.HG3.5:NA	NA
Pbla_XP_018284811.1	Chromo.HG3.5:NA	NA
Rhidel_EIE80565	Chromo.HG3.5:NA	NA
Rhidel_EIE92681	Chromo.HG3.5:NA	NA
Sarc_Sarc4_g14310T	Chromo.HG3.5:NA	NA
Rhidel_EIE91189	Chromo.HG3.5:NA	NA
Rhidel_EIE85505	Chromo.HG3.5:NA	NA
Rhidel_EIE87482	Chromo.HG3.5:NA	NA
Rhidel_EIE77014	Chromo.HG3.5:NA	NA
Rhidel_EIE85825	Chromo.HG3.5:NA	NA
Rhidel_EIE86531	Chromo.HG3.5:NA	NA
Rhidel_EIE86557	Chromo.HG3.5:NA	NA
Rhidel_EIE88739	Chromo.HG3.5:NA	NA
Pisp_OUM70072.1	Chromo.HG3.5:NA	NA
Rhidel_EIE80919	Chromo.HG3.5:NA	NA
Rhidel_EIE83266	Chromo.HG3.5:NA	NA
Rhidel_EIE91983	Chromo.HG3.5:NA	NA
Rhidel_EIE81160	Chromo.HG3.5:NA	NA
Ramvar_GAV06947.1	Chromo.HG3.5:NA	NA
Rhidel_EIE86012	Chromo.HG3.5:NA	NA
Rhidel_EIE77518	Chromo.HG3.5:NA	NA
Rhidel_EIE87969	Chromo.HG3.5:NA	NA
Rhidel_EIE89144	Chromo.HG3.5:NA	NA
Rhidel_EIE86011	Chromo.HG3.5:NA	NA
Plebac_Pbla_mRNA_10079	Chromo.HG3.5:NA	NA
Sarc_Sarc4_g30803T	Chromo.HG3.5:NA	NA
Rhidel_EIE86093	Chromo.HG3.5:NA	NA
Rhidel_EIE89993	Chromo.HG3.5:NA	NA
Nk52_evm1s187	Chromo.HG3.5:NA	NA
Rhidel_EIE75594	Chromo.HG3.5:NA	NA
Rhidel_EIE91850	Chromo.HG3.5:NA	NA
Rhidel_EIE86280	Chromo.HG3.5:NA	NA
Rhidel_EIE76626	Chromo.HG3.5:NA	NA
Sarc_Sarc4_g7698T	Chromo.HG3.5:NA	NA
Rhidel_EIE79060	Chromo.HG3.5:NA	NA
Tvag_XP_001320875.1	Chromo.HG3.5:NA	NA
Spimul_29725_TR14599_c0_g1	Chromo.HG3.5:NA	NA
Rhidel_EIE77029	Chromo.HG3.5:NA	NA
Nk52_evm22s218	Chromo.HG3.5:NA	NA
Gpro_KXS15249	Chromo.HG3.5:NA	NA
Morelo_OAQ23791	Chromo.HG3.5:NA	NA
Rhidel_EIE81720	Chromo.HG3.5:NA	NA
Rhidel_EIE84837	Chromo.HG3.5:NA	NA
Rhidel_EIE82606	Chromo.HG3.5:NA	NA
Rhidel_EIE84785	Chromo.HG3.5:NA	NA
Rhidel_EIE76910	Chromo.HG3.5:NA	NA
Rhidel_EIE88990	Chromo.HG3.5:NA	NA
Rhidel_EIE75595	Chromo.HG3.5:NA	NA
Rhidel_EIE80575	Chromo.HG3.5:NA	NA
Rhidel_EIE77041	Chromo.HG3.5:NA	NA
Rhidel_EIE80648	Chromo.HG3.5:NA	NA
