in_gene	out_gene	branch_support	ev_type	sos
Spun_KND03864	Concor_KXN67578	1.0	S	0.0
Spun_KND03864	Morelo_OAQ34086	1.0	S	0.0
Spun_KND03864	Rirr_GBC35665	1.0	S	0.0
Spun_KND03864	Mvib_comp15980_c1_seq1_fr4	1.0	S	0.0
Spun_KND03864	Concor_KXN74588	1.0	S	0.0
Clim_evm22s6	Concor_KXN67578	1.0	S	0.0
Clim_evm22s6	Morelo_OAQ34086	1.0	S	0.0
Clim_evm22s6	Rirr_GBC35665	1.0	S	0.0
Clim_evm22s6	Mvib_comp15980_c1_seq1_fr4	1.0	S	0.0
Clim_evm22s6	Concor_KXN74588	1.0	S	0.0
Coerev_PIA18832.1	Concor_KXN67578	1.0	S	0.0
Coerev_PIA18832.1	Morelo_OAQ34086	1.0	S	0.0
Coerev_PIA18832.1	Rirr_GBC35665	1.0	S	0.0
Coerev_PIA18832.1	Mvib_comp15980_c1_seq1_fr4	1.0	S	0.0
Coerev_PIA18832.1	Concor_KXN74588	1.0	S	0.0
Spun_KND03864	Clim_evm22s6	27.0	S	0.0
Spun_KND03864	Coerev_PIA18832.1	27.0	S	0.0
Morelo_OAQ34086	Mvib_comp15980_c1_seq1_fr4	27.0	S	0.0
Morelo_OAQ34086	Concor_KXN67578	27.0	S	0.0
Morelo_OAQ34086	Concor_KXN74588	27.0	S	0.0
Morelo_OAQ34086	Rirr_GBC35665	27.0	S	0.0
Coerev_PIA18832.1	Clim_evm22s6	53.0	S	0.0
Rirr_GBC35665	Mvib_comp15980_c1_seq1_fr4	25.0	S	0.0
Rirr_GBC35665	Concor_KXN67578	25.0	S	0.0
Mvib_comp15980_c1_seq1_fr4	Concor_KXN67578	42.0	S	0.0
