Cscu_XP_023235774.1	THAP PHD SAM_1
Cscu_XP_023225799.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Cscu_XP_023233156.1	THAP CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Cscu_XP_023217604.1	Transposase_1 Daxx
Cscu_XP_023214886.1	THAP TUDOR_5 Tudor_4 MBD Pre-SET
