in_gene	out_gene	branch_support	ev_type	sos
Bodsal_CUG91715.1	Nk52_evm11s262	1.0	S	0.0
Bodsal_CUG91715.1	Plebac_Pbla_mRNA_7809	1.0	S	0.0
Bodsal_CUG91715.1	Phoaus_g1360.t1	1.0	S	0.0
Bodsal_CUG91715.1	Mcir_OAD01421	1.0	S	0.0
Bodsal_CUG91715.1	Porpur_KAA8495748.1	1.0	S	0.0
Bodsal_CUG91715.1	Rall_EPZ32704	1.0	S	0.0
Bodsal_CUG91715.1	Emue_0088g5a	1.0	S	0.0
Bodsal_CUG91715.1	Amobb2_AMBB2_00264.mRNA.1	1.0	S	0.0
Bodsal_CUG91715.1	Lgig_LotgiP202488	1.0	S	0.0
Bodsal_CUG91715.1	Emue_0015g346a	1.0	S	0.0
Bodsal_CUG91715.1	Ccin_EAU92879	1.0	S	0.0
Bodsal_CUG91715.1	Ctel_CapteP221367	1.0	S	0.0
Bodsal_CUG91715.1	Ptet_CAK76959	1.0	S	0.0
Bodsal_CUG91715.1	Phoaus_g17460.t1	1.0	S	0.0
Bodsal_CUG91715.1	Sbic_EER93615	1.0	S	0.0
Bodsal_CUG91715.1	Rirr_GBC23404	1.0	S	0.0
Bodsal_CUG91715.1	Clyhem_TCONS_00021540-protein	1.0	S	0.0
Bodsal_CUG91715.1	Skow_XP_006818888.1	1.0	S	0.0
Bodsal_CUG91715.1	Ptyfla_pfl_40v0_9_20150316_1g10981.t1	1.0	S	0.0
Bodsal_CUG91715.1	Cgig_EKC39296	1.0	S	0.0
Bodsal_CUG91715.1	Pbla_XP_018291901.1	1.0	S	0.0
Bodsal_CUG91715.1	Cang_ORZ35357	1.0	S	0.0
Bodsal_CUG91715.1	Spur_XP_030848360.1	1.0	S	0.0
Rigram_Gene.14786	Nk52_evm11s262	1.0	S	0.0
Rigram_Gene.14786	Plebac_Pbla_mRNA_7809	1.0	S	0.0
Rigram_Gene.14786	Phoaus_g1360.t1	1.0	S	0.0
Rigram_Gene.14786	Mcir_OAD01421	1.0	S	0.0
Rigram_Gene.14786	Porpur_KAA8495748.1	1.0	S	0.0
Rigram_Gene.14786	Rall_EPZ32704	1.0	S	0.0
Rigram_Gene.14786	Emue_0088g5a	1.0	S	0.0
Rigram_Gene.14786	Amobb2_AMBB2_00264.mRNA.1	1.0	S	0.0
Rigram_Gene.14786	Lgig_LotgiP202488	1.0	S	0.0
Rigram_Gene.14786	Emue_0015g346a	1.0	S	0.0
Rigram_Gene.14786	Ccin_EAU92879	1.0	S	0.0
Rigram_Gene.14786	Ctel_CapteP221367	1.0	S	0.0
Rigram_Gene.14786	Ptet_CAK76959	1.0	S	0.0
Rigram_Gene.14786	Phoaus_g17460.t1	1.0	S	0.0
Rigram_Gene.14786	Sbic_EER93615	1.0	S	0.0
Rigram_Gene.14786	Rirr_GBC23404	1.0	S	0.0
Rigram_Gene.14786	Clyhem_TCONS_00021540-protein	1.0	S	0.0
Rigram_Gene.14786	Skow_XP_006818888.1	1.0	S	0.0
Rigram_Gene.14786	Ptyfla_pfl_40v0_9_20150316_1g10981.t1	1.0	S	0.0
Rigram_Gene.14786	Cgig_EKC39296	1.0	S	0.0
Rigram_Gene.14786	Pbla_XP_018291901.1	1.0	S	0.0
Rigram_Gene.14786	Cang_ORZ35357	1.0	S	0.0
Rigram_Gene.14786	Spur_XP_030848360.1	1.0	S	0.0
Styinc_Gene17273_m17273	Nk52_evm11s262	1.0	S	0.0
Styinc_Gene17273_m17273	Plebac_Pbla_mRNA_7809	1.0	S	0.0
Styinc_Gene17273_m17273	Phoaus_g1360.t1	1.0	S	0.0
Styinc_Gene17273_m17273	Mcir_OAD01421	1.0	S	0.0
Styinc_Gene17273_m17273	Porpur_KAA8495748.1	1.0	S	0.0
Styinc_Gene17273_m17273	Rall_EPZ32704	1.0	S	0.0
Styinc_Gene17273_m17273	Emue_0088g5a	1.0	S	0.0
Styinc_Gene17273_m17273	Amobb2_AMBB2_00264.mRNA.1	1.0	S	0.0
Styinc_Gene17273_m17273	Lgig_LotgiP202488	1.0	S	0.0
Styinc_Gene17273_m17273	Emue_0015g346a	1.0	S	0.0
Styinc_Gene17273_m17273	Ccin_EAU92879	1.0	S	0.0
Styinc_Gene17273_m17273	Ctel_CapteP221367	1.0	S	0.0
Styinc_Gene17273_m17273	Ptet_CAK76959	1.0	S	0.0
Styinc_Gene17273_m17273	Phoaus_g17460.t1	1.0	S	0.0
Styinc_Gene17273_m17273	Sbic_EER93615	1.0	S	0.0
Styinc_Gene17273_m17273	Rirr_GBC23404	1.0	S	0.0
