in_gene	out_gene	branch_support	ev_type	sos
Bnat_JGI_V11_70745	Spur_XP_030845126.1	1.0	S	0.0
Bnat_JGI_V11_70745	Falb_KCV68642	1.0	S	0.0
Bnat_JGI_V11_70745	Lgig_LotgiP116803	1.0	S	0.0
Bnat_JGI_V11_70745	Drer_ENSDARP00000101860.2	1.0	S	0.0
Bnat_JGI_V11_70745	Mcir_OAC98215	1.0	S	0.0
Bnat_JGI_V11_70745	Amac_KNE66937	1.0	S	0.0
Bnat_JGI_V11_70745	Drer_ENSDARP00000147468.1	1.0	S	0.0
Bnat_JGI_V11_70745	Drer_ENSDARP00000060190.3	1.0	S	0.0
Bnat_JGI_V11_70745	Tmel_CAZ83332	1.0	S	0.0
Bnat_JGI_V11_70745	Plebac_Pbla_mRNA_7175	1.0	S	0.0
Bnat_JGI_V11_70745	Helrob_HelroP162504	1.0	S	0.0
Bnat_JGI_V11_70745	Cang_ORZ34204	1.0	S	0.0
Bnat_JGI_V11_70745	Rhidel_EIE84036	1.0	S	0.0
Bnat_JGI_V11_70745	Tcas_XP_008192670.1	1.0	S	0.0
Bnat_JGI_V11_70745	Cneo_AAW42294	1.0	S	0.0
Bnat_JGI_V11_70745	Rirr_GBC46038	1.0	S	0.0
Bnat_JGI_V11_70745	Dpul_EFX69374	1.0	S	0.0
Bnat_JGI_V11_70745	Concor_KXN67577	1.0	S	0.0
Bnat_JGI_V11_70745	Rhidel_EIE89418	1.0	S	0.0
Bnat_JGI_V11_70745	Tetwil_Twilhelma_g13495.t1	1.0	S	0.0
Bnat_JGI_V11_70745	Emue_0003g190a	1.0	S	0.0
Bnat_JGI_V11_70745	Mlei_ML0241_g2_t1	1.0	S	0.0
Bnat_JGI_V11_70745	Lpol_XP_022248250.1	1.0	S	0.0
Bnat_JGI_V11_70745	Amac_KNE68996	1.0	S	0.0
Bnat_JGI_V11_70745	Morvir_scaffold151.g36.t1	1.0	S	0.0
Bnat_JGI_V11_70745	Lpol_XP_022244918.1	1.0	S	0.0
Bnat_JGI_V11_70745	Emul_CDS39949.1	1.0	S	0.0
Bnat_JGI_V11_70745	Hsap_ENSP00000305899.4	1.0	S	0.0
Bnat_JGI_V11_70745	Clim_evm22s6	1.0	S	0.0
Bnat_JGI_V11_70745	Sros_EGD77999	1.0	S	0.0
Bnat_JGI_V11_70745	Notgen_g19069.t1	1.0	S	0.0
Bnat_JGI_V11_70745	Hsap_ENSP00000255613.3	1.0	S	0.0
Bnat_JGI_V11_70745	Skow_XP_002732220.1	1.0	S	0.0
Bnat_JGI_V11_70745	Perkma_EEQ98219	1.0	S	0.0
Bnat_JGI_V11_70745	Bden_EGF84209	1.0	S	0.0
Bnat_JGI_V11_70745	Rall_EPZ33811	1.0	S	0.0
Bnat_JGI_V11_70745	Gpro_KXS18254	1.0	S	0.0
Bnat_JGI_V11_70745	Cscu_XP_023237012.1	1.0	S	0.0
Bnat_JGI_V11_70745	Umbram_223368	1.0	S	0.0
Bnat_JGI_V11_70745	Ocar_g3228.t1	1.0	S	0.0
Bnat_JGI_V11_70745	Nk52_evm22s913	1.0	S	0.0
Bnat_JGI_V11_70745	Linana_g29200.t1	1.0	S	0.0
Bnat_JGI_V11_70745	Notgen_g9424.t1	1.0	S	0.0
