gene	orthogroup	orthologous_to	family	architecture
Ulvmut_UM008_00371	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Oxytri_EJY84775	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Tgon_TGME49_208200-t26_1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING PHD
Ngad_EWM21243	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Vitbra_CEL97041.1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING PHD
Mpus_XP_003057399.1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Oxytri_EJY86996	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING PHD
Tthe_EAR98351	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING PHD
Ngru_EFC37032	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Coka_g5909.t1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Pavlsp_860494	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Schagg_86520	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Oxytri_EJY67327	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Tpse_EED89466	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Vitbra_CEM04537.1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Aurlim_127742	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Phatri_Phatr3_J36606.p1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Otau_XP_022838994.1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Chrtob_KOO26260.1	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Esil_CBJ32510	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Eimten_CDJ37245	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Aplker_48450	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Honfer_GBG28387	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING DUF1325
Sros_EGD73353	ING.HG1.0:like:ING1/ING2/ING3/ING4/ING5:likeclu:1/2		ING	ING
Cfra_CFRG6448T1	ING.HG1.1:ING3	ING3	ING	ING
Notgen_g685.t1	ING.HG1.1:ING3	ING3	ING	ING
Tetwil_Twilhelma_g18907.t1	ING.HG1.1:ING3	ING3	ING	ING
Morvir_scaffold141.g40.t3	ING.HG1.1:ING3	ING3	ING	ING
Tcas_XP_008194989.1	ING.HG1.1:ING3	ING3	ING	ING
Hydvul_Sc4wPfr_555.g27165.t1	ING.HG1.1:ING3	ING3	ING	ING
Lpol_XP_013777934.1	ING.HG1.1:ING3	ING3	ING	ING PHD
Hduj_OQV18331.1	ING.HG1.1:ING3	ING3	ING	ING PHD
Emue_0020g664a	ING.HG1.1:ING3	ING3	ING	ING
Lgig_LotgiP197871	ING.HG1.1:ING3	ING3	ING	ING
Adig_XP_015771599.1	ING.HG1.1:ING3	ING3	ING	ING
Morvir_scaffold141.g40.t1	ING.HG1.1:ING3	ING3	ING	ING
Ramvar_GAU91801.1	ING.HG1.1:ING3	ING3	ING	ING PHD
Notgen_g3100.t1	ING.HG1.1:ING3	ING3	ING	ING
Exapal_XP_020907124.1	ING.HG1.1:ING3	ING3	ING	ING
Morvir_scaffold141.g40.t2	ING.HG1.1:ING3	ING3	ING	ING
Ocar_g1805.t1	ING.HG1.1:ING3	ING3	ING	ING
Apla_XP_022081144.1	ING.HG1.1:ING3	ING3	ING	ING
Phoaus_g17134.t1	ING.HG1.1:ING3	ING3	ING	ING
Ramvar_GAV01453.1	ING.HG1.1:ING3	ING3	ING	ING PHD
Spur_XP_030856421.1	ING.HG1.1:ING3	ING3	ING	ING
Auraur_scaffold382.g17.t1	ING.HG1.1:ING3	ING3	ING	ING
Scil_scpid46189	ING.HG1.1:ING3	ING3	ING	ING
Aque_Aqu2.1.38367_001	ING.HG1.1:ING3	ING3	ING	ING
Nvec_NVE24482	ING.HG1.1:ING3	ING3	ING	ING
Notgen_g686.t1	ING.HG1.1:ING3	ING3	ING	ING
Hduj_OQV18818.1	ING.HG1.1:ING3	ING3	ING	ING
Dpul_EFX81509	ING.HG1.1:ING3	ING3	ING	ING
Drer_ENSDARP00000031200.5	ING.HG1.1:ING3	ING3	ING	ING
Spur_XP_030856423.1	ING.HG1.1:ING3	ING3	ING	ING
Tcas_XP_008194983.1	ING.HG1.1:ING3	ING3	ING	ING
Ctel_CapteP180978	ING.HG1.1:ING3	ING3	ING	ING
Bralan_BL20219_evm4	ING.HG1.1:ING3	ING3	ING	ING
Emul_CDI98368.1	ING.HG1.1:ING3	ING3	ING	ING
