in_gene	out_gene	branch_support	ev_type	sos
Esil_CBN80493	Ehux_EOD15377	71.0	S	0.0
Esil_CBN80493	Chrtob_KOO33254.1	71.0	S	0.0
Ehux_EOD09468	Pinf_PITG_00426T0	71.0	S	0.0
Ehux_EOD09468	Acoe_PIA43770.1	71.0	S	0.0
Ehux_EOD09468	Acoe_PIA27019.1	71.0	S	0.0
Ehux_EOD09468	Ppat_Pp3c4_370V3.4	71.0	S	0.0
Ehux_EOD09468	Atri_ERN12467	71.0	S	0.0
Ehux_EOD09468	Ulvmut_UM078_00291	71.0	S	0.0
Ehux_EOD09468	Sbic_EES04515	71.0	S	0.0
Ehux_EOD09468	Azfi_s0007.g011121	71.0	S	0.0
Ehux_EOD09468	Atha_AT4G29940.1	71.0	S	0.0
Ehux_EOD09468	Vcar_XP_002948214.1	71.0	S	0.0
Ehux_EOD09468	Pavlsp_1055644	71.0	S	0.0
Ehux_EOD09468	Mgut_XP_012836886.1	71.0	S	0.0
Ehux_EOD09468	Maljak_MALJA_01028.mRNA.1	71.0	S	0.0
Ehux_EOD09468	Sphfal_Sphfalx06G053000.2.p	71.0	S	0.0
Ehux_EOD09468	Azfi_s0110.g045488	71.0	S	0.0
Ehux_EOD09468	Sbic_EES03605	71.0	S	0.0
Ehux_EOD09468	Cvar_XP_005842674.1	71.0	S	0.0
Ehux_EOD09468	Cocsub_XP_005647409.1	71.0	S	0.0
Ehux_EOD09468	Honfer_GBG25319	71.0	S	0.0
Ehux_EOD09468	Gthe_EKX53176	71.0	S	0.0
Ehux_EOD09468	Klenit_GAQ79409.1	71.0	S	0.0
Ehux_EOD09468	Chabra_GBG69578	71.0	S	0.0
Ehux_EOD09468	Bdis_KQJ93304	71.0	S	0.0
Ehux_EOD09468	Ppat_Pp3c3_29290V3.1	71.0	S	0.0
Ehux_EOD09468	Aurlim_115816	71.0	S	0.0
Ehux_EOD09468	Alblai_CCA25730	71.0	S	0.0
Ehux_EOD09468	Acoe_PIA43771.1	71.0	S	0.0
Ehux_EOD09468	Otau_XP_003082957.2	71.0	S	0.0
Ehux_EOD09468	Sacu_v1.1_s0064.g015835	71.0	S	0.0
Ehux_EOD09468	Marpol_PTQ34479	71.0	S	0.0
Ehux_EOD09468	Sbic_KXG22362	71.0	S	0.0
Ehux_EOD09468	Azfi_s0002.g001568	71.0	S	0.0
Ehux_EOD09468	Nutlon_comp18533_c0_seq1.p1	71.0	S	0.0
Ehux_EOD09468	Bdis_PNT70908	71.0	S	0.0
Ehux_EOD09468	Atha_AT3G19510.1	71.0	S	0.0
Ehux_EOD09468	Smoe_EFJ35354	71.0	S	0.0
Ehux_EOD09468	Atri_ERM96685	71.0	S	0.0
Ehux_EOD09468	Sacu_v1.1_s0011.g005091	71.0	S	0.0
Ehux_EOD09468	Malcal_MALCA_04054.mRNA.1	71.0	S	0.0
Ehux_EOD09468	Esil_CBJ29155	71.0	S	0.0
Ehux_EOD09468	Sappar_KDO29991	71.0	S	0.0
Ehux_EOD09468	Maljak_MALJA_02331.mRNA.1	71.0	S	0.0
Ehux_EOD09468	Crei_PNW74536	71.0	S	0.0
Ehux_EOD09468	Tpse_EED90519	71.0	S	0.0
Ehux_EOD09468	Phatri_Phatr3_J33896.p1	71.0	S	0.0
Ehux_EOD09468	Smoe_EFJ10611	71.0	S	0.0
Ehux_EOD09468	Bdis_KQK09722	71.0	S	0.0
Ehux_EOD09468	Mgut_XP_012828787.1	71.0	S	0.0
Ehux_EOD09468	Gefoke_MALSP_02858.mRNA.1	71.0	S	0.0
Ehux_EOD09468	Sphfal_Sphfalx06G053000.1.p	71.0	S	0.0
Ehux_EOD09468	Coka_g6392.t1	71.0	S	0.0
Ehux_EOD09468	Mpus_XP_003059740.1	71.0	S	0.0
Chrtob_KOO33254.1	Ehux_EOD15377	90.0	S	0.0
Malcal_MALCA_04054.mRNA.1	Pinf_PITG_00426T0	70.0	S	0.0
Malcal_MALCA_04054.mRNA.1	Acoe_PIA43770.1	70.0	S	0.0
Malcal_MALCA_04054.mRNA.1	Acoe_PIA27019.1	70.0	S	0.0
Malcal_MALCA_04054.mRNA.1	Ppat_Pp3c4_370V3.4	70.0	S	0.0
Malcal_MALCA_04054.mRNA.1	Atri_ERN12467	70.0	S	0.0
