in_gene	out_gene	branch_support	ev_type	sos
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	ArchaeCry|Otau_XP_003082628.2	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Obazoa|Morelo_OAQ33051	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Amoebozoa|Plafun_PRP86430	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	CRuMs|Rigram_Gene.15212	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Discoba|Phakir_PHAKIR_03379.mRNA.1	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	CRuMs|Diprot_Gene.19352	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Ancyromonadida|Plamic_ANCSI_03604.mRNA.1	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	SARHap|Sappar_KDO26759	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Obazoa|Umbram_250598	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Obazoa|Ihof_evm8s154	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	SARHap|Alblai_CCA23969	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	SARHap|Pinf_PITG_05317T0	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Amoebozoa|Acas_ELR16745	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Obazoa|Falb_KCV68113	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	ArchaeCry|Gonavo_g35613.t1	100.0	S	0.0
Malawimonadidae|Maljak_MALJA_09668.mRNA.1	Meteora|Meteor_CRO19MET_NODE_5516.p2	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	ArchaeCry|Otau_XP_003082628.2	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Obazoa|Morelo_OAQ33051	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Amoebozoa|Plafun_PRP86430	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	CRuMs|Rigram_Gene.15212	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Discoba|Phakir_PHAKIR_03379.mRNA.1	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	CRuMs|Diprot_Gene.19352	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Ancyromonadida|Plamic_ANCSI_03604.mRNA.1	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	SARHap|Sappar_KDO26759	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Obazoa|Umbram_250598	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Obazoa|Ihof_evm8s154	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	SARHap|Alblai_CCA23969	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	SARHap|Pinf_PITG_05317T0	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Amoebozoa|Acas_ELR16745	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	Obazoa|Falb_KCV68113	100.0	S	0.0
Malawimonadidae|Malcal_MALCA_12309.mRNA.1	ArchaeCry|Gonavo_g35613.t1	100.0	S	0.0
