Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Chem_TCONS_00037964	3309	3059.000	0.037888	3.000	ERR2816230	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.043628	5.000	ERR2816231	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.069578	6.000	ERR2816232	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.040014	5.684	ERR2816234	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.095610	11.817	ERR2816235	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.024032	4.036	ERR2816236	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.049275	9.231	ERR2816237	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	2.489503	459.497	ERR2816238	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	2.023318	389.219	ERR2816239	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.148288	23.968	ERR2816240	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.079682	9.065	ERR2816241	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.058884	12.447	ERR2816242	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.063753	10.443	ERR2816243	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.076914	19.204	ERR2816244	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.065142	13.534	ERR2816245	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.038146	5.558	ERR2816246	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.059532	6.268	ERR2816247	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.041641	5.681	ERR2816248	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.050489	7.165	ERR2816249	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.075853	7.000	ERR2816250	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3059.000	0.104786	11.000	ERR2816251	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3040.479	0.065562	48.936	ERR2862244	Clyhem_TCONS_00037964-protein
Chem_TCONS_00037964	3309	3019.621	0.026103	13.000	ERR2862245	Clyhem_TCONS_00037964-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816230	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.018797	1.000	ERR2816231	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.024980	1.000	ERR2816232	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816234	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816235	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816236	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.034497	3.000	ERR2816237	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.046685	4.000	ERR2816238	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.055993	5.000	ERR2816239	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816240	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816241	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.020382	2.000	ERR2816242	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.052604	4.000	ERR2816243	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.008628	1.000	ERR2816244	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.031106	3.000	ERR2816245	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816246	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816247	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.015790	1.000	ERR2816248	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.000000	0.000	ERR2816249	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.093374	4.000	ERR2816250	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1420.000	0.061563	3.000	ERR2816251	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1401.479	0.052318	18.000	ERR2862244	Clyhem_TCONS_00069107-protein
Chem_TCONS_00069107	1670	1380.621	0.114187	26.002	ERR2862245	Clyhem_TCONS_00069107-protein
