Adig_gene-ND5	Adig_1_1
Adig_gene-ND1	Adig_1_2
Adig_gene-CYTB	Adig_1_3
Adig_gene-ND2	Adig_1_4
Adig_gene-ND6	Adig_1_5
Adig_gene-ATP6	Adig_1_6
Adig_gene-ND4	Adig_1_7
Adig_gene-COX3	Adig_1_8
Adig_gene-COX2	Adig_1_9
Adig_gene-ND4L	Adig_1_10
Adig_gene-ND3	Adig_1_11
Adig_gene-ATP8	Adig_1_12
Adig_gene-COX1	Adig_1_13
Adig_XM_015898527.1	Adig_2_1
Adig_XM_015900226.1	Adig_2_2
Adig_XM_015908742.1	Adig_2_3
Adig_XM_015918879.1	Adig_2_4
Adig_XM_015900462.1	Adig_2_5
Adig_XM_015894786.1	Adig_2_6
Adig_XM_015896429.1	Adig_2_7
Adig_XM_015897484.1	Adig_2_8
Adig_XM_015898528.1	Adig_2_9
Adig_XM_015899577.1	Adig_2_10
Adig_XM_015900595.1	Adig_2_11
Adig_XM_015901610.1	Adig_2_12
Adig_XM_015902658.1	Adig_2_13
Adig_XM_015900772.1	Adig_2_14
Adig_XM_015900668.1	Adig_2_15
Adig_XM_015900562.1	Adig_2_16
Adig_XM_015904692.1	Adig_2_17
Adig_XM_015901708.1	Adig_2_18
Adig_XM_015901457.1	Adig_2_19
Adig_XM_015900876.1	Adig_2_20
Adig_XM_015905693.1	Adig_2_21
Adig_XM_015901548.1	Adig_2_22
Adig_XM_015906696.1	Adig_2_23
Adig_XM_015907728.1	Adig_2_24
Adig_XM_015901911.1	Adig_2_25
Adig_XM_015902099.1	Adig_2_26
Adig_XM_015902207.1	Adig_2_27
Adig_XM_015902306.1	Adig_2_28
Adig_XM_015908743.1	Adig_2_29
Adig_XM_015909753.1	Adig_2_30
Adig_XM_015902407.1	Adig_2_31
Adig_XM_015902876.1	Adig_2_32
Adig_XM_015902773.1	Adig_2_33
Adig_XM_015910767.1	Adig_2_34
Adig_XM_015902659.1	Adig_2_35
Adig_XM_015903190.1	Adig_2_36
Adig_XM_015903087.1	Adig_2_37
Adig_XM_015902979.1	Adig_2_38
