Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Clim_g6251,201,3.98009950248756,3,1
Clim_g6293,310,4.83870967741935,2,1
Clim_g2091,297,3.36700336700337,5,1
Clim_g6589,347,6.62824207492795,2,1
Clim_g6902,502,9.7609561752988,14,4
Clim_g16,674,14.3916913946588,18,7
Clim_g3685,153,31.3725490196078,28,6
Clim_g4611,654,14.3730886850153,35,7
Clim_g3679,299,3.34448160535117,5,1
Clim_g262,538,5.76208178438662,11,3
Clim_g3286,329,24.6200607902736,33,7
Clim_g2574,627,2.23285486443381,2,1
Clim_g1779,1254,0.478468899521531,1,1
Clim_g5421,1516,1.12137203166227,2,2
Clim_g1978,267,28.0898876404494,14,4
Clim_g6804,584,19.6917808219178,18,6
Clim_g1781,169,9.46745562130178,4,2
Clim_g4782,1026,8.0896686159844,26,9
Clim_g556,334,21.8562874251497,23,6
Clim_g6379,153,41.8300653594771,67,6
Clim_g1060,884,1.24434389140271,1,1
Clim_g2759,456,10.0877192982456,8,2
Clim_g1752,924,2.92207792207792,3,2
Clim_g552,212,8.49056603773585,2,1
Clim_g818,171,45.6140350877193,33,6
Clim_g687,1043,6.04026845637584,12,6
Clim_g947,1469,7.14771953710007,17,7
Clim_g2522,657,18.1126331811263,47,9
Clim_g4974,195,21.025641025641,21,5
Clim_g1380,611,9.49263502454992,8,5
CON_007085262,650,3.69230769230769,8,3
Clim_g2822,423,9.21985815602837,8,4
Clim_g3272,550,9.45454545454546,17,5
Clim_g4816,346,15.8959537572254,20,6
Clim_g6154,567,0.0,32,0
Clim_g199,463,1.9438444924406,3,1
Clim_g1909,134,4.47761194029851,4,1
CON_007082441,1364,1.68621700879765,8,2
Clim_g3712,211,36.0189573459716,23,8
Clim_g303,378,13.4920634920635,10,4
Clim_g1562,1213,1.15416323165705,3,1
Clim_g1107,259,3.86100386100386,1,1
Clim_g5852,407,7.12530712530713,5,3
Clim_g470,493,7.91075050709939,6,2
Clim_g4086,241,45.643153526971,25,7
Clim_g863,668,17.3652694610778,28,7
Clim_g2161,192,3.125,3,1
Clim_g3327,149,10.738255033557,4,1
Clim_g1316,1048,3.91221374045802,14,4
Clim_g5849,298,24.496644295302,21,6
