gene	orthogroup	orthologous_to
SARHap|Coka_g4740.t1	aOG.eur_GNAT_acetyltr_20	
Ancyromonadida|Fabtro_Gene.9749	aOG.eur_GNAT_acetyltr_20	
CRuMs|Manpla_Gene.3561	aOG.eur_GNAT_acetyltr_20	
Metamonada|Tvag_XP_001315570.1	aOG.eur_GNAT_acetyltr_21	
Ancyromonadida|Plamic_ANCSI_00556.mRNA.1	aOG.eur_GNAT_acetyltr_21	
Discoba|Ngru_EFC50309	aOG.eur_GNAT_acetyltr_21	
ArchaeCry|Klenit_GAQ78702.1	aOG.eur_GNAT_acetyltr_21	
ArchaeCry|Sacu_v1.1_s0021.g008523	aOG.eur_GNAT_acetyltr_21	
Ancyromonadida|Fabtro_Gene.8493	aOG.eur_GNAT_acetyltr_21	
SARHap|Pinf_PITG_19671T0	aOG.eur_GNAT_acetyltr_21	
Amoebozoa|Plafun_PRP75174	aOG.eur_GNAT_acetyltr_21	
Obazoa|Nk52_evm67s343	aOG.eur_GNAT_acetyltr_21	
Malawimonadidae|Gefoke_MALSP_15715.mRNA.1	aOG.eur_GNAT_acetyltr_21	
Amoebozoa|Ddis_EAL73023	aOG.eur_GNAT_acetyltr_21	
Obazoa|Apla_XP_022083615.1	aOG.eur_GNAT_acetyltr_21	
CRuMs|Diprot_Gene.19456	aOG.eur_GNAT_acetyltr_21	
Discoba|Recame_RECAM_22688.mRNA.1	aOG.eur_GNAT_acetyltr_21	
Discoba|Andgod_ANDGO_01938.mRNA.1	aOG.eur_GNAT_acetyltr_21	
Obazoa|Nvec_NVE16352	aOG.eur_GNAT_acetyltr_21	
Obazoa|Skow_XP_006819163.1	aOG.eur_GNAT_acetyltr_21	
CRuMs|Manpla_Gene.18295	aOG.eur_GNAT_acetyltr_21	
Meteora|Meteor_CRO19MET_NODE_577.p1	aOG.eur_GNAT_acetyltr_21	
Hemimastigophora|Hemkuk_3867_TR1359_c0_g1	aOG.eur_GNAT_acetyltr_21	
Obazoa|Clyhem_TCONS_00052312-protein	aOG.eur_GNAT_acetyltr_21	
SARHap|Plabra_CEO95733	aOG.eur_GNAT_acetyltr_21	
ArchaeCry|Marpol_PTQ42188	aOG.eur_GNAT_acetyltr_21	
Malawimonadidae|Maljak_MALJA_02339.mRNA.1	aOG.eur_GNAT_acetyltr_21	
Obazoa|Ttra_KNC55266	aOG.eur_GNAT_acetyltr_22	
