gene	orthogroup	orthologous_to
Crei_PNW81038	zf-CW.HG1.0:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Vcar_XP_002951715.1	zf-CW.HG1.0:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Bnat_JGI_V11_66119	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Chrtob_KOO32640.1	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Strcul_EPY15457	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Vitbra_CEM21197.1	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Cocsub_XP_005649547.1	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Vcar_XP_002955823.1	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Ehux_EOD41034	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Vitbra_CEM38392.1	zf-CW.HG1.1:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Gthe_EKX55001	zf-CW.HG1.2:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Diprot_Gene.24974	zf-CW.HG1.2:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Gonavo_comp40205_c0_seq1_6_ORF18_539	zf-CW.HG1.2:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Chrtob_KOO25319.1	zf-CW.HG1.2:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Phatri_Phatr3_J43179.p1	zf-CW.HG1.3:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Bralan_BL03346_cuf0	zf-CW.HG1.3:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Ehux_EOD29954	zf-CW.HG1.3:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Cocsub_XP_005646341.1	zf-CW.HG1.3:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
Bralan_BL73523_cuf0	zf-CW.HG1.3:like:AC098650.1/KDM1B/MORC1/MORC2/MORC3/MORC4/ZCWPW1/ZCWPW2:likeclu:14/16/17/18	NA
