in_gene	out_gene	branch_support	ev_type	sos
Mvib_comp12187_c2_seq1_fr6_102-164	Sman_Smp_079650.1_pep_1350-1428	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Atri_ERN02848_834-914	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Bdis_KQK16131_1287-1355	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Chabra_GBG73474_1172-1232	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Helrob_HelroP100648_897-973	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Linana_g14443.t1_581-658	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Lcom_lcpid17010_1120-1201	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Lpol_XP_022245678.1_1019-1093	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Linana_g25710.t1_1357-1434	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Spis_XP_022789801_1_1264-1341	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Sacu_v1.1_s0046.g013333_918-991	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Acoe_PIA60918.1_834-914	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Drer_ENSDARP00000014790.8_1289-1367	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Scil_scpid13509_1110-1190	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Sphfal_Sphfalx06G080600.1.p_1773-1844	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Ptyfla_pfl_40v0_9_20150316_1g13958.t1_540-619	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Acoe_PIA60915.1_834-914	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Plafun_PRP81976_1094-1153	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Acoe_PIA60922.1_834-914	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Bdis_KQK19283_833-906	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Hydvul_Sc4wPfr_39.1.g26772.t1_1061-1136	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Spur_XP_030842515.1_1301-1380	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Hydvul_Sc4wPfr_39.1.g26772.t5_1097-1172	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Acoe_PIA60916.1_834-914	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Clyhem_TCONS_00018694-protein_1134-1206	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Lcom_lcpid15781_1120-1201	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Smoe_EFJ11544_818-891	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Atha_AT5G44800.1_1294-1351	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Smoe_EFJ18933_818-891	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Cscu_XP_023225799.1_1218-1294	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Ulvmut_UM012_00641_963-1044	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Spur_XP_030842516.1_1326-1405	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Morvir_scaffold17.g141.t1_434-510	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Mgut_XP_012833274.1_1281-1353	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Chabra_GBG72047_1947-2013	1.0	S	0.0
Mvib_comp12187_c2_seq1_fr6_102-164	Jaklib_JAKLI_00124.mRNA.1_995-1059	1.0	S	0.0
