i	j	weight
2OG-FeII_Oxy_2	SAM_1	1
7tm_3	ANF_receptor	3
7tm_3	SAM_1	1
7tm_3	SAM_2	2
AAA	BCS1_N	2
AAA	MIT	2
AAA	SAM_1	6
AAA_11	AAA_12	5
AAA_11	SAM_1	5
AAA_12	SAM_1	5
AAA_assoc_2	MgsA_C	1
AAA_assoc_2	RuvB_N	1
AAA_assoc_2	SAM_1	1
ADH_zinc_N	SAM_1	1
ADH_zinc_N	zf-C3HC4	1
AKAP7_NLS	SAM_2	2
ANAPC4_WD40	SAM_1	1
ANAPC4_WD40	U-box	1
ANAPC4_WD40	WD40	1
ANF_receptor	SAM_1	1
ANF_receptor	SAM_2	2
ART	SAM_1	1
ATG_C	SAM_2	1
Aa_trans	SAM_1	1
Aa_trans	SAM_2	1
Actin	CH	1
Actin	Cornichon	1
Actin	PH	1
Actin	SAM_1	4
Actin	SAM_2	1
Aldo_ket_red	SAM_1	1
Aldo_ket_red	hnRNP_Q_AcD	1
Angiomotin_C	SAM_2	3
Ank	Ank_2	71
Ank	Ank_3	17
Ank	Ank_4	39
Ank	Ank_5	26
Ank	Caskin-Pro-rich	1
Ank	Caskin-tail	1
Ank	Caskin1-CID	1
Ank	IQ	2
Ank	KH_1	6
Ank	PARP	32
Ank	PDZ	3
Ank	PDZ_6	4
Ank	PID	3
Ank	Pkinase_Tyr	2
Ank	Response_reg	2
Ank	SAM_1	50
Ank	SAM_2	36
Ank	SH3_1	1
Ank	SH3_2	4
Ank_2	Ank_3	26
Ank_2	Ank_4	82
Ank_2	Ank_5	38
Ank_2	Arf	1
Ank_2	ArfGap	1
Ank_2	C2	7
Ank_2	Caskin-Pro-rich	4
Ank_2	Caskin-tail	5
Ank_2	Caskin1-CID	4
Ank_2	Ctr	1
Ank_2	DEP	1
Ank_2	DUF3694	1
Ank_2	DUF4730	1
Ank_2	Endonuclease_5	1
Ank_2	F5_F8_type_C	1
Ank_2	FERM_f0	2
Ank_2	Filamin	1
Ank_2	GMC_oxred_C	1
Ank_2	GMC_oxred_N	1
Ank_2	GRAM	1
Ank_2	IQ	2
Ank_2	KH_1	14
Ank_2	MT	3
Ank_2	PARP	35
Ank_2	PDZ	11
Ank_2	PDZ_6	16
Ank_2	PH	1
Ank_2	PID	24
Ank_2	Pkinase	2
Ank_2	Pkinase_Tyr	19
Ank_2	RA	1
Ank_2	RRM_1	1
Ank_2	RhoGAP	1
Ank_2	SAM_1	268
Ank_2	SAM_2	71
Ank_2	SH3_1	1
Ank_2	SH3_2	41
Ank_2	SH3_9	1
Ank_2	SPG48	1
Ank_2	TIR_2	1
Ank_2	U-box	1
Ank_3	Ank_4	16
Ank_3	Ank_5	12
Ank_3	KH_1	1
Ank_3	PARP	15
Ank_3	Pkinase_Tyr	1
Ank_3	SAM_1	15
Ank_3	SAM_2	12
Ank_3	SH3_2	1
Ank_4	Ank_5	28
Ank_4	C2	1
Ank_4	Caskin-Pro-rich	3
Ank_4	Caskin-tail	3
Ank_4	Caskin1-CID	2
Ank_4	Endonuclease_5	1
Ank_4	IQ	6
Ank_4	KH_1	1
Ank_4	MT	2
Ank_4	PARP	32
Ank_4	PDZ	5
Ank_4	PDZ_6	8
Ank_4	PID	3
