in_gene	out_gene	branch_support	ev_type	sos
Obazoa|Ttra_KNC55364	SARHap|Plabra_CEO94987	52.0	S	0.0
Obazoa|Ttra_KNC55364	Discoba|Amobb2_AMBB2_07459.mRNA.1	52.0	S	0.0
Obazoa|Ttra_KNC55364	Hemimastigophora|Hemkuk_9504_TR3306_c0_g9	52.0	S	0.0
Obazoa|Ttra_KNC55364	Amoebozoa|Tielac_KYQ93479	52.0	S	0.0
Obazoa|Ttra_KNC55364	ArchaeCry|Gonavo_g18997.t1	52.0	S	0.0
Obazoa|Ttra_KNC55364	Metamonada|Tvag_XP_001579487.1	52.0	S	0.0
Obazoa|Ttra_KNC55364	SARHap|Bnat_JGI_V11_88957	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	ArchaeCry|Klenit_GAQ90229.1	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Obazoa|Ccin_EAU91580	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Discoba|Amobb2_AMBB2_01988.mRNA.1	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	SARHap|Chrtob_KOO31819.1	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	SARHap|Ngad_EWM25108	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Meteora|Meteor_CRO19MET_NODE_2122.p2	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Malawimonadidae|Maljak_MALJA_24397.mRNA.1	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Hemimastigophora|Hemkuk_27938_TR9226_c0_g1	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Obazoa|Dpul_EFX77404	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Metamonada|Carmem_3864.p1	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	ArchaeCry|Gonavo_comp63106_c0_seq1_6_ORF3_904	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Discoba|Styinc_Gene23316_m23316	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Amoebozoa|Plafun_PRP74122	52.0	S	0.0
Ancyromonadida|Plamic_ANCSI_01729.mRNA.1	Malawimonadidae|Maljak_MALJA_06219.mRNA.1	52.0	S	0.0
