gene	orthogroup	orthologous_to
Sphfal_Sphfalx11G053300.1.p	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Lcom_lcpid69810	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Maljak_MALJA_21048.mRNA.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Oxytri_EJY64812	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Cscu_XP_023219301.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Concor_KXN66025	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Phoaus_g18262.t1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Ocar_g10128.t1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Cscu_XP_023212250.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Cint_ENSCINP00000018004.3	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Maljak_MALJA_14704.mRNA.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Cscu_XP_023221401.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Pbla_XP_018290802.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Amac_KNE60926	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Rhidel_EIE84326	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Spur_XP_030845175.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Tetwil_Twilhelma_g7773.t1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Lpol_XP_013785551.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	islike:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
Exapal_XP_020899517.1	NAP.HG1.0:NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5	NAP1L1/NAP1L2/NAP1L3/NAP1L4/NAP1L5
