Skow_gene-ATP6	Skow_1_1
Skow_gene-COX3	Skow_1_2
Skow_gene-ND3	Skow_1_3
Skow_gene-ND4L	Skow_1_4
Skow_gene-ND4	Skow_1_5
Skow_gene-ND5	Skow_1_6
Skow_gene-CYTB	Skow_1_7
Skow_gene-ND6	Skow_1_8
Skow_gene-ND2	Skow_1_9
Skow_gene-ND1	Skow_1_10
Skow_gene-COX1	Skow_1_11
Skow_gene-COX2	Skow_1_12
Skow_gene-ATP8	Skow_1_13
Skow_XM_006811042.1	Skow_2_1
Skow_XM_002730313.2	Skow_2_2
Skow_XM_002730314.1	Skow_2_3
Skow_XM_006811043.1	Skow_2_4
Skow_XM_002730312.2	Skow_2_5
Skow_XM_002730315.2	Skow_2_6
Skow_XM_002730316.2	Skow_2_7
Skow_XM_006811044.1	Skow_2_8
Skow_XM_006811045.1	Skow_2_9
Skow_NM_001168116.1	Skow_2_10
Skow_XM_002730318.2	Skow_2_11
Skow_XM_006811046.1	Skow_2_12
Skow_XM_006811040.1	Skow_2_13
Skow_XM_002730320.2	Skow_2_14
Skow_XM_002730322.2	Skow_2_15
Skow_XM_002730321.2	Skow_2_16
Skow_XM_006811047.1	Skow_2_17
Skow_XM_006811048.1	Skow_2_18
Skow_XM_006811049.1	Skow_2_19
Skow_XM_002730326.2	Skow_2_20
Skow_XM_002730328.2	Skow_2_21
Skow_XM_006811041.1	Skow_2_22
Skow_XM_002730327.2	Skow_2_23
Skow_XM_006811050.1	Skow_2_24
Skow_XM_006811052.1	Skow_3_1
Skow_XM_002730330.2	Skow_3_2
Skow_XM_002730331.2	Skow_3_3
Skow_XM_006811053.1	Skow_3_4
Skow_XM_006811054.1	Skow_3_5
Skow_XM_006811055.1	Skow_3_6
Skow_XM_006811056.1	Skow_3_7
Skow_XM_006811057.1	Skow_3_8
Skow_XM_002730333.1	Skow_3_9
Skow_XM_006811058.1	Skow_3_10
Skow_XM_006811059.1	Skow_3_11
Skow_XM_006811060.1	Skow_3_12
Skow_XM_002730335.1	Skow_3_13
Skow_XM_006811061.1	Skow_3_14
Skow_XM_006811051.1	Skow_3_15
Skow_XM_006811062.1	Skow_3_16
Skow_XM_006811063.1	Skow_3_17
Skow_XM_006811064.1	Skow_3_18
Skow_XM_006811065.1	Skow_3_19
Skow_XM_006811066.1	Skow_3_20
Skow_XM_006811067.1	Skow_4_1
Skow_XM_002730342.2	Skow_4_2
Skow_XM_006811068.1	Skow_4_3
Skow_XM_002730343.2	Skow_4_4
Skow_XM_002730347.2	Skow_4_5
Skow_XM_002730348.2	Skow_4_6
Skow_XM_006811073.1	Skow_4_7
Skow_XM_006811070.1	Skow_4_8
Skow_XM_006811074.1	Skow_4_9
Skow_XM_006811075.1	Skow_4_10
Skow_XM_002730350.2	Skow_4_11
Skow_XM_006811076.1	Skow_4_12
Skow_XM_006811071.1	Skow_4_13
Skow_XM_006811077.1	Skow_4_14
Skow_XM_006811078.1	Skow_4_15
Skow_XM_006811079.1	Skow_4_16
Skow_XM_006811080.1	Skow_4_17
Skow_XM_006811081.1	Skow_4_18
Skow_XM_002730345.1	Skow_4_19
Skow_XM_006811072.1	Skow_4_20
Skow_XM_002730357.1	Skow_5_1
Skow_XM_006811091.1	Skow_5_2
Skow_XM_006811082.1	Skow_5_3
Skow_XM_006811083.1	Skow_5_4
Skow_XM_006811092.1	Skow_5_5
Skow_XM_006811093.1	Skow_5_6
Skow_XM_006811094.1	Skow_5_7
Skow_XM_006811084.1	Skow_5_8
Skow_XM_006811095.1	Skow_5_9
Skow_XM_006811089.1	Skow_5_10
Skow_XM_006811090.1	Skow_5_11
Skow_XM_006811096.1	Skow_5_12
Skow_XM_002730362.1	Skow_5_13
Skow_XM_006811097.1	Skow_5_14
Skow_XM_006811105.1	Skow_6_1
Skow_XM_006811098.1	Skow_6_2
Skow_XM_002730363.2	Skow_6_3
Skow_XM_002730364.2	Skow_6_4
Skow_XM_002730369.2	Skow_6_5
Skow_XM_006811106.1	Skow_6_6
Skow_XM_002730370.2	Skow_6_7
Skow_XM_006811107.1	Skow_6_8
Skow_XM_006811108.1	Skow_6_9
Skow_XM_002730372.2	Skow_6_10
Skow_XM_006811109.1	Skow_6_11
Skow_XM_006811110.1	Skow_6_12
Skow_XM_006811099.1	Skow_6_13
Skow_XM_002730365.2	Skow_6_14
Skow_XM_006811100.1	Skow_6_15
Skow_XM_006811101.1	Skow_6_16
Skow_XM_006811102.1	Skow_6_17
Skow_XM_006811103.1	Skow_6_18
Skow_XM_002730375.2	Skow_6_19
Skow_XM_006811111.1	Skow_6_20
Skow_XM_006811112.1	Skow_6_21
Skow_XM_006811113.1	Skow_6_22
Skow_XM_006811114.1	Skow_6_23
Skow_XM_006811104.1	Skow_6_24
Skow_XM_002730367.2	Skow_6_25
Skow_XM_006811115.1	Skow_6_26
Skow_XM_002730380.1	Skow_7_1
Skow_XM_006811121.1	Skow_7_2
Skow_XM_006811118.1	Skow_7_3
Skow_XM_006811122.1	Skow_7_4
Skow_XM_002730383.2	Skow_7_5
Skow_XM_006811123.1	Skow_7_6
Skow_XM_006811119.1	Skow_7_7
Skow_XM_006811124.1	Skow_7_8
Skow_XM_006811120.1	Skow_7_9
Skow_XM_006811125.1	Skow_7_10
Skow_XM_006811126.1	Skow_7_11
Skow_XM_006811127.1	Skow_7_12
Skow_XM_006811129.1	Skow_8_1
Skow_XM_006811130.1	Skow_8_2
Skow_XM_006811128.1	Skow_8_3
Skow_XM_002730387.2	Skow_8_4
Skow_XM_002730388.2	Skow_8_5
Skow_XM_006811131.1	Skow_8_6
Skow_XM_006811132.1	Skow_8_7
Skow_XM_002730392.2	Skow_9_1
Skow_XM_002730393.2	Skow_9_2
Skow_XM_002730394.2	Skow_9_3
Skow_XM_006811139.1	Skow_9_4
Skow_XM_002730396.1	Skow_9_5
Skow_XM_006811140.1	Skow_9_6
Skow_XM_006811133.1	Skow_9_7
Skow_XM_002730398.2	Skow_9_8
Skow_XM_006811141.1	Skow_9_9
Skow_XM_006811142.1	Skow_9_10
Skow_XM_006811143.1	Skow_9_11
Skow_XM_006811144.1	Skow_9_12
Skow_XM_006811134.1	Skow_9_13
Skow_XM_006811135.1	Skow_9_14
Skow_XM_006811145.1	Skow_9_15
Skow_XM_006811146.1	Skow_9_16
Skow_XM_006811150.1	Skow_10_1
Skow_XM_006811147.1	Skow_10_2
Skow_XM_006811151.1	Skow_10_3
Skow_XM_006811152.1	Skow_10_4
Skow_XM_006811153.1	Skow_10_5
Skow_XM_006811154.1	Skow_10_6
Skow_XM_002730400.1	Skow_10_7
Skow_XM_002730401.1	Skow_10_8
Skow_XM_006811148.1	Skow_10_9
Skow_XM_006811149.1	Skow_10_10
Skow_XM_002730404.2	Skow_10_11
Skow_XM_006811156.1	Skow_11_1
Skow_XM_006811157.1	Skow_11_2
Skow_XM_006811158.1	Skow_11_3
Skow_XM_002730408.2	Skow_11_4
Skow_XM_006811159.1	Skow_11_5
Skow_XM_006811155.1	Skow_11_6
Skow_XM_006811160.1	Skow_11_7
Skow_XM_002730410.1	Skow_11_8
Skow_XM_006811161.1	Skow_11_9
Skow_XM_002730411.2	Skow_11_10
Skow_XM_002730412.1	Skow_11_11
Skow_XM_006811169.1	Skow_12_1
Skow_XM_006811162.1	Skow_12_2
Skow_XM_002730413.2	Skow_12_3
Skow_XM_006811170.1	Skow_12_4
Skow_XM_006811164.1	Skow_12_5
Skow_XM_002730414.2	Skow_12_6
Skow_XM_006811165.1	Skow_12_7
Skow_XM_006811166.1	Skow_12_8
Skow_XM_006811167.1	Skow_12_9
Skow_XM_006811168.1	Skow_12_10
Skow_XM_002730421.1	Skow_12_11
Skow_XM_002730422.1	Skow_12_12
Skow_XM_006811171.1	Skow_12_13
Skow_XM_002730415.2	Skow_12_14
Skow_XM_006811172.1	Skow_13_1
Skow_XM_006811173.1	Skow_13_2
Skow_XM_006811174.1	Skow_13_3
Skow_XM_006811176.1	Skow_14_1
Skow_XM_006811177.1	Skow_14_2
Skow_XM_006811178.1	Skow_14_3
Skow_XM_002730425.2	Skow_14_4
Skow_XM_002730426.2	Skow_14_5
Skow_XM_006811175.1	Skow_14_6
Skow_XM_006811180.1	Skow_15_1
Skow_XM_006811181.1	Skow_15_2
Skow_XM_002730430.1	Skow_15_3
Skow_XM_006811179.1	Skow_15_4
Skow_XM_002730431.2	Skow_16_1
Skow_XM_002730432.1	Skow_16_2
Skow_XM_006811182.1	Skow_16_3
Skow_XM_006811183.1	Skow_16_4
Skow_XM_006811185.1	Skow_17_1
Skow_XM_006811186.1	Skow_17_2
Skow_XM_002730436.2	Skow_17_3
Skow_XM_006811184.1	Skow_17_4
Skow_XM_006811187.1	Skow_17_5
Skow_XM_002730437.2	Skow_17_6
Skow_XM_002730439.1	Skow_18_1
Skow_XM_002730440.2	Skow_18_2
Skow_XM_002730441.2	Skow_18_3
Skow_XM_002730438.2	Skow_18_4
Skow_XM_002730442.1	Skow_18_5
Skow_XM_006811188.1	Skow_19_1
Skow_XM_006811189.1	Skow_19_2
Skow_XM_006811190.1	Skow_20_1
Skow_XM_006811191.1	Skow_21_1
Skow_XM_006811193.1	Skow_22_1
Skow_XM_002730446.2	Skow_22_2
Skow_XM_006811192.1	Skow_22_3
Skow_XM_002730448.1	Skow_22_4
Skow_XM_002730449.2	Skow_23_1
Skow_XM_006811194.1	Skow_24_1
Skow_XM_006811196.1	Skow_25_1
Skow_XM_002730453.2	Skow_25_2
Skow_XM_006811197.1	Skow_25_3
Skow_XM_002730455.2	Skow_25_4
Skow_XM_002730456.2	Skow_25_5
Skow_XM_002730457.2	Skow_25_6
Skow_XM_006811199.1	Skow_25_7
Skow_XM_006811200.1	Skow_26_1
Skow_XM_006811201.1	Skow_27_1
Skow_XM_006811202.1	Skow_27_2
Skow_XM_006811203.1	Skow_28_1
Skow_NM_001168134.1	Skow_29_1
Skow_XM_002730460.2	Skow_29_2
Skow_XM_002730459.2	Skow_29_3
Skow_XM_006811204.1	Skow_29_4
Skow_XM_002730462.2	Skow_30_1
Skow_XM_002730463.2	Skow_30_2
Skow_XM_006811205.1	Skow_31_1
Skow_NM_001165018.1	Skow_32_1
Skow_XM_002730464.1	Skow_32_2
Skow_XM_006811206.1	Skow_33_1
Skow_XM_006811207.1	Skow_34_1
Skow_XM_002730466.2	Skow_35_1
Skow_XM_002730467.1	Skow_36_1
Skow_XM_002730468.2	Skow_37_1
Skow_XM_006811208.1	Skow_38_1
Skow_XM_002730469.1	Skow_39_1
Skow_XM_006811209.1	Skow_39_2
Skow_XM_002730470.1	Skow_40_1
Skow_XM_006811210.1	Skow_41_1
Skow_XM_002730471.1	Skow_42_1
Skow_XM_006811211.1	Skow_43_1
Skow_XM_002730472.2	Skow_44_1
Skow_XM_006811212.1	Skow_45_1
Skow_XM_002730473.1	Skow_45_2
Skow_XM_006811213.1	Skow_46_1
Skow_XM_006811214.1	Skow_47_1
Skow_XM_006811215.1	Skow_48_1
Skow_XM_006811216.1	Skow_49_1
Skow_XM_006811217.1	Skow_50_1
Skow_XM_006811218.1	Skow_51_1
Skow_XM_006811219.1	Skow_52_1
Skow_XM_002730475.1	Skow_53_1
Skow_XM_006811220.1	Skow_54_1
Skow_XM_006811221.1	Skow_54_2
Skow_XM_006811222.1	Skow_55_1
Skow_XM_006811223.1	Skow_56_1
Skow_XM_002730480.1	Skow_57_1
Skow_XM_006811224.1	Skow_58_1
Skow_XM_002730486.1	Skow_59_1
Skow_XM_006811230.1	Skow_59_2
Skow_XM_006811226.1	Skow_59_3
Skow_XM_002730487.2	Skow_59_4
Skow_XM_006811231.1	Skow_59_5
Skow_XM_002730481.2	Skow_59_6
Skow_XM_002730482.2	Skow_59_7
Skow_XM_002730488.2	Skow_59_8
Skow_XM_006811228.1	Skow_59_9
Skow_XM_006811232.1	Skow_59_10
Skow_XM_006811233.1	Skow_59_11
Skow_XM_002730483.2	Skow_59_12
Skow_XM_006811229.1	Skow_59_13
Skow_XM_006811234.1	Skow_59_14
Skow_XM_002730492.2	Skow_59_15
Skow_XM_002730493.1	Skow_59_16
Skow_XM_006811235.1	Skow_59_17
Skow_XM_006811236.1	Skow_59_18
Skow_XM_002730494.2	Skow_59_19
Skow_XM_002730485.2	Skow_59_20
Skow_XM_006811237.1	Skow_59_21
Skow_XM_002730495.2	Skow_59_22
Skow_XM_002730496.2	Skow_59_23
Skow_XM_002730497.2	Skow_59_24
Skow_XM_006811238.1	Skow_59_25
Skow_XM_006811240.1	Skow_60_1
Skow_XM_006811241.1	Skow_60_2
Skow_XM_006811242.1	Skow_60_3
Skow_XM_002730503.2	Skow_60_4
Skow_XM_006811243.1	Skow_60_5
Skow_XM_006811244.1	Skow_60_6
Skow_XM_006811245.1	Skow_60_7
Skow_XM_002730499.2	Skow_60_8
Skow_XM_006811246.1	Skow_60_9
Skow_XM_006811239.1	Skow_60_10
Skow_NM_001171246.1	Skow_60_11
Skow_XM_002730509.2	Skow_60_12
Skow_XM_002730500.2	Skow_60_13
Skow_XM_002730510.2	Skow_61_1
Skow_XM_006811250.1	Skow_61_2
Skow_XM_006811247.1	Skow_61_3
Skow_XM_006811251.1	Skow_61_4
Skow_XM_002730512.1	Skow_61_5
Skow_XM_006811252.1	Skow_61_6
Skow_XM_006811248.1	Skow_61_7
Skow_XM_006811253.1	Skow_61_8
Skow_XM_006811249.1	Skow_61_9
Skow_XM_006811254.1	Skow_61_10
Skow_XM_002730517.2	Skow_61_11
Skow_XM_002730518.2	Skow_61_12
Skow_XM_006811257.1	Skow_62_1
Skow_XM_002730523.1	Skow_62_2
Skow_XM_006811256.1	Skow_62_3
Skow_XM_002730524.2	Skow_62_4
Skow_XM_002730520.2	Skow_62_5
Skow_XM_002730525.2	Skow_62_6
Skow_XM_002730521.1	Skow_62_7
Skow_XM_006811261.1	Skow_63_1
Skow_XM_006811262.1	Skow_63_2
Skow_XM_006811263.1	Skow_63_3
Skow_XM_006811264.1	Skow_63_4
Skow_XM_006811265.1	Skow_63_5
Skow_XM_002730528.2	Skow_63_6
Skow_XM_002730529.2	Skow_63_7
Skow_XM_006811266.1	Skow_63_8
Skow_XM_006811267.1	Skow_63_9
Skow_XM_006811258.1	Skow_63_10
Skow_XM_006811268.1	Skow_63_11
Skow_XM_006811259.1	Skow_63_12
Skow_XM_006811269.1	Skow_63_13
Skow_XM_002730526.2	Skow_63_14
Skow_XM_002730527.2	Skow_63_15
Skow_XM_002730533.2	Skow_63_16
Skow_XM_002730534.1	Skow_63_17
Skow_XM_002730535.2	Skow_63_18
Skow_XM_006811260.1	Skow_63_19
Skow_XM_002730537.2	Skow_63_20
Skow_XM_006811270.1	Skow_63_21
Skow_XM_002730539.2	Skow_63_22
Skow_XM_006811271.1	Skow_63_23
Skow_XM_002730541.2	Skow_64_1
Skow_XM_006811273.1	Skow_64_2
Skow_XM_006811274.1	Skow_64_3
Skow_XM_006811275.1	Skow_64_4
Skow_XM_006811276.1	Skow_64_5
Skow_XM_006811277.1	Skow_64_6
Skow_XM_006811278.1	Skow_64_7
Skow_XM_006811279.1	Skow_64_8
Skow_XM_002730547.2	Skow_64_9
Skow_XM_006811280.1	Skow_64_10
