Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Bnat_87039,492,7.31707317073171,9,3
Bnat_147386,229,5.67685589519651,4,1
Bnat_88184,594,5.38720538720539,3,3
Bnat_144930,278,4.67625899280576,1,1
Bnat_90352,136,8.82352941176471,1,1
Bnat_134187,180,3.33333333333333,8,1
Bnat_141325,298,2.68456375838926,1,1
Bnat_37804,70,62.8571428571429,58,7
Bnat_147494,315,12.6984126984127,16,3
Bnat_70112,295,18.9830508474576,13,6
Bnat_72728,157,6.36942675159236,1,1
Bnat_80509,563,3.73001776198934,3,2
Bnat_127687,521,17.4664107485605,21,9
Bnat_67807,743,0.807537012113055,2,1
Bnat_51605,316,2.84810126582278,4,1
Bnat_145879,456,2.63157894736842,2,1
Bnat_127589,698,9.16905444126074,47,5
Bnat_79480,545,2.01834862385321,3,1
Bnat_87436,144,9.72222222222222,6,1
Bnat_50422,447,2.68456375838926,2,1
Bnat_85303,204,10.7843137254902,3,3
Bnat_67138,960,0.9375,3,1
Bnat_85634,250,9.2,7,2
Bnat_74774,667,1.04947526236882,1,1
Bnat_67622,361,14.6814404432133,38,4
Bnat_89955,387,5.68475452196382,2,2
Bnat_141246,331,3.62537764350453,2,1
Bnat_69125,965,2.17616580310881,6,2
Bnat_87258,332,3.01204819277108,4,1
Bnat_136783,628,10.1910828025478,47,5
Bnat_91797,705,5.67375886524823,9,6
Bnat_134948,695,9.20863309352518,47,5
Bnat_83526,472,1.27118644067797,5,1
Bnat_134691,372,1.61290322580645,2,1
Bnat_76057,335,2.98507462686567,3,1
Bnat_NUCL_XP_001713032.1,610,5.57377049180328,8,4
Bnat_87256,485,1.85567010309278,6,1
Bnat_88965,298,29.1946308724832,40,5
CON_007082441,1364,0.659824046920821,3,1
Bnat_138654,546,3.66300366300366,5,2
Bnat_91645,370,4.59459459459459,4,1
Bnat_130583,285,14.3859649122807,3,2
Bnat_52255,396,8.83838383838384,17,4
Bnat_58673,82,28.0487804878049,5,2
Bnat_126590,101,11.8811881188119,1,1
Bnat_89437,736,3.66847826086957,6,2
Bnat_137984,612,5.3921568627451,8,3
