in_gene	out_gene	branch_support	ev_type	sos
Obazoa|Auraur_scaffold10.g238.t1	Ancyromonadida|Fabtro_Gene.122	100.0	S	0.0
Obazoa|Auraur_scaffold10.g238.t1	SARHap|Coka_g4748.t1	100.0	S	0.0
Obazoa|Auraur_scaffold10.g238.t1	CRuMs|Manpla_Gene.26360	100.0	S	0.0
SARHap|Bnat_JGI_V11_88026	Metamonada|Tvag_XP_001316151.1	98.0	S	0.0
SARHap|Bnat_JGI_V11_88026	Obazoa|Coerev_PIA19663.1	98.0	S	0.0
SARHap|Bnat_JGI_V11_88026	Discoba|Amobb2_AMBB2_02729.mRNA.1	98.0	S	0.0
SARHap|Plabra_CEP03194	Discoba|Styinc_Gene17533_m17533	97.0	S	0.0
SARHap|Plabra_CEP03194	Discoba|Jakbah_JAKBA_03302.mRNA.1	97.0	S	0.0
SARHap|Plabra_CEP03194	Discoba|Secula_SECUL_03213.mRNA.1	97.0	S	0.0
SARHap|Plabra_CEP03194	Metamonada|Tvag_XP_001582312.1	97.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Amoebozoa|Ddis_EAL67966	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	SARHap|Sappar_KDO23839	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Hemimastigophora|Hemkuk_7533_TR2578_c0_g1	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Malawimonadidae|Malcal_MALCA_07606.mRNA.1	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Malawimonadidae|Gefoke_MALSP_10174.mRNA.1	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Obazoa|Apla_XP_022109326.1	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Obazoa|Rall_EPZ32209	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Ancyromonadida|Ancsig_Gene.37385	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Amoebozoa|Plafun_PRP87909	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Obazoa|Lcom_lcpid24222	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	SARHap|Pinf_PITG_17617T0	91.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	Obazoa|Morelo_OAQ29479	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Amoebozoa|Ddis_EAL67966	91.0	S	0.0
CRuMs|Rigram_Gene.11303	SARHap|Sappar_KDO23839	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Hemimastigophora|Hemkuk_7533_TR2578_c0_g1	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Malawimonadidae|Malcal_MALCA_07606.mRNA.1	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Malawimonadidae|Gefoke_MALSP_10174.mRNA.1	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Obazoa|Apla_XP_022109326.1	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Obazoa|Rall_EPZ32209	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Ancyromonadida|Ancsig_Gene.37385	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Amoebozoa|Plafun_PRP87909	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Obazoa|Lcom_lcpid24222	91.0	S	0.0
CRuMs|Rigram_Gene.11303	SARHap|Pinf_PITG_17617T0	91.0	S	0.0
CRuMs|Rigram_Gene.11303	Obazoa|Morelo_OAQ29479	91.0	S	0.0
SARHap|Coka_g4748.t1	Ancyromonadida|Fabtro_Gene.122	100.0	S	0.0
SARHap|Coka_g4748.t1	CRuMs|Manpla_Gene.26360	100.0	S	0.0
Discoba|Amobb2_AMBB2_02729.mRNA.1	Metamonada|Tvag_XP_001316151.1	100.0	S	0.0
Discoba|Amobb2_AMBB2_02729.mRNA.1	Obazoa|Coerev_PIA19663.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Amoebozoa|Acas_ELR17128	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Amoebozoa|Tielac_KYQ94406	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Ancyromonadida|Plamic_ANCSI_06247.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Oxytri_EJY88044	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Ptet_CAK59159	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	ArchaeCry|Gthe_EKX45486	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Esil_CBN77580	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	ArchaeCry|Sacu_v1.1_s0191.g025303	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Oxytri_EJY81131	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	ArchaeCry|Smoe_EFJ35411	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Obazoa|Apla_XP_022079723.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Amoebozoa|Cavfas_EGG19971	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Hemimastigophora|Hemkuk_23027_TR7710_c0_g1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	CRuMs|Rigram_Gene.11697	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Obazoa|Spur_XP_030845914.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	ArchaeCry|Gthe_EKX39033	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Discoba|Amobb2_AMBB2_14317.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Discoba|Jakbah_JAKBA_07636.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Bnat_JGI_V11_37084	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Obazoa|Morvir_scaffold27.g15.t2	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Obazoa|Sros_EGD82673	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Obazoa|Spun_KNC96498	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Aurlim_29720	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	SARHap|Symmic_Smic37569	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Obazoa|Bralan_BL06628_evm0	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Malawimonadidae|Gefoke_MALSP_10347.mRNA.1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Meteora|Meteor_CRO19MET_NODE_1912.p1	100.0	S	0.0
Metamonada|Tvag_XP_001317270.1	Ancyromonadida|Plamic_ANCSI_00383.mRNA.1	100.0	S	0.0
Meteora|Meteor_CRO19MET_NODE_1867.p1	CRuMs|Rigram_Gene.11303	90.0	S	0.0
Malawimonadidae|Malcal_MALCA_07606.mRNA.1	Amoebozoa|Ddis_EAL67966	84.0	S	0.0
