Coka_g17764.t1	DUF1153 Response_reg Trans_reg_C DNA_ligase_aden DNA_ligase_OB BRCT DEAD Helicase_C
Coka_g14572.t1	MarR_2 Response_reg Trans_reg_C Hist_deacetyl polyprenyl_synt DXP_synthase_N Transket_pyr Transketolase_C GST_N_3 GST_C
Coka_g989.t1	DUF1688 UPRTase PfkB gag-asp_proteas PGM_PMM_I PGM_PMM_II PGM_PMM_III PGM_PMM_IV Aldose_epim Hist_deacetyl Phosphonate-bd
Coka_g831.t1	Nfu_N NifU TsaD Acetyltransf_1 FUR Acyltransferase UPF0004 Radical_SAM PhoH CBS CBS CorC_HlyC CN_hydrolase HTH_3 S-AdoMet_synt_N S-AdoMet_synt_M S-AdoMet_synt_C Methyltransf_4 DUF150 DUF150_C NusA_N KH_5 IF2_N GTP_EFTU IF-2
Coka_g2379.t1	HTH_24 AsnC_trans_reg YbjQ_1 Acetyltransf_1 Arginase
Coka_g1420.t1	PadR HlyD_D23 ACR_tran ACR_tran MarR_2 Acetyltransf_1
Coka_g20878.t1	HTH_27 Acetyltransf_1
Coka_g12416.t1	Histone Histone_H2A_C DDE_1
