Cowc_KJE88335	Cowc_1_1
Cowc_KJE88336	Cowc_1_2
Cowc_KJE88337	Cowc_1_3
Cowc_KJE88338	Cowc_1_4
Cowc_KJE88339	Cowc_1_5
Cowc_KJE88340	Cowc_1_6
Cowc_KJE88341	Cowc_1_7
Cowc_KJE88342	Cowc_1_8
Cowc_KJE88343	Cowc_1_9
Cowc_KJE88344	Cowc_1_10
Cowc_KJE88345	Cowc_1_11
Cowc_KJE88346	Cowc_1_12
Cowc_KJE88347	Cowc_1_13
Cowc_KJE88349	Cowc_1_14
Cowc_KJE88350	Cowc_1_15
Cowc_KJE88351	Cowc_1_16
Cowc_KJE88352	Cowc_1_17
Cowc_KJE88353	Cowc_1_18
Cowc_KJE88354	Cowc_1_19
Cowc_KJE88355	Cowc_1_20
Cowc_KJE88356	Cowc_1_21
Cowc_KJE88357	Cowc_1_22
Cowc_KJE88358	Cowc_1_23
Cowc_KJE88359	Cowc_1_24
Cowc_KJE88360	Cowc_1_25
Cowc_KJE88361	Cowc_1_26
Cowc_KJE88362	Cowc_1_27
Cowc_KJE88363	Cowc_1_28
Cowc_KJE88364	Cowc_1_29
Cowc_KJE88365	Cowc_1_30
Cowc_KJE88366	Cowc_1_31
Cowc_KJE88367	Cowc_1_32
Cowc_KJE88368	Cowc_1_33
Cowc_KJE88369	Cowc_1_34
Cowc_KJE88370	Cowc_1_35
Cowc_KJE88371	Cowc_1_36
Cowc_KJE88372	Cowc_1_37
Cowc_KJE88373	Cowc_1_38
Cowc_KJE88374	Cowc_1_39
Cowc_KJE88375	Cowc_1_40
Cowc_KJE88376	Cowc_1_41
Cowc_KJE88377	Cowc_1_42
Cowc_KJE88378	Cowc_1_43
Cowc_KJE88379	Cowc_1_44
Cowc_KJE88380	Cowc_1_45
Cowc_KJE88381	Cowc_1_46
Cowc_KJE88382	Cowc_1_47
Cowc_KJE88383	Cowc_1_48
Cowc_KJE88384	Cowc_1_49
Cowc_KJE88385	Cowc_1_50
Cowc_KJE88387	Cowc_1_51
Cowc_KJE88388	Cowc_1_52
Cowc_KJE88389	Cowc_1_53
Cowc_KJE88390	Cowc_1_54
Cowc_KJE88391	Cowc_1_55
Cowc_KJE88392	Cowc_1_56
Cowc_KJE88393	Cowc_1_57
Cowc_KJE88394	Cowc_1_58
Cowc_KJE88395	Cowc_1_59
Cowc_KJE88396	Cowc_1_60
Cowc_KJE88397	Cowc_1_61
Cowc_KJE88398	Cowc_1_62
Cowc_KJE88400	Cowc_1_63
Cowc_KJE88401	Cowc_1_64
Cowc_KJE88402	Cowc_1_65
Cowc_KJE88404	Cowc_1_66
Cowc_KJE88405	Cowc_1_67
Cowc_KJE88406	Cowc_1_68
Cowc_KJE88407	Cowc_1_69
Cowc_KJE88408	Cowc_1_70
Cowc_KJE88409	Cowc_1_71
Cowc_KJE88410	Cowc_1_72
Cowc_KJE88411	Cowc_1_73
Cowc_KJE88412	Cowc_1_74
Cowc_KJE88413	Cowc_1_75
Cowc_KJE88414	Cowc_1_76
Cowc_KJE88415	Cowc_1_77
Cowc_KJE88416	Cowc_1_78
Cowc_KJE88417	Cowc_1_79
Cowc_KJE88418	Cowc_1_80
Cowc_KJE88420	Cowc_1_81
Cowc_KJE88421	Cowc_1_82
Cowc_KJE88422	Cowc_1_83
Cowc_KJE88423	Cowc_1_84
Cowc_KJE88424	Cowc_1_85
Cowc_KJE88425	Cowc_1_86
Cowc_KJE88426	Cowc_1_87
Cowc_KJE88427	Cowc_1_88
Cowc_KJE88428	Cowc_1_89
Cowc_KJE88429	Cowc_1_90
Cowc_KJE88430	Cowc_1_91
Cowc_KJE88432	Cowc_1_92
Cowc_KJE88433	Cowc_1_93
Cowc_KJE88434	Cowc_1_94
Cowc_KJE88435	Cowc_1_95
Cowc_KJE88436	Cowc_1_96
Cowc_KJE88437	Cowc_1_97
Cowc_KJE88438	Cowc_1_98
Cowc_KJE88439	Cowc_1_99
Cowc_KJE88440	Cowc_1_100
Cowc_KJE88441	Cowc_1_101
Cowc_KJE88442	Cowc_1_102
Cowc_KJE88443	Cowc_1_103
Cowc_KJE88444	Cowc_1_104
Cowc_KJE88445	Cowc_1_105
Cowc_KJE88446	Cowc_1_106
Cowc_KJE88447	Cowc_1_107
Cowc_KJE88448	Cowc_1_108
Cowc_KJE88449	Cowc_1_109
Cowc_KJE88450	Cowc_1_110
Cowc_KJE88451	Cowc_1_111
Cowc_KJE88452	Cowc_1_112
Cowc_KJE88453	Cowc_1_113
Cowc_KJE88454	Cowc_1_114
Cowc_KJE88455	Cowc_1_115
Cowc_KJE88457	Cowc_1_116
Cowc_KJE88458	Cowc_1_117
Cowc_KJE88459	Cowc_1_118
Cowc_KJE88460	Cowc_1_119
Cowc_KJE88461	Cowc_1_120
Cowc_KJE88462	Cowc_1_121
Cowc_KJE88463	Cowc_1_122
Cowc_KJE88464	Cowc_1_123
Cowc_KJE88465	Cowc_1_124
Cowc_KJE88466	Cowc_1_125
Cowc_KJE88467	Cowc_1_126
Cowc_KJE88468	Cowc_1_127
Cowc_KJE88469	Cowc_1_128
Cowc_KJE88470	Cowc_1_129
Cowc_KJE88471	Cowc_1_130
Cowc_KJE88472	Cowc_1_131
Cowc_KJE88473	Cowc_1_132
Cowc_KJE88474	Cowc_1_133
Cowc_KJE88475	Cowc_1_134
Cowc_KJE88476	Cowc_1_135
Cowc_KJE88477	Cowc_1_136
Cowc_KJE88478	Cowc_1_137
Cowc_KJE88479	Cowc_1_138
Cowc_KJE88480	Cowc_1_139
Cowc_KJE88481	Cowc_1_140
Cowc_KJE88482	Cowc_1_141
Cowc_KJE88483	Cowc_1_142
Cowc_KJE88484	Cowc_1_143
Cowc_KJE88486	Cowc_1_144
Cowc_KJE88487	Cowc_1_145
Cowc_KJE88488	Cowc_1_146
Cowc_KJE88489	Cowc_1_147
Cowc_KJE88490	Cowc_1_148
Cowc_KJE88491	Cowc_1_149
Cowc_KJE88492	Cowc_1_150
Cowc_KJE88493	Cowc_1_151
Cowc_KJE88494	Cowc_1_152
Cowc_KJE88495	Cowc_1_153
Cowc_KJE88496	Cowc_1_154
Cowc_KJE88497	Cowc_1_155
Cowc_KJE88498	Cowc_1_156
Cowc_KJE88499	Cowc_1_157
Cowc_KJE88500	Cowc_1_158
Cowc_KJE88501	Cowc_1_159
Cowc_KJE88502	Cowc_1_160
Cowc_KJE88503	Cowc_1_161
Cowc_KJE88504	Cowc_1_162
Cowc_KJE88505	Cowc_1_163
Cowc_KJE88506	Cowc_1_164
Cowc_KJE88507	Cowc_1_165
Cowc_KJE88508	Cowc_1_166
Cowc_KJE88509	Cowc_1_167
Cowc_KJE88510	Cowc_1_168
Cowc_KJE88511	Cowc_1_169
Cowc_KJE88512	Cowc_1_170
Cowc_KJE88513	Cowc_1_171
Cowc_KJE88514	Cowc_1_172
Cowc_KJE88515	Cowc_1_173
Cowc_KJE88516	Cowc_1_174
Cowc_KJE88517	Cowc_1_175
Cowc_KJE88519	Cowc_1_176
Cowc_KJE88520	Cowc_1_177
Cowc_KJE88522	Cowc_1_178
Cowc_KJE88523	Cowc_1_179
Cowc_KJE88524	Cowc_1_180
Cowc_KJE88525	Cowc_1_181
Cowc_KJE88526	Cowc_1_182
Cowc_KJE88527	Cowc_1_183
Cowc_KJE88528	Cowc_1_184
Cowc_KJE88529	Cowc_1_185
Cowc_KJE88530	Cowc_1_186
Cowc_KJE88534	Cowc_1_187
Cowc_KJE88535	Cowc_1_188
Cowc_KJE88536	Cowc_1_189
Cowc_KJE88537	Cowc_1_190
Cowc_KJE88538	Cowc_1_191
Cowc_KJE88539	Cowc_1_192
Cowc_KJE88540	Cowc_1_193
Cowc_KJE88541	Cowc_1_194
Cowc_KJE88542	Cowc_1_195
Cowc_KJE88543	Cowc_1_196
Cowc_KJE88544	Cowc_1_197
Cowc_KJE88545	Cowc_1_198
Cowc_KJE88546	Cowc_1_199
Cowc_KJE88547	Cowc_1_200
Cowc_KJE88548	Cowc_1_201
Cowc_KJE88549	Cowc_1_202
Cowc_KJE88550	Cowc_1_203
Cowc_KJE88551	Cowc_1_204
Cowc_KJE88552	Cowc_1_205
Cowc_KJE88553	Cowc_1_206
Cowc_KJE88554	Cowc_1_207
Cowc_KJE88555	Cowc_1_208
Cowc_KJE88556	Cowc_1_209
Cowc_KJE88559	Cowc_1_210
Cowc_KJE88560	Cowc_1_211
Cowc_KJE88561	Cowc_1_212
Cowc_KJE88562	Cowc_1_213
Cowc_KJE88563	Cowc_1_214
Cowc_KJE88564	Cowc_1_215
