in_gene	out_gene	branch_support	ev_type	sos
Esil_CBN80329	Sbic_OQU77943	73.0	S	0.0
Esil_CBN80329	Sphfal_Sphfalx09G000300.1.p	73.0	S	0.0
Esil_CBN80329	Ppat_Pp3c1_36240V3.1	73.0	S	0.0
Esil_CBN80329	Marpol_PTQ31375	73.0	S	0.0
Esil_CBN80329	Sphfal_Sphfalx01G198700.2.p	73.0	S	0.0
Esil_CBN80329	Sacu_v1.1_s0042.g012700	73.0	S	0.0
Esil_CBN80329	Sarc_Sarc4_g31067T	73.0	S	0.0
Esil_CBN80329	Bdis_KQK14501	73.0	S	0.0
Esil_CBN80329	Atha_AT5G20420.1	73.0	S	0.0
Esil_CBN80329	Ppat_Pp3c25_10710V3.1	73.0	S	0.0
Esil_CBN80329	Lmaj_CBZ12351	73.0	S	0.0
Esil_CBN80329	Bdis_KQK05653	73.0	S	0.0
Esil_CBN80329	Atri_ERN06055	73.0	S	0.0
Esil_CBN80329	Atha_AT3G42670.4	73.0	S	0.0
Esil_CBN80329	Atri_ERN06059	73.0	S	0.0
Esil_CBN80329	Chabra_GBG78813	73.0	S	0.0
Esil_CBN80329	Sphfal_Sphfalx06G007100.1.p	73.0	S	0.0
Esil_CBN80329	Sphfal_Sphfalx03G000100.1.p	73.0	S	0.0
Esil_CBN80329	Azfi_s0487.g073484	73.0	S	0.0
Esil_CBN80329	Mgut_XP_012836439.1	73.0	S	0.0
Esil_CBN80329	Mgut_XP_012837075.1	73.0	S	0.0
Esil_CBN80329	Smoe_EFJ28397	73.0	S	0.0
Esil_CBN80329	Marpol_PTQ39770	73.0	S	0.0
Esil_CBN80329	Sbic_KXG31163	73.0	S	0.0
Esil_CBN80329	Lepsey_KPI84678	73.0	S	0.0
Esil_CBN80329	Bdis_PNT71349	73.0	S	0.0
Esil_CBN80329	Sphfal_Sphfalx01G198700.1.p	73.0	S	0.0
Esil_CBN80329	Bodsal_CUG89514.1	73.0	S	0.0
Esil_CBN80329	Atha_AT1G05490.1	73.0	S	0.0
Esil_CBN80329	Sacu_v1.1_s0055.g014383	73.0	S	0.0
Esil_CBN80329	Crei_PNW82653	73.0	S	0.0
Esil_CBN80329	Tcru_EAN96991	73.0	S	0.0
Esil_CBN80329	Acoe_PIA31087.1	73.0	S	0.0
