gene	orthogroup	orthologous_to
Obazoa|Auraur_scaffold10.g238.t1	aOG.eur_SNF2_N0	
Ancyromonadida|Fabtro_Gene.122	aOG.eur_SNF2_N0	
SARHap|Coka_g4748.t1	aOG.eur_SNF2_N0	
CRuMs|Manpla_Gene.26360	aOG.eur_SNF2_N0	
SARHap|Bnat_JGI_V11_88026	aOG.eur_SNF2_N1	
Metamonada|Tvag_XP_001316151.1	aOG.eur_SNF2_N1	
Obazoa|Coerev_PIA19663.1	aOG.eur_SNF2_N1	
Discoba|Amobb2_AMBB2_02729.mRNA.1	aOG.eur_SNF2_N1	
SARHap|Plabra_CEP03194	aOG.eur_SNF2_N2	
Discoba|Styinc_Gene17533_m17533	aOG.eur_SNF2_N2	
Discoba|Jakbah_JAKBA_03302.mRNA.1	aOG.eur_SNF2_N2	
Discoba|Secula_SECUL_03213.mRNA.1	aOG.eur_SNF2_N2	
Metamonada|Tvag_XP_001582312.1	aOG.eur_SNF2_N2	
Meteora|Meteor_CRO19MET_NODE_1867.p1	aOG.eur_SNF2_N3	
Amoebozoa|Ddis_EAL67966	aOG.eur_SNF2_N3	
SARHap|Sappar_KDO23839	aOG.eur_SNF2_N3	
Hemimastigophora|Hemkuk_7533_TR2578_c0_g1	aOG.eur_SNF2_N3	
Malawimonadidae|Malcal_MALCA_07606.mRNA.1	aOG.eur_SNF2_N3	
Malawimonadidae|Gefoke_MALSP_10174.mRNA.1	aOG.eur_SNF2_N3	
Obazoa|Apla_XP_022109326.1	aOG.eur_SNF2_N3	
Obazoa|Rall_EPZ32209	aOG.eur_SNF2_N3	
Ancyromonadida|Ancsig_Gene.37385	aOG.eur_SNF2_N3	
Amoebozoa|Plafun_PRP87909	aOG.eur_SNF2_N3	
Obazoa|Lcom_lcpid24222	aOG.eur_SNF2_N3	
SARHap|Pinf_PITG_17617T0	aOG.eur_SNF2_N3	
Obazoa|Morelo_OAQ29479	aOG.eur_SNF2_N3	
CRuMs|Rigram_Gene.11303	aOG.eur_SNF2_N3	
Metamonada|Tvag_XP_001317270.1	aOG.eur_SNF2_N4	
Amoebozoa|Acas_ELR17128	aOG.eur_SNF2_N4	
Amoebozoa|Tielac_KYQ94406	aOG.eur_SNF2_N4	
Ancyromonadida|Plamic_ANCSI_06247.mRNA.1	aOG.eur_SNF2_N4	
SARHap|Oxytri_EJY88044	aOG.eur_SNF2_N4	
SARHap|Ptet_CAK59159	aOG.eur_SNF2_N4	
ArchaeCry|Gthe_EKX45486	aOG.eur_SNF2_N4	
SARHap|Esil_CBN77580	aOG.eur_SNF2_N4	
ArchaeCry|Sacu_v1.1_s0191.g025303	aOG.eur_SNF2_N4	
SARHap|Oxytri_EJY81131	aOG.eur_SNF2_N4	
ArchaeCry|Smoe_EFJ35411	aOG.eur_SNF2_N4	
Obazoa|Apla_XP_022079723.1	aOG.eur_SNF2_N4	
Amoebozoa|Cavfas_EGG19971	aOG.eur_SNF2_N4	
Hemimastigophora|Hemkuk_23027_TR7710_c0_g1	aOG.eur_SNF2_N4	
CRuMs|Rigram_Gene.11697	aOG.eur_SNF2_N4	
Obazoa|Spur_XP_030845914.1	aOG.eur_SNF2_N4	
ArchaeCry|Gthe_EKX39033	aOG.eur_SNF2_N4	
Discoba|Amobb2_AMBB2_14317.mRNA.1	aOG.eur_SNF2_N4	
Discoba|Jakbah_JAKBA_07636.mRNA.1	aOG.eur_SNF2_N4	
SARHap|Bnat_JGI_V11_37084	aOG.eur_SNF2_N4	
Obazoa|Morvir_scaffold27.g15.t2	aOG.eur_SNF2_N4	
Obazoa|Sros_EGD82673	aOG.eur_SNF2_N4	
Obazoa|Spun_KNC96498	aOG.eur_SNF2_N4	
SARHap|Aurlim_29720	aOG.eur_SNF2_N4	
SARHap|Symmic_Smic37569	aOG.eur_SNF2_N4	
Obazoa|Bralan_BL06628_evm0	aOG.eur_SNF2_N4	
Malawimonadidae|Gefoke_MALSP_10347.mRNA.1	aOG.eur_SNF2_N4	
Meteora|Meteor_CRO19MET_NODE_1912.p1	aOG.eur_SNF2_N4	
Ancyromonadida|Plamic_ANCSI_00383.mRNA.1	aOG.eur_SNF2_N4	
CRuMs|Manpla_Gene.15510	aOG.eur_SNF2_N5	
Discoba|Amobb2_AMBB2_02388.mRNA.1	aOG.eur_SNF2_N5	
Amoebozoa|Plafun_PRP83549	aOG.eur_SNF2_N5	
Obazoa|Spun_KND04287	aOG.eur_SNF2_N5	
Obazoa|Rhidel_EIE81197	aOG.eur_SNF2_N5	
SARHap|Plabra_CEO94663	aOG.eur_SNF2_N5	
Ancyromonadida|Plamic_ANCSI_07308.mRNA.1	aOG.eur_SNF2_N5	
ArchaeCry|Mgut_XP_012836420.1	aOG.eur_SNF2_N6	
Obazoa|Spun_KNC96416	aOG.eur_SNF2_N6	
Obazoa|Mcir_OAD02227	aOG.eur_SNF2_N6	
Hemimastigophora|Spimul_26040_TR12976_c0_g1	aOG.eur_SNF2_N6	
Amoebozoa|Plafun_PRP82708	aOG.eur_SNF2_N6	
Ancyromonadida|Plamic_ANCSI_06696.mRNA.1	aOG.eur_SNF2_N6	
Amoebozoa|Cavfas_EGG23672	aOG.eur_SNF2_N6	
SARHap|Pinf_PITG_03014T0	aOG.eur_SNF2_N6	
Obazoa|Clim_evm8s199	aOG.eur_SNF2_N7	
SARHap|Esil_CBJ26833	aOG.eur_SNF2_N7	
Amoebozoa|Ddis_EAL73231	aOG.eur_SNF2_N8	
Obazoa|Spis_XP_022785581_1	aOG.eur_SNF2_N8	
Ancyromonadida|Plamic_ANCSI_05507.mRNA.1	aOG.eur_SNF2_N8	
ArchaeCry|Chabra_GBG76516	aOG.eur_SNF2_N8	
SARHap|Pinf_PITG_13790T0	aOG.eur_SNF2_N8	
Obazoa|Spur_XP_030850220.1	aOG.eur_SNF2_N8	
SARHap|Aplker_47795	aOG.eur_SNF2_N8	
SARHap|Coka_g10733.t1	aOG.eur_SNF2_N8	
ArchaeCry|Klenit_GAQ86477.1	aOG.eur_SNF2_N8	
Amoebozoa|Plafun_PRP86642	aOG.eur_SNF2_N8	
Amoebozoa|Cavfas_EGG16651	aOG.eur_SNF2_N8	
CRuMs|Diprot_Gene.7357	aOG.eur_SNF2_N8	
Amoebozoa|Plafun_PRP81645	aOG.eur_SNF2_N9	
Obazoa|Gpro_KXS11965	aOG.eur_SNF2_N9	
Hemimastigophora|Spimul_23246_TR11487_c0_g1	aOG.eur_SNF2_N9	
Discoba|Andgod_ANDGO_00878.mRNA.1	aOG.eur_SNF2_N10	
SARHap|Aano_EGB11874	aOG.eur_SNF2_N10	
SARHap|Phatri_Phatr3_EG02369.p1	aOG.eur_SNF2_N10	
Obazoa|Ccin_EAU90488	aOG.eur_SNF2_N10	
ArchaeCry|Otau_XP_022838889.1	aOG.eur_SNF2_N10	
Amoebozoa|Plafun_PRP86990	aOG.eur_SNF2_N10	
Discoba|Amobb2_AMBB2_01903.mRNA.1	aOG.eur_SNF2_N11	
SARHap|Plabra_CEP03398	aOG.eur_SNF2_N11	
ArchaeCry|Klenit_GAQ77838.1	aOG.eur_SNF2_N11	
Ancyromonadida|Plamic_ANCSI_00052.mRNA.1	aOG.eur_SNF2_N11	
Obazoa|Umay_KIS72012	aOG.eur_SNF2_N11	
Ancyromonadida|Plamic_ANCSI_01092.mRNA.1	aOG.eur_SNF2_N12	
Obazoa|Spun_KNC96716	aOG.eur_SNF2_N12	
ArchaeCry|Gthe_EKX51654	aOG.eur_SNF2_N12	
Obazoa|Sarc_Sarc4_g29635T	aOG.eur_SNF2_N12	
SARHap|Coka_g11195.t1	aOG.eur_SNF2_N12	
Ancyromonadida|Plamic_ANCSI_04114.mRNA.1	aOG.eur_SNF2_N12	
Obazoa|Gpro_KXS19842	aOG.eur_SNF2_N13	
Malawimonadidae|Gefoke_MALSP_12002.mRNA.1	aOG.eur_SNF2_N13	
ArchaeCry|Klenit_GAQ86429.1	aOG.eur_SNF2_N13	
ArchaeCry|Azfi_s0046.g030121	aOG.eur_SNF2_N13	
Malawimonadidae|Gefoke_MALSP_14284.mRNA.1	aOG.eur_SNF2_N13	
CRuMs|Rigram_Gene.23017	aOG.eur_SNF2_N13	
CRuMs|Diprot_Gene.20856	aOG.eur_SNF2_N13	
Discoba|Phakir_PHAKIR_10808.mRNA.1	aOG.eur_SNF2_N14	
Obazoa|Cfra_CFRG6066T1	aOG.eur_SNF2_N14	
ArchaeCry|Ppat_Pp3c5_4990V3.1	aOG.eur_SNF2_N14	
Obazoa|Rirr_GBC12912	aOG.eur_SNF2_N14	
ArchaeCry|Atha_AT5G43530.1	aOG.eur_SNF2_N14	
SARHap|Bnat_JGI_V11_54114	aOG.eur_SNF2_N14	
Meteora|Meteor_CRO19MET_NODE_238.p1	aOG.eur_SNF2_N14	
ArchaeCry|Klenit_GAQ83283.1	aOG.eur_SNF2_N15	
Obazoa|Skow_XP_002737002.1	aOG.eur_SNF2_N15	
Metamonada|Tvag_XP_001304706.1	aOG.eur_SNF2_N16	
ArchaeCry|Gthe_EKX50965	aOG.eur_SNF2_N16	
Meteora|Meteor_CRO19MET_NODE_1299.p1	aOG.eur_SNF2_N16	
SARHap|Plabra_CEO94988	aOG.eur_SNF2_N16	
ArchaeCry|Smoe_EFJ05227	aOG.eur_SNF2_N16	
Obazoa|Mlei_ML1670_g50_t1	aOG.eur_SNF2_N16	
Discoba|Styinc_Gene34405_m34405	aOG.eur_SNF2_N16	
CRuMs|Diprot_Gene.7089	aOG.eur_SNF2_N16	
Ancyromonadida|Plamic_ANCSI_00734.mRNA.1	aOG.eur_SNF2_N16	
ArchaeCry|Marpol_PTQ40715	aOG.eur_SNF2_N16	
Discoba|Amobb2_AMBB2_14349.mRNA.1	aOG.eur_SNF2_N16	
Obazoa|Bralan_BL20797_evm1	aOG.eur_SNF2_N16	
Amoebozoa|Plafun_PRP74806	aOG.eur_SNF2_N16	
CRuMs|Rigram_Gene.20598	aOG.eur_SNF2_N16	
Obazoa|Spis_XP_022794529_1	aOG.eur_SNF2_N16	
Malawimonadidae|Gefoke_MALSP_10439.mRNA.1	aOG.eur_SNF2_N16	
Amoebozoa|Tielac_KYR02049	aOG.eur_SNF2_N16	
ArchaeCry|Sphfal_Sphfalx18G062300.2.p	aOG.eur_SNF2_N16	
Discoba|Ngru_EFC48766	aOG.eur_SNF2_N16	
Obazoa|Apla_XP_022080346.1	aOG.eur_SNF2_N16	
SARHap|Retfil_ETO13280	aOG.eur_SNF2_N16	
Metamonada|Tvag_XP_001330686.1	aOG.eur_SNF2_N16	
SARHap|Aplker_60934	aOG.eur_SNF2_N17	
Ancyromonadida|Plamic_ANCSI_07716.mRNA.1	aOG.eur_SNF2_N17	
ArchaeCry|Smoe_EFJ36474	aOG.eur_SNF2_N17	
Discoba|Andgod_ANDGO_05846.mRNA.1	aOG.eur_SNF2_N17	
Amoebozoa|Acas_ELR15068	aOG.eur_SNF2_N17	
Malawimonadidae|Maljak_MALJA_00845.mRNA.1	aOG.eur_SNF2_N17	
Meteora|Meteor_CRO19MET_NODE_8431.p1	aOG.eur_SNF2_N17	
Malawimonadidae|Gefoke_MALSP_10255.mRNA.1	aOG.eur_SNF2_N17	
CRuMs|Rigram_Gene.20189	aOG.eur_SNF2_N17	
Amoebozoa|Plafun_PRP84926	aOG.eur_SNF2_N17	
Obazoa|Nk52_evm23s967	aOG.eur_SNF2_N17	
SARHap|Honfer_GBG28199	aOG.eur_SNF2_N17	
Amoebozoa|Plafun_PRP86023	aOG.eur_SNF2_N18	
CRuMs|Diprot_Gene.20700	aOG.eur_SNF2_N18	
CRuMs|Diprot_Gene.12174	aOG.eur_SNF2_N18	
Metamonada|Carmem_5352.p1	aOG.eur_SNF2_N19	
Obazoa|Emue_0015g552a	aOG.eur_SNF2_N19	
Discoba|Recame_RECAM_03450.mRNA.1	aOG.eur_SNF2_N19	
Malawimonadidae|Gefoke_MALSP_13466.mRNA.1	aOG.eur_SNF2_N19	
SARHap|Alblai_CCA22986	aOG.eur_SNF2_N19	
Obazoa|Ttra_KNC49088	aOG.eur_SNF2_N19	
Meteora|Meteor_CRO19MET_NODE_243.p1	aOG.eur_SNF2_N19	
CRuMs|Diprot_Gene.13072	aOG.eur_SNF2_N19	
ArchaeCry|Gonavo_g11557.t1	aOG.eur_SNF2_N19	
ArchaeCry|Smoe_EFJ21594	aOG.eur_SNF2_N19	
Obazoa|Aque_Aqu2.1.31536_001	aOG.eur_SNF2_N19	
Malawimonadidae|Malcal_MALCA_02242.mRNA.1	aOG.eur_SNF2_N19	
Amoebozoa|Hetalb_XP_020437310.1	aOG.eur_SNF2_N19	
SARHap|Chrtob_KOO28558.1	aOG.eur_SNF2_N19	
Ancyromonadida|Plamic_ANCSI_03313.mRNA.1	aOG.eur_SNF2_N19	
ArchaeCry|Sphfal_Sphfalx06G077200.1.p	aOG.eur_SNF2_N19	
Amoebozoa|Plafun_PRP73136	aOG.eur_SNF2_N19	
Amoebozoa|Ddis_EAL73272	aOG.eur_SNF2_N19	
SARHap|Bnat_JGI_V11_89706	aOG.eur_SNF2_N20	
Ancyromonadida|Ancsig_Gene.24501	aOG.eur_SNF2_N20	
Discoba|Tcru_EAN99707	aOG.eur_SNF2_N20	
CRuMs|Diprot_Gene.24928	aOG.eur_SNF2_N21	
SARHap|Alblai_CCA25894	aOG.eur_SNF2_N21	
ArchaeCry|Cocsub_XP_005644539.1	aOG.eur_SNF2_N21	
ArchaeCry|Azfi_s0290.g063317	aOG.eur_SNF2_N21	
ArchaeCry|Klenit_GAQ86849.1	aOG.eur_SNF2_N21	
SARHap|Pinf_PITG_18962T0	aOG.eur_SNF2_N21	
Obazoa|Mbre_EDQ92891	aOG.eur_SNF2_N21	
Amoebozoa|Plafun_PRP86501	aOG.eur_SNF2_N21	
Obazoa|Sros_EGD73108	aOG.eur_SNF2_N21	
CRuMs|Rigram_Gene.17193	aOG.eur_SNF2_N21	
SARHap|Coka_g10930.t1	aOG.eur_SNF2_N22	
Obazoa|Notgen_g28948.t1	aOG.eur_SNF2_N22	
Discoba|Amobb2_AMBB2_03313.mRNA.1	aOG.eur_SNF2_N22	
Amoebozoa|Tielac_KYQ91721	aOG.eur_SNF2_N22	
Obazoa|Apla_XP_022086433.1	aOG.eur_SNF2_N22	
Meteora|Meteor_CRO19MET_NODE_2493.p1	aOG.eur_SNF2_N22	
Discoba|Phakir_PHAKIR_15672.mRNA.1	aOG.eur_SNF2_N22	
Obazoa|Nvec_NVE697	aOG.eur_SNF2_N22	
CRuMs|Diprot_Gene.23642	aOG.eur_SNF2_N22	
Ancyromonadida|Plamic_ANCSI_10675.mRNA.1	aOG.eur_SNF2_N22	
ArchaeCry|Smoe_EFJ22210	aOG.eur_SNF2_N22	
Discoba|Secula_SECUL_08910.mRNA.1	aOG.eur_SNF2_N22	
ArchaeCry|Gonavo_comp58110_c0_seq1_6_ORF19_746	aOG.eur_SNF2_N22	
