Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Cavfas_EGG14714	4032	3849.894	9.501797	19.233	SRR3952095	Cavfas_EGG14714
Cavfas_EGG14714	4032	3822.419	0.000000	0.000	SRR3952096	Cavfas_EGG14714
Cavfas_EGG14714	4032	3862.767	0.000000	0.000	SRR3952098	Cavfas_EGG14714
Cavfas_EGG14714	4032	3855.028	0.000000	0.000	SRR3952099	Cavfas_EGG14714
Cavfas_EGG14714	4032	3882.006	0.000000	0.000	SRR3952102	Cavfas_EGG14714
Cavfas_EGG16520	3906	3723.894	1.667436	3.265	SRR3952095	Cavfas_EGG14714
Cavfas_EGG16520	3906	3696.419	5.645596	6.563	SRR3952096	Cavfas_EGG14714
Cavfas_EGG16520	3906	3736.767	0.000000	0.000	SRR3952098	Cavfas_EGG14714
Cavfas_EGG16520	3906	3729.028	0.000000	0.000	SRR3952099	Cavfas_EGG14714
Cavfas_EGG16520	3906	3756.006	0.000000	0.000	SRR3952102	Cavfas_EGG14714
Cavfas_EGG17271	672	489.894	0.000000	0.000	SRR3952095	Cavfas_EGG14714
Cavfas_EGG17271	672	526.391	60.401516	10.000	SRR3952096	Cavfas_EGG14714
Cavfas_EGG17271	672	502.767	50.192019	9.000	SRR3952098	Cavfas_EGG14714
Cavfas_EGG17271	672	495.028	220.802833	71.000	SRR3952099	Cavfas_EGG14714
Cavfas_EGG17271	672	522.006	83.883105	24.000	SRR3952102	Cavfas_EGG14714
Cavfas_EGG14977	4296	4113.894	0.000000	0.000	SRR3952095	Cavfas_EGG14977
Cavfas_EGG14977	4296	4086.419	2.467737	3.172	SRR3952096	Cavfas_EGG14977
Cavfas_EGG14977	4296	4126.767	0.000000	0.000	SRR3952098	Cavfas_EGG14977
Cavfas_EGG14977	4296	4119.028	7.738109	20.704	SRR3952099	Cavfas_EGG14977
Cavfas_EGG14977	4296	4146.006	8.063634	18.324	SRR3952102	Cavfas_EGG14977
Cavfas_EGG16605	1560	1377.894	0.000000	0.000	SRR3952095	Cavfas_EGG14977
Cavfas_EGG16605	1560	1350.419	0.000000	0.000	SRR3952096	Cavfas_EGG14977
Cavfas_EGG16605	1560	1390.767	0.000000	0.000	SRR3952098	Cavfas_EGG14977
Cavfas_EGG16605	1560	1383.028	0.000000	0.000	SRR3952099	Cavfas_EGG14977
Cavfas_EGG16605	1560	1410.006	4.851177	3.749	SRR3952102	Cavfas_EGG14977
Cavfas_EGG16520	3906	3723.894	1.667436	3.265	SRR3952095	Cavfas_EGG16520
Cavfas_EGG16520	3906	3696.419	5.645596	6.563	SRR3952096	Cavfas_EGG16520
Cavfas_EGG16520	3906	3736.767	0.000000	0.000	SRR3952098	Cavfas_EGG16520
Cavfas_EGG16520	3906	3729.028	0.000000	0.000	SRR3952099	Cavfas_EGG16520
Cavfas_EGG16520	3906	3756.006	0.000000	0.000	SRR3952102	Cavfas_EGG16520
Cavfas_EGG14714	4032	3849.894	9.501797	19.233	SRR3952095	Cavfas_EGG16520
Cavfas_EGG14714	4032	3822.419	0.000000	0.000	SRR3952096	Cavfas_EGG16520
Cavfas_EGG14714	4032	3862.767	0.000000	0.000	SRR3952098	Cavfas_EGG16520
Cavfas_EGG14714	4032	3855.028	0.000000	0.000	SRR3952099	Cavfas_EGG16520
Cavfas_EGG14714	4032	3882.006	0.000000	0.000	SRR3952102	Cavfas_EGG16520
Cavfas_EGG22119	4074	3891.894	7.798247	15.957	SRR3952095	Cavfas_EGG22119
Cavfas_EGG22119	4074	3864.419	8.788808	10.682	SRR3952096	Cavfas_EGG22119
Cavfas_EGG22119	4074	3904.767	4.736510	6.596	SRR3952098	Cavfas_EGG22119
Cavfas_EGG22119	4074	3897.028	14.418348	36.498	SRR3952099	Cavfas_EGG22119
Cavfas_EGG22119	4074	3924.006	14.844458	31.927	SRR3952102	Cavfas_EGG22119
Cavfas_EGG24134	3960	3777.894	112.862807	224.174	SRR3952095	Cavfas_EGG24134
Cavfas_EGG24134	3960	3750.419	23.589612	27.826	SRR3952096	Cavfas_EGG24134
Cavfas_EGG24134	3960	3790.767	19.937056	26.954	SRR3952098	Cavfas_EGG24134
Cavfas_EGG24134	3960	3783.028	11.633329	28.587	SRR3952099	Cavfas_EGG24134
Cavfas_EGG24134	3960	3810.006	109.115247	227.862	SRR3952102	Cavfas_EGG24134
