Porumb_gnl_WGS_MXAK_Pum0014s0001.1.V1.5	Porumb_1_1
Porumb_gnl_WGS_MXAK_Pum0014s0002.1.V1.5	Porumb_1_2
Porumb_gnl_WGS_MXAK_Pum0014s0003.1.V1.5	Porumb_1_3
Porumb_gnl_WGS_MXAK_Pum0014s0004.1.V1.5	Porumb_1_4
Porumb_gnl_WGS_MXAK_Pum0014s0005.1.V1.5	Porumb_1_5
Porumb_gnl_WGS_MXAK_Pum0014s0006.1.V1.5	Porumb_1_6
Porumb_gnl_WGS_MXAK_Pum0014s0007.1.V1.5	Porumb_1_7
Porumb_gnl_WGS_MXAK_Pum0014s0008.1.V1.5	Porumb_1_8
Porumb_gnl_WGS_MXAK_Pum0014s0009.1.V1.5	Porumb_1_9
Porumb_gnl_WGS_MXAK_Pum0014s0010.1.V1.5	Porumb_1_10
Porumb_gnl_WGS_MXAK_Pum0014s0011.1.V1.5	Porumb_1_11
Porumb_gnl_WGS_MXAK_Pum0014s0012.1.V1.5	Porumb_1_12
Porumb_gnl_WGS_MXAK_Pum0014s0013.1.V1.5	Porumb_1_13
Porumb_gnl_WGS_MXAK_Pum0014s0014.1.V1.5	Porumb_1_14
Porumb_gnl_WGS_MXAK_Pum0014s0015.1.V1.5	Porumb_1_15
Porumb_gnl_WGS_MXAK_Pum0014s0016.1.V1.5	Porumb_1_16
Porumb_gnl_WGS_MXAK_Pum0014s0017.1.V1.5	Porumb_1_17
Porumb_gnl_WGS_MXAK_Pum0014s0018.1.V1.5	Porumb_1_18
Porumb_gnl_WGS_MXAK_Pum0014s0019.1.V1.5	Porumb_1_19
Porumb_gnl_WGS_MXAK_Pum0014s0020.1.V1.5	Porumb_1_20
Porumb_gnl_WGS_MXAK_Pum0014s0021.1.V1.5	Porumb_1_21
Porumb_gnl_WGS_MXAK_Pum0014s0022.1.V1.5	Porumb_1_22
Porumb_gnl_WGS_MXAK_Pum0014s0023.1.V1.5	Porumb_1_23
Porumb_gnl_WGS_MXAK_Pum0014s0024.1.V1.5	Porumb_1_24
Porumb_gnl_WGS_MXAK_Pum0014s0025.1.V1.5	Porumb_1_25
Porumb_gnl_WGS_MXAK_Pum0014s0026.1.V1.5	Porumb_1_26
Porumb_gnl_WGS_MXAK_Pum0014s0027.1.V1.5	Porumb_1_27
Porumb_gnl_WGS_MXAK_Pum0014s0028.1.V1.5	Porumb_1_28
Porumb_gnl_WGS_MXAK_Pum0014s0029.1.V1.5	Porumb_1_29
Porumb_gnl_WGS_MXAK_Pum0014s0030.1.V1.5	Porumb_1_30
Porumb_gnl_WGS_MXAK_Pum0014s0031.1.V1.5	Porumb_1_31
Porumb_gnl_WGS_MXAK_Pum0014s0032.1.V1.5	Porumb_1_32
Porumb_gnl_WGS_MXAK_Pum0014s0033.1.V1.5	Porumb_1_33
Porumb_gnl_WGS_MXAK_Pum0014s0034.1.V1.5	Porumb_1_34
Porumb_gnl_WGS_MXAK_Pum0014s0035.1.V1.5	Porumb_1_35
Porumb_gnl_WGS_MXAK_Pum0014s0036.1.V1.5	Porumb_1_36
Porumb_gnl_WGS_MXAK_Pum0014s0037.1.V1.5	Porumb_1_37
Porumb_gnl_WGS_MXAK_Pum0014s0038.1.V1.5	Porumb_1_38
Porumb_gnl_WGS_MXAK_Pum0014s0039.1.V1.5	Porumb_1_39
Porumb_gnl_WGS_MXAK_Pum0014s0040.1.V1.5	Porumb_1_40
Porumb_gnl_WGS_MXAK_Pum0014s0041.1.V1.5	Porumb_1_41
Porumb_gnl_WGS_MXAK_Pum0014s0042.1.V1.5	Porumb_1_42
Porumb_gnl_WGS_MXAK_Pum0014s0043.1.V1.5	Porumb_1_43
Porumb_gnl_WGS_MXAK_Pum0014s0044.1.V1.5	Porumb_1_44
Porumb_gnl_WGS_MXAK_Pum0014s0045.1.V1.5	Porumb_1_45
Porumb_gnl_WGS_MXAK_Pum0014s0046.1.V1.5	Porumb_1_46
Porumb_gnl_WGS_MXAK_Pum0014s0047.1.V1.5	Porumb_1_47
Porumb_gnl_WGS_MXAK_Pum0014s0048.1.V1.5	Porumb_1_48
Porumb_gnl_WGS_MXAK_Pum0014s0049.1.V1.5	Porumb_1_49
Porumb_gnl_WGS_MXAK_Pum0014s0050.1.V1.5	Porumb_1_50
Porumb_gnl_WGS_MXAK_Pum0014s0051.1.V1.5	Porumb_1_51
Porumb_gnl_WGS_MXAK_Pum0014s0052.1.V1.5	Porumb_1_52
Porumb_gnl_WGS_MXAK_Pum0014s0053.1.V1.5	Porumb_1_53
Porumb_gnl_WGS_MXAK_Pum0014s0054.1.V1.5	Porumb_1_54
Porumb_gnl_WGS_MXAK_Pum0014s0055.1.V1.5	Porumb_1_55
Porumb_gnl_WGS_MXAK_Pum0014s0056.1.V1.5	Porumb_1_56
Porumb_gnl_WGS_MXAK_Pum0014s0057.1.V1.5	Porumb_1_57
Porumb_gnl_WGS_MXAK_Pum0014s0058.1.V1.5	Porumb_1_58
Porumb_gnl_WGS_MXAK_Pum0014s0059.1.V1.5	Porumb_1_59
Porumb_gnl_WGS_MXAK_Pum0014s0060.1.V1.5	Porumb_1_60
Porumb_gnl_WGS_MXAK_Pum0014s0061.1.V1.5	Porumb_1_61
Porumb_gnl_WGS_MXAK_Pum0014s0062.1.V1.5	Porumb_1_62
Porumb_gnl_WGS_MXAK_Pum0014s0063.1.V1.5	Porumb_1_63
Porumb_gnl_WGS_MXAK_Pum0014s0064.1.V1.5	Porumb_1_64
Porumb_gnl_WGS_MXAK_Pum0014s0065.1.V1.5	Porumb_1_65
Porumb_gnl_WGS_MXAK_Pum0014s0066.1.V1.5	Porumb_1_66
Porumb_gnl_WGS_MXAK_Pum0014s0067.1.V1.5	Porumb_1_67
Porumb_gnl_WGS_MXAK_Pum0014s0068.1.V1.5	Porumb_1_68
Porumb_gnl_WGS_MXAK_Pum0014s0069.1.V1.5	Porumb_1_69
Porumb_gnl_WGS_MXAK_Pum0014s0070.1.V1.5	Porumb_1_70
Porumb_gnl_WGS_MXAK_Pum0014s0071.1.V1.5	Porumb_1_71
Porumb_gnl_WGS_MXAK_Pum0014s0072.1.V1.5	Porumb_1_72
Porumb_gnl_WGS_MXAK_Pum0014s0073.1.V1.5	Porumb_1_73
Porumb_gnl_WGS_MXAK_Pum0014s0074.1.V1.5	Porumb_1_74
Porumb_gnl_WGS_MXAK_Pum0014s0075.1.V1.5	Porumb_1_75
Porumb_gnl_WGS_MXAK_Pum0014s0076.1.V1.5	Porumb_1_76
Porumb_gnl_WGS_MXAK_Pum0014s0077.1.V1.5	Porumb_1_77
Porumb_gnl_WGS_MXAK_Pum0014s0078.1.V1.5	Porumb_1_78
Porumb_gnl_WGS_MXAK_Pum0014s0079.1.V1.5	Porumb_1_79
Porumb_gnl_WGS_MXAK_Pum0014s0080.1.V1.5	Porumb_1_80
Porumb_gnl_WGS_MXAK_Pum0014s0081.1.V1.5	Porumb_1_81
Porumb_gnl_WGS_MXAK_Pum0014s0082.1.V1.5	Porumb_1_82
Porumb_gnl_WGS_MXAK_Pum0014s0083.1.V1.5	Porumb_1_83
Porumb_gnl_WGS_MXAK_Pum0014s0084.1.V1.5	Porumb_1_84
Porumb_gnl_WGS_MXAK_Pum0014s0085.1.V1.5	Porumb_1_85
Porumb_gnl_WGS_MXAK_Pum0014s0086.1.V1.5	Porumb_1_86
Porumb_gnl_WGS_MXAK_Pum0014s0087.1.V1.5	Porumb_1_87
Porumb_gnl_WGS_MXAK_Pum0014s0088.1.V1.5	Porumb_1_88
Porumb_gnl_WGS_MXAK_Pum0014s0089.1.V1.5	Porumb_1_89
Porumb_gnl_WGS_MXAK_Pum0014s0090.1.V1.5	Porumb_1_90
Porumb_gnl_WGS_MXAK_Pum0014s0091.1.V1.5	Porumb_1_91
Porumb_gnl_WGS_MXAK_Pum0014s0092.1.V1.5	Porumb_1_92
Porumb_gnl_WGS_MXAK_Pum0014s0093.1.V1.5	Porumb_1_93
Porumb_gnl_WGS_MXAK_Pum0014s0094.1.V1.5	Porumb_1_94
Porumb_gnl_WGS_MXAK_Pum0014s0095.1.V1.5	Porumb_1_95
Porumb_gnl_WGS_MXAK_Pum0014s0096.1.V1.5	Porumb_1_96
Porumb_gnl_WGS_MXAK_Pum0014s0097.1.V1.5	Porumb_1_97
Porumb_gnl_WGS_MXAK_Pum0014s0098.1.V1.5	Porumb_1_98
Porumb_gnl_WGS_MXAK_Pum0014s0099.1.V1.5	Porumb_1_99
Porumb_gnl_WGS_MXAK_Pum0014s0100.1.V1.5	Porumb_1_100
Porumb_gnl_WGS_MXAK_Pum0014s0101.1.V1.5	Porumb_1_101
Porumb_gnl_WGS_MXAK_Pum0014s0102.1.V1.5	Porumb_1_102
