taxon	gene_i	domain_id_i	start_i	end_i	domains_i	length_i	HMM_length_i	is_complete_i	component_i	classification_i	posx_i	posy_i	Index_i	domain_id_j	gene_j	start_j	end_j	domains_j	length_j	HMM_length_j	is_complete_j	component_j	classification_j	posx_j	posy_j	Index_j	taxnid	species	genus	family	order	class	phylum	kingdom	superkingdom
NA	Adig_XP_015747477.1	Adig_XP_015747477.1_1-127	1	127	Histone	127	131	TRUE	30	H3	0.0671820789575577	-0.0202283710241318	1	Adig_XP_015747477.1_113-229	Adig_XP_015747477.1	113	229	Histone	117	131	TRUE	30	H3	0.0871963500976562	-0.0106252962723374	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Adig_XP_015747488.1	Adig_XP_015747488.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.247628436562274	0.579393164583174	1	Adig_XP_015747488.1_98-206	Adig_XP_015747488.1	98	206	Histone,CBFD_NFYB_HMF	109	65	TRUE	33	H2B	-0.104213826358318	-0.111807435750961	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Adig_XP_015747529.1	Adig_XP_015747529.1_1-127	1	127	Histone	127	131	TRUE	30	H3	0.087861604988575	-0.013909200206399	1	Adig_XP_015747529.1_113-229	Adig_XP_015747529.1	113	229	Histone	117	131	TRUE	30	H3	0.0483248457312584	0.00101260573137552	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Adig_XP_015747530.1	Adig_XP_015747530.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.114011868298756	0.69186921748694	1	Adig_XP_015747530.1_101-211	Adig_XP_015747530.1	101	211	Histone	111	131	TRUE	33	H2B	-0.145239844918251	-0.100767098367214	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Adig_XP_015770236.1	Adig_XP_015770236.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.25241940145917	0.567874595895926	1	Adig_XP_015770236.1_98-207	Adig_XP_015770236.1	98	207	Histone,CBFD_NFYB_HMF	110	65	TRUE	33	H2B	-0.0541752278804779	-0.103190623223782	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Apla_XP_022080340.1	Apla_XP_022080340.1_30-107	30	107	CENP-T_C	78	108	TRUE	31	H4	0.219794669541587	0.502659569375968	1	Apla_XP_022080340.1_138-282	Apla_XP_022080340.1	138	282	Histone	145	131	TRUE	30	H3	0.071999803185463	-0.0238994583487511	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Apla_XP_022088067.1	Apla_XP_022088067.1_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	0.200588745496505	0.52751809742518	1	Apla_XP_022088067.1_141-285	Apla_XP_022088067.1	141	285	Histone	145	131	TRUE	30	H3	0.0318703949451447	-0.0863328874111176	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Azfi_s0007.g010920	Azfi_s0007.g010920_30-106	30	106	CENP-T_C	77	108	TRUE	31	H4	0.628484583177372	0.226978782776636	1	Azfi_s0007.g010920_165-234	Azfi_s0007.g010920	165	234	CENP-T_C	70	108	TRUE	31	H4	0.6855867434525	0.172987467251718	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ctel_CapteP198869	Ctel_CapteP198869_1-98	1	98	Histone	98	131	TRUE	34	H2A	0.145525678992271	-0.289242625236511	1	Ctel_CapteP198869_159-232	Ctel_CapteP198869	159	232	CENP-T_C	74	108	TRUE	31	H4	0.239645261313248	0.484947744635904	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Ctel_CapteP198870	Ctel_CapteP198870_1-139	1	139	Histone	139	131	TRUE	30	H3	0.0163838043808937	-0.0607133693993092	1	Ctel_CapteP198870_128-233	Ctel_CapteP198870	128	233	Histone,CBFD_NFYB_HMF	106	65	TRUE	33	H2B	-0.00451234914362431	-0.293437898159027	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
