Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Plafun_PRP73443	7629	7379.000	0.014074	10.160	SRR5341472	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.014339	9.573	SRR5341473	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.013879	8.923	SRR5341474	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.000000	0.000	SRR5341475	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.005051	3.947	SRR5341476	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.037806	31.883	SRR5341477	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.006351	4.816	SRR5341478	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.005076	4.151	SRR5341479	Plafun_PRP73443
Plafun_PRP73443	7629	7379.000	0.017603	11.652	SRR5341480	Plafun_PRP73443
Plafun_PRP73675	3825	3575.000	0.007132	2.495	SRR5341472	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341473	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341474	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341475	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341476	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.023490	9.598	SRR5341477	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341478	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341479	Plafun_PRP73675
Plafun_PRP73675	3825	3575.000	0.000000	0.000	SRR5341480	Plafun_PRP73675
Plafun_PRP73716	1047	797.000	0.000000	0.000	SRR5341472	Plafun_PRP73716
Plafun_PRP73716	1047	797.000	0.000000	0.000	SRR5341473	Plafun_PRP73716
Plafun_PRP73716	1047	797.000	0.000000	0.000	SRR5341474	Plafun_PRP73716
Plafun_PRP73716	1047	797.000	0.000000	0.000	SRR5341475	Plafun_PRP73716
Plafun_PRP73716	1047	797.000	0.000000	0.000	SRR5341476	Plafun_PRP73716
Plafun_PRP73716	1047	797.000	0.037188	3.387	SRR5341477	Plafun_PRP73716
Plafun_PRP73716	1047	797.000	0.000000	0.000	SRR5341478	Plafun_PRP73716
