Phoaus_g1.t1	Phoaus_1_1
Phoaus_g2.t1	Phoaus_1_2
Phoaus_g3.t1	Phoaus_1_3
Phoaus_g4.t1	Phoaus_1_4
Phoaus_g5.t1	Phoaus_1_5
Phoaus_g6.t1	Phoaus_1_6
Phoaus_g7.t1	Phoaus_1_7
Phoaus_g8.t1	Phoaus_1_8
Phoaus_g9.t1	Phoaus_1_9
Phoaus_g10.t1	Phoaus_1_10
Phoaus_g11.t1	Phoaus_1_11
Phoaus_g12.t1	Phoaus_1_12
Phoaus_g13.t1	Phoaus_1_13
Phoaus_g14.t1	Phoaus_1_14
Phoaus_g15.t1	Phoaus_1_15
Phoaus_g16.t1	Phoaus_1_16
Phoaus_g17.t1	Phoaus_1_17
Phoaus_g18.t1	Phoaus_1_18
Phoaus_g19.t1	Phoaus_1_19
Phoaus_g20.t1	Phoaus_1_20
Phoaus_g21.t1	Phoaus_1_21
Phoaus_g22.t1	Phoaus_1_22
Phoaus_g23.t1	Phoaus_1_23
Phoaus_g24.t1	Phoaus_1_24
Phoaus_g25.t1	Phoaus_1_25
Phoaus_g26.t1	Phoaus_1_26
Phoaus_g27.t1	Phoaus_1_27
Phoaus_g28.t1	Phoaus_1_28
Phoaus_g29.t1	Phoaus_1_29
Phoaus_g30.t1	Phoaus_1_30
Phoaus_g31.t1	Phoaus_1_31
Phoaus_g32.t1	Phoaus_1_32
Phoaus_g33.t1	Phoaus_1_33
Phoaus_g34.t1	Phoaus_1_34
Phoaus_g35.t1	Phoaus_1_35
Phoaus_g36.t1	Phoaus_1_36
Phoaus_g37.t1	Phoaus_1_37
Phoaus_g38.t1	Phoaus_1_38
Phoaus_g39.t1	Phoaus_1_39
Phoaus_g40.t1	Phoaus_1_40
Phoaus_g41.t1	Phoaus_1_41
Phoaus_g42.t1	Phoaus_1_42
Phoaus_g43.t1	Phoaus_1_43
Phoaus_g44.t1	Phoaus_1_44
Phoaus_g45.t1	Phoaus_1_45
Phoaus_g46.t1	Phoaus_1_46
Phoaus_g47.t1	Phoaus_1_47
Phoaus_g48.t1	Phoaus_1_48
Phoaus_g49.t1	Phoaus_1_49
Phoaus_g50.t1	Phoaus_1_50
Phoaus_g51.t1	Phoaus_1_51
Phoaus_g52.t1	Phoaus_1_52
Phoaus_g53.t1	Phoaus_1_53
Phoaus_g54.t1	Phoaus_1_54
Phoaus_g55.t1	Phoaus_1_55
Phoaus_g56.t1	Phoaus_1_56
Phoaus_g57.t1	Phoaus_1_57
Phoaus_g58.t1	Phoaus_1_58
Phoaus_g59.t1	Phoaus_1_59
Phoaus_g60.t1	Phoaus_1_60
Phoaus_g61.t1	Phoaus_1_61
Phoaus_g62.t1	Phoaus_1_62
Phoaus_g63.t1	Phoaus_1_63
Phoaus_g64.t1	Phoaus_1_64
Phoaus_g65.t1	Phoaus_1_65
Phoaus_g66.t1	Phoaus_1_66
Phoaus_g67.t1	Phoaus_1_67
Phoaus_g68.t1	Phoaus_1_68
Phoaus_g69.t1	Phoaus_1_69
Phoaus_g70.t1	Phoaus_1_70
Phoaus_g71.t1	Phoaus_1_71
Phoaus_g72.t1	Phoaus_1_72
Phoaus_g73.t1	Phoaus_1_73
Phoaus_g74.t1	Phoaus_1_74
Phoaus_g75.t1	Phoaus_1_75
Phoaus_g76.t1	Phoaus_1_76
Phoaus_g77.t1	Phoaus_1_77
Phoaus_g78.t1	Phoaus_1_78
Phoaus_g79.t1	Phoaus_1_79
Phoaus_g80.t1	Phoaus_1_80
Phoaus_g81.t1	Phoaus_1_81
Phoaus_g82.t1	Phoaus_1_82
Phoaus_g83.t1	Phoaus_1_83
Phoaus_g84.t1	Phoaus_1_84
Phoaus_g85.t1	Phoaus_1_85
Phoaus_g86.t1	Phoaus_1_86
Phoaus_g87.t1	Phoaus_1_87
Phoaus_g88.t1	Phoaus_1_88
Phoaus_g89.t1	Phoaus_1_89
Phoaus_g90.t1	Phoaus_1_90
Phoaus_g91.t1	Phoaus_1_91
Phoaus_g92.t1	Phoaus_1_92
Phoaus_g93.t1	Phoaus_1_93
Phoaus_g94.t1	Phoaus_1_94
Phoaus_g95.t1	Phoaus_1_95
Phoaus_g96.t1	Phoaus_1_96
Phoaus_g97.t1	Phoaus_1_97
Phoaus_g98.t1	Phoaus_1_98
Phoaus_g99.t1	Phoaus_1_99
Phoaus_g100.t1	Phoaus_1_100
Phoaus_g101.t1	Phoaus_1_101
Phoaus_g102.t1	Phoaus_1_102
Phoaus_g103.t1	Phoaus_1_103
Phoaus_g104.t1	Phoaus_1_104
