Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Cowc_CAOG_05750,800,1.75,1,1
Cowc_CAOG_01391,737,1.08548168249661,1,1
Cowc_CAOG_03866,258,10.4651162790698,11,4
Cowc_CAOG_06810,63,26.984126984127,3,2
Cowc_CAOG_06830,708,2.25988700564972,4,2
CON_007031101,245,5.71428571428571,3,1
Cowc_CAOG_01191,144,9.72222222222222,2,1
Cowc_CAOG_02302,662,4.22960725075529,8,2
Cowc_CAOG_01918,157,68.1528662420382,24,9
Cowc_CAOG_06369,536,1.49253731343284,1,1
Cowc_CAOG_05143,476,2.52100840336134,2,1
Cowc_CAOG_03482,153,18.3006535947712,1,1
Cowc_CAOG_06161,993,2.81973816717019,4,2
Cowc_CAOG_04996,150,8.66666666666667,1,1
Cowc_CAOG_06544,4741,0.147648175490403,1,1
Cowc_CAOG_06277,1226,0.978792822185971,1,1
Cowc_CAOG_02157,732,1.22950819672131,4,1
Cowc_CAOG_10014,423,6.6193853427896,3,2
Cowc_CAOG_04334,90,71.1111111111111,141,19
Cowc_CAOG_03654,892,1.23318385650224,1,1
Cowc_CAOG_08599,927,1.94174757281553,2,1
Cowc_CAOG_07057,307,21.1726384364821,11,4
Cowc_CAOG_07273,538,6.50557620817844,11,3
Cowc_CAOG_04898,1294,5.3323029366306,13,5
Cowc_CAOG_07105,3413,0.322297099326106,2,1
CON_IPI007480572,99,10.1010101010101,1,1
Cowc_CAOG_06202,216,16.6666666666667,18,4
Cowc_CAOG_00736,365,2.19178082191781,1,1
Cowc_CAOG_01479,378,7.14285714285714,6,2
Cowc_CAOG_01213,292,48.6301369863014,44,15
CON_007154051,145,17.2413793103448,7,2
Cowc_CAOG_06382,572,6.99300699300699,2,2
Cowc_CAOG_01186,141,33.3333333333333,9,4
Cowc_CAOG_02790,394,1.77664974619289,1,1
Cowc_CAOG_05539,338,8.28402366863905,7,2
Cowc_CAOG_05865,259,10.8108108108108,9,3
Cowc_CAOG_05171,315,17.1428571428571,4,4
Cowc_CAOG_06126,226,9.29203539823009,6,3
Cowc_CAOG_03484,551,1.99637023593466,2,1
Cowc_CAOG_06127,283,3.53356890459364,2,1
Cowc_CAOG_06750,1317,1.06302201974184,1,1
CON_006991432,540,2.03703703703704,2,1
Cowc_CAOG_06633,2139,0.561009817671809,2,1
Cowc_CAOG_02694,149,41.6107382550336,21,4
Cowc_CAOG_06257,433,2.77136258660508,2,1
Cowc_CAOG_01734,60,93.3333333333333,77,12
Cowc_CAOG_07610,362,2.48618784530387,1,1
Cowc_CAOG_00959,360,5.27777777777778,1,1
Cowc_CAOG_02766,118,6.77966101694915,1,1
Cowc_CAOG_03939,1937,1.54878678368611,6,3
CON_IPI008745851,469,7.24946695095949,4,3
Cowc_CAOG_05377,846,1.6548463356974,1,1
CON_007082441,1364,2.12609970674487,8,2
Cowc_CAOG_08023,196,15.3061224489796,11,3
Cowc_CAOG_08070,4954,0.121114251110214,1,1
Cowc_CAOG_03712,982,0.916496945010183,3,1
Cowc_CAOG_04753,398,2.76381909547739,5,1
Cowc_CAOG_01925,317,4.73186119873817,1,1
Cowc_CAOG_00996,873,3.09278350515464,9,3
Cowc_CAOG_02716,176,19.8863636363636,10,4
CON_007071011,359,11.6991643454039,4,3
Cowc_CAOG_06109,347,2.88184438040346,1,1
Cowc_CAOG_08372,82,17.0731707317073,1,1
Cowc_CAOG_06194,377,2.6525198938992,3,1
Cowc_CAOG_00943,142,32.3943661971831,7,3
Cowc_CAOG_06635,510,2.74509803921569,2,1
Cowc_CAOG_04573,176,3.40909090909091,1,1
CON_IPI007362001,345,3.18840579710145,2,1
