in_gene	out_gene	branch_support	ev_type	sos
Sros_EGD76844	Nutlon_comp15207_c0_seq2.p1	63.0	S	0.0
Sros_EGD76844	Ttra_KNC50237	63.0	S	0.0
Sros_EGD76844	Falb_KCV72421	63.0	S	0.0
Sros_EGD76844	Ancsig_Gene.50711	63.0	S	0.0
Fabtro_Gene.13927	Nutlon_comp15207_c0_seq2.p1	63.0	S	0.0
Fabtro_Gene.13927	Ttra_KNC50237	63.0	S	0.0
Fabtro_Gene.13927	Falb_KCV72421	63.0	S	0.0
Fabtro_Gene.13927	Ancsig_Gene.50711	63.0	S	0.0
Marpol_PTQ37058	Nutlon_comp15207_c0_seq2.p1	63.0	S	0.0
Marpol_PTQ37058	Ttra_KNC50237	63.0	S	0.0
Marpol_PTQ37058	Falb_KCV72421	63.0	S	0.0
Marpol_PTQ37058	Ancsig_Gene.50711	63.0	S	0.0
Marpol_PTQ27880	Ptet_CAK65596	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK87787	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK88150	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK69658	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK57314	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK94210	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK70661	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK72084	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK78817	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK84070	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK63928	74.0	S	0.0
Marpol_PTQ27880	Oxytri_EJY83903	74.0	S	0.0
Marpol_PTQ27880	Cowc_KJE91282	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK61905	74.0	S	0.0
Marpol_PTQ27880	Phakir_PHAKIR_02557.mRNA.1	74.0	S	0.0
Marpol_PTQ27880	Oxytri_EJY79539	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK62799	74.0	S	0.0
Marpol_PTQ27880	Tthe_EAR90105	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK84549	74.0	S	0.0
Marpol_PTQ27880	Ptet_CAK63123	74.0	S	0.0
Sros_EGD76844	Fabtro_Gene.13927	46.0	S	0.0
Sros_EGD76844	Marpol_PTQ37058	46.0	S	0.0
Falb_KCV72421	Nutlon_comp15207_c0_seq2.p1	93.0	S	0.0
Falb_KCV72421	Ttra_KNC50237	93.0	S	0.0
Falb_KCV72421	Ancsig_Gene.50711	93.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Cgig_EKC31816	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Spur_XP_030832471.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Helrob_HelroP190066	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Tcas_XP_008201730.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Ctel_CapteP176480	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Drer_ENSDARP00000052914.6	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Apla_XP_022105810.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Bralan_BL06098_cuf13	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Tcas_XP_008201731.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Ptyfla_pfl_40v0_9_20150316_1g5965.t1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Dpul_EFX90460	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Notgen_g14626.t1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Lpol_XP_013779563.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Lgig_LotgiP143999	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Linana_g1428.t1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Spur_XP_030832467.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Notgen_g13215.t1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Phoaus_g4680.t1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Dmel_FBpp0297151	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Skow_XP_006814029.1	71.0	S	0.0
Sphfal_Sphfalx15G049100.1.p	Hsap_ENSP00000357330.3	71.0	S	0.0
Marpol_PTQ37981	Cgig_EKC31816	71.0	S	0.0
Marpol_PTQ37981	Spur_XP_030832471.1	71.0	S	0.0
Marpol_PTQ37981	Helrob_HelroP190066	71.0	S	0.0
Marpol_PTQ37981	Tcas_XP_008201730.1	71.0	S	0.0
Marpol_PTQ37981	Ctel_CapteP176480	71.0	S	0.0
Marpol_PTQ37981	Drer_ENSDARP00000052914.6	71.0	S	0.0
Marpol_PTQ37981	Apla_XP_022105810.1	71.0	S	0.0
