gene	orthogroup	orthologous_to	family	architecture
Glam_EDO76521	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40
Acoe_PIA64329.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Symmic_Smic41427	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Aplker_52484	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40
Lmaj_CAJ04052	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Tcru_EAN87398	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Sacu_v1.1_s0105.g020149	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40
Bodsal_CUG88130.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd ANAPC4_WD40
Gthe_EKX46534	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Otau_XP_003080234.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Ptet_CAK89375	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40
Ppat_Pp3c15_19270V3.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Mgut_XP_012848155.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Gracho_PXF43092.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Atha_AT4G29730.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Cocsub_XP_005648498.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Chabra_GBG75259	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Atha_AT2G19520.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Gthe_EKX47838	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40
Klenit_GAQ79765.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Tcru_EAN95255	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Aurlim_52700	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40
Honfer_GBG34387	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40
Strcul_EPY21407	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40
Mgut_XP_012845931.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Marpol_PTQ44985	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Bremin_symbB.v1.2.000976.t1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40
Mpus_XP_003058120.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sphfal_Sphfalx01G045500.1.p	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Acoe_PIA64326.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sbic_EES01357	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Bdis_KQK09431	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Tthe_EAR90747	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	DnaJ Thioredoxin CAF1C_H4-bd
Schagg_84238	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40
Atri_ERM93968	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Oxytri_EJY70946	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40
Vcar_XP_002948749.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Azfi_s0003.g007834	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Cvar_XP_005850900.1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Lepsey_KPI88911	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Carmem_2006.p1	CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1		CAF1C	CAF1C_H4-bd
Perkma_EER12433	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Ctel_CapteP162741	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Recame_RECAM_22631.mRNA.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 eIF2A
Azfi_s0068.g036361	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Cvel_24562.t1-p1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40
Gthe_EKX46626	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40
Lcom_lcpid239393	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd
Atha_AT5G58230.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Ttra_KNC47199	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Cfra_CFRG7935T1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40
Maljak_MALJA_01892.mRNA.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Hsap_ENSP00000369424.4	CAF1C.HG1.1:RBBP4/RBBP7	RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Rall_EPZ36662	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd eIF2A WD40
Pfal_CAD49064	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40
Azfi_s0012.g012868	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Mvib_comp144686_c0_seq1_fr4	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd
Cgig_EKC19423	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sacu_v1.1_s0036.g011535	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Pbla_XP_018284134.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Tpse_EED88584	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Klenit_GAQ89441.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Gthe_EKX34778	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sman_Smp_212260.1_pep	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Rigram_Gene.17142	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Aano_EGB05156	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Tthe_EAS06726	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Atri_ERN00464	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40
Sbic_OQU91278	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd CAF1C_H4-bd WD40 WD40 WD40
Umay_KIS66698	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Ihof_evm3s306	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Amac_KNE58378	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sarc_Sarc4_g31135T	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sphfal_Sphfalx10G072000.2.p	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Bnat_JGI_V11_66376	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Skow_XP_006817808.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Scer_YBR195C	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd eIF2A WD40
Cowc_KJE92777	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Bdis_KQJ91252	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Diprot_Gene.11890	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Ramvar_GAV08700.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Eimten_CDJ44578	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd
Atri_ERM99281	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Drer_ENSDARP00000157326.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP7	CAF1C	CAF1C_H4-bd
Smoe_EFJ05928	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Mgut_XP_012837187.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Atha_AT4G35050.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Acoe_PIA39827.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40
Malcal_MALCA_05175.mRNA.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Sphfal_Sphfalx10G072000.1.p	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Ptet_CAK59994	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Atri_ERN00457	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd
Dmel_FBpp0082511	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Ddis_EAL66124	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Mpus_XP_003060701.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Emul_CDI97128.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Ptyfla_pfl_40v0_9_20150316_1g25331.t1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Ccin_EAU92349	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Gefoke_MALSP_14884.mRNA.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Tetwil_Twilhelma_g22947.t1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Plabra_CEO99331	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Acoe_PIA55431.1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
Mcir_OAD02829	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Mcir_OAD09003	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Spom_SPAC25H1.06.1_pep	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd
Smoe_EFJ07085	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40
Nvec_NVE21514	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Hydvul_Sc4wPfr_540.1.g13241.t1	CAF1C.HG1.1:RBBP4/RBBP7	RBBP4/RBBP7	CAF1C	WD40 CAF1C_H4-bd WD40 WD40 WD40 WD40 WD40
Tgon_TGME49_278280-t26_1	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd
Strcul_EPY35090	CAF1C.HG1.1:RBBP4/RBBP7	islike:RBBP4/RBBP7	CAF1C	CAF1C_H4-bd WD40 WD40 WD40
