Aano_EGB05519	PHD SNF2_N Helicase_C
Aano_EGB05679	PHD PhyH
Aano_EGB06023	aGPT-Pplase1 PHD
Aano_EGB06554	PHD
Aano_EGB06812	PHD
Aano_EGB08639	PHD_2 zf-HC5HC2H_2 zf-HC5HC2H PHD
Aano_EGB12510	PHD
Acas_ELR10868	PHD Pkinase
Acas_ELR11370	PHD PHD
Acas_ELR13991	PHD
Acas_ELR15253	JmjN ARID zf_UBZ PHD JmjC zf-C5HC2
Acas_ELR15372	PHD zf-CpG_bind_C
Acas_ELR16011	PHD SAD_SRA zf-C3HC4_3
Acas_ELR19423	Pkinase PHD
Acas_ELR19472	FHA PHD
Acas_ELR20283	PHD PHD
Acas_ELR20806	PHD PHD
Acas_ELR20988	PEX11 SAD_SRA PHD
Acas_ELR21336	PHD TFIIS_M SPOC
Acas_ELR22963	PHD Pkinase
Acas_ELR23115	PHD
Acas_ELR24197	PHD
Acoe_PIA27019.1	PHD Homeodomain
Acoe_PIA27743.1	Alfin PHD
Acoe_PIA29871.1	PWWP FYRN FYRC PHD_2 zf-HC5HC2H_2 SET
Acoe_PIA30432.1	Jas PHD
Acoe_PIA31105.1	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Acoe_PIA32271.1	Alfin PHD
Acoe_PIA33333.1	PHD zf-C3HC4_3 SAD_SRA zf-RING_UBOX
Acoe_PIA33516.1	Jas PHD
Acoe_PIA34192.1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PLU-1 PLU-1
Acoe_PIA34693.1	PWWP PHD PHD_2 zf-HC5HC2H_2
Acoe_PIA34694.1	PWWP PHD PHD_2 zf-HC5HC2H_2 SET
Acoe_PIA34785.1	zf-RING_2 PHD
Acoe_PIA36806.1	BAH PHD
Acoe_PIA36961.1	zf-TAZ PHD HAT_KAT11 ZZ zf-TAZ
Acoe_PIA36965.1	zf-TAZ PHD HAT_KAT11 ZZ zf-TAZ
Acoe_PIA38232.1	PHD BAH
Acoe_PIA40477.1	PHD WHIM1
Acoe_PIA40999.1	zf-RING_2 PHD
Acoe_PIA41370.1	PHD zf-HC5HC2H_2
Acoe_PIA41906.1	PHD PHD
Acoe_PIA43048.1	Alfin PHD
Acoe_PIA43572.1	Jas Jas PHD
Acoe_PIA43769.1	PHD ELM2
Acoe_PIA43770.1	PHD Homeodomain
Acoe_PIA43771.1	PHD Homeodomain
Acoe_PIA44903.1	Jas PHD
Acoe_PIA44904.1	Jas PHD
Acoe_PIA45252.1	Jas PHD Acetyltransf_1
Acoe_PIA45633.1	Jas zf-HC5HC2H_2 SET
Acoe_PIA46310.1	PHD
Acoe_PIA47030.1	PHD
Acoe_PIA47765.1	PHD SET
Acoe_PIA48260.1	DDT WHIM1 PHD
Acoe_PIA48555.1	PHD BAH AAA AAA_lid_10
Acoe_PIA48877.1	PHD SET
Acoe_PIA49005.1	PWWP PHD_2 zf-HC5HC2H_2 SET
Acoe_PIA49006.1	PWWP PHD_2 zf-HC5HC2H_2 SET
Acoe_PIA49007.1	PWWP PHD_2 zf-HC5HC2H_2 SET
Acoe_PIA50568.1	BAH PHD
Acoe_PIA54807.1	DDT WHIM1 PHD
Acoe_PIA58743.1	PHD BAH AAA AAA_lid_10
Acoe_PIA58744.1	PHD BAH AAA AAA_lid_10
Acoe_PIA58745.1	PHD BAH AAA AAA_lid_10
Acoe_PIA59434.1	Alfin PHD
Acoe_PIA59474.1	Agenet Jas PHD
Acoe_PIA60914.1	PHD Chromo Chromo SNF2_N Helicase_C
Acoe_PIA60915.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA60916.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA60918.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA60922.1	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Acoe_PIA62058.1	PHD PHD WHIM1 WSD
Acoe_PIA63301.1	zf-RING_2 PHD
Acoe_PIA63302.1	zf-RING_2 PHD
Adig_XP_015749346.1	PHD PHD
Adig_XP_015749485.1	PHD PHD Bromodomain
Adig_XP_015752215.1	PHD
Adig_XP_015752519.1	PHD
Adig_XP_015752761.1	zf-CXXC PHD_4 F-box
Adig_XP_015752936.1	PHD_2 PHD_2 zf-HC5HC2H_2
Adig_XP_015752940.1	ALS2CR8 MULE PHD
Adig_XP_015753117.1	PHD zf-MYND
Adig_XP_015753554.1	PHD
Adig_XP_015754404.1	Requiem_N PHD
Adig_XP_015755472.1	HARE-HTH ASXH PHD_3
Adig_XP_015755971.1	PHD PHD
Adig_XP_015756022.1	PHD
Adig_XP_015756191.1	PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Adig_XP_015757408.1	PHD
Adig_XP_015758737.1	PHD PHF12_MRG_bd PHD FHA
Adig_XP_015759311.1	ALS2CR8 MULE SWIM Peptidase_C48 PHD
Adig_XP_015761819.1	PHD JmjC zf-C5HC2 PLU-1 PHD
Adig_XP_015761842.1	PHD JmjC JHD
Adig_XP_015761911.1	PHD zf-C2HC zf-MYST MOZ_SAS
Adig_XP_015761912.1	PHD zf-C2HC zf-MYST MOZ_SAS
Adig_XP_015761914.1	PHD zf-C2HC zf-MYST MOZ_SAS
Adig_XP_015762965.1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Adig_XP_015763887.1	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD PHD Bromodomain
Adig_XP_015764928.1	ubiquitin TTD PHD SAD_SRA
Adig_XP_015766110.1	WHIM1 WSD PHD PHD
Adig_XP_015766342.1	zf-B_box zf-B_box PHD Bromodomain
Adig_XP_015766373.1	PHD
Adig_XP_015766446.1	PHD PHD
Adig_XP_015768574.1	zf-RING_2 PHD
Adig_XP_015768577.1	PHD
Adig_XP_015770329.1	PHD Exo_endo_phos_2
Adig_XP_015774281.1	PHD
Adig_XP_015778331.1	PHD
Adig_XP_015778566.1	PHD PHD Bromodomain
Adig_XP_015779344.1	PHD_2 zf-HC5HC2H_2
Adig_XP_015780676.1	PHD PHD zf-CXXC zf-CpG_bind_C
Adig_XP_015780693.1	YqaJ PHD
Alblai_CCA13936	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2 zf-HC5HC2H_2 zf-HC5HC2H_2
Alblai_CCA14194	PWWP PHD
Alblai_CCA14764	aGPT-Pplase1 PHD
Alblai_CCA14924	JmjN ARID PHD JmjC zf-C5HC2 PHD
Alblai_CCA15418	PHD
Alblai_CCA16149	ARID PHD JmjC zf-C5HC2 PLU-1 PHD
Alblai_CCA16363	Chromo SNF2_N Helicase_C PHD_2 zf-HC5HC2H_2
Alblai_CCA17392	ResIII Helicase_C PHD_2 zf-HC5HC2H_2
Alblai_CCA17522	DDT WSD
Alblai_CCA19845	PHD
Alblai_CCA20387	ELM2 PHD
Alblai_CCA21504	PHD
Alblai_CCA21703	PLU-1 PLU-1 PHD
Alblai_CCA22651	Bromodomain PHD Chromo SNF2_N Helicase_C
Alblai_CCA22970	PHD Bromodomain
Alblai_CCA24671	FYRN FYRC Bromodomain Bromodomain PHD
Alblai_CCA24968	PHD_2 zf-HC5HC2H_2
Alblai_CCA25142	PHD zf-HC5HC2H_2
Alblai_CCA25457	PHD
Alblai_CCA25730	PHD
Amac_KNE55022	PHD SPRY
Amac_KNE55405	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Amac_KNE55523	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Amac_KNE56686	PHD
Amac_KNE57779	PHD PHD
Amac_KNE58091	PHD
Amac_KNE59284	PHD
Amac_KNE60056	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Amac_KNE60197	PHD JmjC zf-C5HC2 PLU-1
Amac_KNE60903	PHD
Amac_KNE63855	PHD
Amac_KNE63901	PHD
Amac_KNE65374	Bromo_TP PHD
Amac_KNE66486	Bromo_TP PHD
Amac_KNE66827	PHD
Amac_KNE67623	PHD
Amac_KNE70185	PHD
Amac_KNE70488	PHD
Amac_KNE71840	PHD
Amobb2_AMBB2_01561.mRNA.1	PHD PHD
Ancsig_Gene.20957	PHD
Ancsig_Gene.22434	PHD
Ancsig_Gene.36245	PHD
Ancsig_Gene.43230	EPL1 PHD_2 zf-HC5HC2H_2
Ancsig_Gene.43248	PHD
Ancsig_Gene.47971	PHD_2 zf-HC5HC2H_2
Ancsig_Gene.60426	PHD
Ancsig_Gene.62348	PHD
Ancsig_Gene.65806	PHD
Ancsig_Gene.66682	PHD
Ancsig_Gene.69091	PHD
Ancsig_Gene.69586	PHD
Ancsig_Gene.74421	PHD
Ancsig_Gene.78899	PHD
Ancsig_Gene.82749	PHD
Andgod_ANDGO_01073.mRNA.1	PHD_2 zf-HC5HC2H_2
Andgod_ANDGO_05376.mRNA.1	PHD
Andgod_ANDGO_06143.mRNA.1	zf-UBR PHD
Andgod_ANDGO_06352.mRNA.1	PWWP PHD
Andgod_ANDGO_08290.mRNA.1	PHD Nipped-B_C
Apla_XP_022079952.1	PHD_2 zf-HC5HC2H_2
Apla_XP_022080244.1	DDT WHIM1 PHD WSD PHD PHD Bromodomain
Apla_XP_022081403.1	PHD zf-CXXC zf-CpG_bind_C
Apla_XP_022081439.1	PHD JmjC JHD
Apla_XP_022081509.1	Bromo_TP PHD
