Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Sphfal_Sphfalx01G202700.10.v1.1	11025	10781.954	9.066963	1983.000	SRR5830048	Sphfal_Sphfalx01G202700.10.p
Sphfal_Sphfalx01G202700.10.v1.1	11025	10773.710	6.368905	637.000	SRR5830063	Sphfal_Sphfalx01G202700.10.p
Sphfal_Sphfalx01G202700.10.v1.1	11025	10773.383	10.074625	2047.076	SRR5830075	Sphfal_Sphfalx01G202700.10.p
Sphfal_Sphfalx02G004000.1.v1.1	1116	872.954	0.056474	1.000	SRR5830048	Sphfal_Sphfalx02G004000.1.p
Sphfal_Sphfalx02G004000.1.v1.1	1116	864.710	0.000000	0.000	SRR5830063	Sphfal_Sphfalx02G004000.1.p
Sphfal_Sphfalx02G004000.1.v1.1	1116	864.383	0.000000	0.000	SRR5830075	Sphfal_Sphfalx02G004000.1.p
Sphfal_Sphfalx02G034000.1.v1.1	4770	4526.954	18.684331	1715.722	SRR5830048	Sphfal_Sphfalx02G034000.1.p
Sphfal_Sphfalx02G034000.1.v1.1	4770	4518.710	15.414345	646.620	SRR5830063	Sphfal_Sphfalx02G034000.1.p
Sphfal_Sphfalx02G034000.1.v1.1	4770	4518.383	21.848034	1861.866	SRR5830075	Sphfal_Sphfalx02G034000.1.p
Sphfal_Sphfalx06G080600.1.v1.1	9363	9119.954	16.503301	3053.000	SRR5830048	Sphfal_Sphfalx06G080600.1.p
Sphfal_Sphfalx06G080600.1.v1.1	9363	9111.710	14.803285	1252.182	SRR5830063	Sphfal_Sphfalx06G080600.1.p
Sphfal_Sphfalx06G080600.1.v1.1	9363	9111.383	19.838849	3409.210	SRR5830075	Sphfal_Sphfalx06G080600.1.p
Sphfal_Sphfalx08G054500.1.v1.1	8868	8624.954	7.533473	1318.000	SRR5830048	Sphfal_Sphfalx08G054500.1.p
Sphfal_Sphfalx08G054500.1.v1.1	8868	8616.710	6.300568	504.000	SRR5830063	Sphfal_Sphfalx08G054500.1.p
Sphfal_Sphfalx08G054500.1.v1.1	8868	8616.383	8.842279	1436.952	SRR5830075	Sphfal_Sphfalx08G054500.1.p
Sphfal_Sphfalx10G075500.1.v1.1	4683	4439.954	10.600274	954.682	SRR5830048	Sphfal_Sphfalx10G075500.1.p
Sphfal_Sphfalx10G075500.1.v1.1	4683	4431.710	7.994026	328.887	SRR5830063	Sphfal_Sphfalx10G075500.1.p
Sphfal_Sphfalx10G075500.1.v1.1	4683	4431.383	10.985554	918.151	SRR5830075	Sphfal_Sphfalx10G075500.1.p
Sphfal_Sphfalx15G016300.1.v1.1	4845	4601.954	9.823442	917.000	SRR5830048	Sphfal_Sphfalx15G016300.1.p
Sphfal_Sphfalx15G016300.1.v1.1	4845	4593.710	8.465142	361.000	SRR5830063	Sphfal_Sphfalx15G016300.1.p
Sphfal_Sphfalx15G016300.1.v1.1	4845	4593.383	10.757968	932.000	SRR5830075	Sphfal_Sphfalx15G016300.1.p
