in_gene	out_gene	branch_support	ev_type	sos
Cvar_XP_005842824.1	Auraur_scaffold221.g14.t1	1.0	S	0.0
Cvar_XP_005842824.1	Spur_XP_030855109.1	1.0	S	0.0
Cvar_XP_005842824.1	Morvir_scaffold112.g5.t1	1.0	S	0.0
Cvar_XP_005842824.1	Dmel_FBpp0079029	1.0	S	0.0
Cvar_XP_005842824.1	Nvec_NVE19573	1.0	S	0.0
Cvar_XP_005842824.1	Tpse_EED90465	1.0	S	0.0
Cvar_XP_005842824.1	Notgen_g31575.t1	1.0	S	0.0
Cvar_XP_005842824.1	Notgen_g38644.t1	1.0	S	0.0
Cvar_XP_005842824.1	Apla_XP_022108550.1	1.0	S	0.0
Cvar_XP_005842824.1	Ctel_CapteP190854	1.0	S	0.0
Cvar_XP_005842824.1	Lpol_XP_022257840.1	1.0	S	0.0
Cvar_XP_005842824.1	Skow_XP_006817641.1	1.0	S	0.0
Cvar_XP_005842824.1	Helrob_HelroP180167	1.0	S	0.0
Cvar_XP_005842824.1	Cgig_EKC17172	1.0	S	0.0
Cvar_XP_005842824.1	Cint_ENSCINP00000002720.3	1.0	S	0.0
Cvar_XP_005842824.1	Ramvar_GAU90133.1	1.0	S	0.0
Cvar_XP_005842824.1	Cscu_XP_023227392.1	1.0	S	0.0
Cvar_XP_005842824.1	Hsap_ENSP00000500585.1	1.0	S	0.0
Cvar_XP_005842824.1	Ptyfla_pfl_40v0_9_20150316_1g26613.t1	1.0	S	0.0
Cvar_XP_005842824.1	Hduj_OQV15320.1	1.0	S	0.0
Cvar_XP_005842824.1	Sman_Smp_163760.1_pep	1.0	S	0.0
Cvar_XP_005842824.1	Ptyfla_pfl_40v0_9_20150316_1g9087.t1	1.0	S	0.0
Cvar_XP_005842824.1	Linana_g11827.t1	1.0	S	0.0
Cvar_XP_005842824.1	Tcas_XP_969971.1	1.0	S	0.0
Cvar_XP_005842824.1	Dpul_EFX65871	1.0	S	0.0
Cvar_XP_005842824.1	Bralan_BL13901_cuf2	1.0	S	0.0
Cvar_XP_005842824.1	Helrob_HelroP191256	1.0	S	0.0
Cvar_XP_005842824.1	Helrob_HelroP193799	1.0	S	0.0
Cvar_XP_005842824.1	Lgig_LotgiP121605	1.0	S	0.0
Cvar_XP_005842824.1	Morvir_scaffold112.g4.t1	1.0	S	0.0
Cvar_XP_005842824.1	Adig_XP_015758890.1	1.0	S	0.0
Cvar_XP_005842824.1	Ctel_CapteP23022	1.0	S	0.0
