gene	orthogroup	orthologous_to	family	architecture
Cneo_AAW46446	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	FAT FRB_dom PI3_PI4_kinase FATC
Hsap_ENSP00000313420.3	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Spis_XP_022778667_1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Ptyfla_pfl_40v0_9_20150316_1g22278.t1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Lcom_lcpid2172	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Ngru_EFC47806	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Manpla_Gene.57918	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	FAT
Cscu_XP_023223488.1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Retfil_ETO08866	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT
Cgig_EKC33407	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase
Emue_0020g393a	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 NUC194 FAT PI3_PI4_kinase FATC
Spur_XP_030839877.1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Phoaus_g396.t1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Cavfas_EGG13650	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Skow_XP_006812077.1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Cfra_CFRG8139T1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
Linana_g16331.t1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT
Bralan_BL18949_evm1	TRRAP.HG1.0:PRKDC	PRKDC	TRRAP	NUC194 FAT PI3_PI4_kinase FATC
