Symmic_Smic33578	RVT_2 2OG-FeII_Oxy Cupin_8
Symmic_Smic25788	zf-CCHC RVT_2 zf-CCHH DUF2263
Symmic_Smic20731	Pro_isomerase SET zf-CCHC RVT_2
Symmic_Smic2990	SET RVT_1 DnaJ
Symmic_Smic30364	RVT_2 SAM_1 FHA FHA zf-C3HC4_3
Symmic_Smic25401	RVT_1 Histone EF-hand_5 EF-hand_5
